,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,22736,"Rosenmueller, Thomas",0.81,0.07,1.00,0.88,20.64,0.01,43.00,0.70,0.13,0.00,0.99,28.95,0.09,68.00,0.85,0.00,0.00,0.88,19.11,-0.03,17.00,0.43,0.11,0.00,0.93,67.68,-0.02,27.00,0.44,0.03,1.00,0.97,51.07,-0.08,30.00,0.46,0.06,0.00,0.89,46.11,-0.09,18
,15852,"Kraft, Kelly",0.80,0.02,0.00,0.98,23.02,-0.03,99.00,0.73,0.09,0.00,0.95,27.36,0.08,145.00,0.90,0.10,0.00,0.93,16.34,0.02,29.00,0.34,0.02,0.00,0.96,63.77,-0.01,49.00,0.48,0.04,0.00,0.95,45.42,0.01,77.00,0.42,0.00,0.00,0.94,43.94,-0.07,46
,18417,"Scheffler, Scottie",0.87,0.09,0.00,0.97,18.34,0.08,291.00,0.77,0.07,0.00,0.97,27.55,0.08,420.00,0.92,0.17,0.00,0.97,12.55,0.16,94.00,0.42,0.10,0.00,0.96,49.53,0.10,122.00,0.48,0.07,0.00,0.98,43.85,0.05,230.00,0.63,0.07,0.00,0.99,30.84,0.09,98
,17576,"Conners, Corey",0.84,0.08,0.00,0.94,20.91,0.05,343.00,0.77,0.08,0.00,0.98,27.81,0.07,463.00,0.85,0.08,0.00,0.94,19.42,-0.04,107.00,0.42,0.07,0.00,0.98,54.20,0.08,121.00,0.50,0.06,0.00,0.98,44.84,0.05,260.00,0.50,0.04,0.00,0.94,44.23,-0.06,136
,27183,"Salinda, Isaiah",0.78,0.07,0.00,0.92,24.22,-0.05,62.00,0.73,0.09,0.00,1.00,28.85,0.07,102.00,0.97,0.13,0.00,1.00,13.58,0.14,16.00,0.32,0.03,0.00,0.97,62.44,0.00,35.00,0.34,0.06,0.00,0.94,53.60,-0.07,53.00,0.62,0.00,0.00,0.89,42.02,-0.05,26
,19895,"Schauffele, Xander",0.82,0.07,0.00,0.93,22.21,0.00,267.00,0.74,0.10,0.00,0.98,28.37,0.07,394.00,0.85,0.08,0.00,0.94,19.15,0.00,52.00,0.41,0.08,0.00,0.99,52.31,0.06,138.00,0.56,0.10,0.00,0.98,40.46,0.11,214.00,0.59,0.08,0.00,0.97,35.22,0.05,111
,17511,"Straka, Sepp",0.86,0.07,0.00,0.96,20.84,0.04,373.00,0.73,0.07,0.00,0.98,27.97,0.06,592.00,0.93,0.06,0.00,0.97,16.09,0.02,103.00,0.33,0.04,0.00,0.96,60.43,0.01,140.00,0.52,0.05,0.00,0.97,46.66,0.04,286.00,0.49,0.03,0.00,0.91,41.31,-0.05,109
,13562,"Matsuyama, Hideki",0.81,0.09,0.00,0.94,20.06,0.05,309.00,0.73,0.07,0.00,0.98,27.63,0.06,395.00,0.84,0.12,0.00,0.94,14.26,0.09,84.00,0.31,0.05,0.00,0.97,60.58,0.00,150.00,0.53,0.04,0.00,0.96,42.13,0.04,207.00,0.57,0.05,0.00,0.96,37.39,0.01,156
,18079,"Niemann, Joaquin",0.78,0.02,1.00,0.93,19.94,0.00,53.00,0.77,0.06,0.00,0.97,24.47,0.06,88.00,0.87,0.13,0.00,0.96,15.11,0.09,23.00,0.40,0.11,0.00,0.96,41.33,0.13,28.00,0.46,0.02,0.00,0.93,57.52,-0.07,56.00,0.68,0.19,0.00,0.95,31.92,0.11,21
,22985,"Smotherman, Austin",0.78,0.04,0.00,0.94,22.73,-0.03,139.00,0.76,0.07,0.00,0.98,29.78,0.06,186.00,0.84,0.00,0.00,1.00,17.63,-0.05,39.00,0.35,0.04,0.00,0.98,68.01,0.00,47.00,0.58,0.04,0.00,0.97,43.19,0.07,78.00,0.56,0.05,0.00,0.92,37.07,0.05,78
,11657,"Norlander, Henrik",0.82,0.09,0.00,0.94,22.51,0.03,226.00,0.69,0.09,0.00,0.97,29.18,0.06,347.00,0.79,0.06,0.00,0.88,20.45,-0.09,49.00,0.33,0.03,0.00,0.99,56.44,0.03,99.00,0.48,0.07,0.00,0.98,47.81,0.02,155.00,0.50,0.08,0.00,0.91,43.24,-0.02,85
,17422,"Del Solar, Cristobal",,,,,,,,0.68,0.08,1.00,0.98,29.93,0.06,60.00,,,,,,,,0.39,0.06,0.00,0.88,67.47,-0.06,34.00,0.34,0.03,1.00,0.88,57.17,-0.15,34.00,0.45,0.04,0.00,0.92,42.14,-0.03,25
