,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,22736,"Rosenmueller, Thomas",,,,,,,,0.73,0.14,1.00,0.98,27.28,0.10,57.00,0.82,0.00,1.00,0.86,19.24,-0.02,14.00,0.45,0.14,1.00,0.91,69.56,-0.01,22.00,,,,,,,,0.41,0.00,0.00,0.88,49.77,-0.17,16
,15852,"Kraft, Kelly",0.80,0.02,0.00,0.98,23.02,-0.03,99.00,0.73,0.09,0.00,0.95,27.36,0.08,145.00,0.90,0.10,0.00,0.93,16.34,0.02,29.00,0.34,0.02,0.00,0.96,63.77,-0.01,49.00,0.48,0.04,0.00,0.95,45.42,0.01,77.00,0.42,0.00,0.00,0.94,43.94,-0.07,46
,18417,"Scheffler, Scottie",0.87,0.09,0.00,0.97,18.32,0.08,291.00,0.77,0.07,0.00,0.97,27.57,0.08,420.00,0.92,0.17,0.00,0.97,12.58,0.16,94.00,0.42,0.10,0.00,0.96,49.40,0.10,122.00,0.48,0.07,0.00,0.98,43.78,0.05,230.00,0.63,0.07,0.00,0.99,30.82,0.09,98
,17576,"Conners, Corey",0.84,0.08,0.00,0.94,21.05,0.05,363.00,0.77,0.08,0.00,0.98,27.91,0.07,488.00,0.85,0.08,0.00,0.94,19.40,-0.04,110.00,0.43,0.08,0.00,0.98,54.51,0.08,126.00,0.49,0.06,0.00,0.98,44.73,0.05,270.00,0.51,0.04,0.00,0.94,43.49,-0.05,143
,12359,"Stallings, Scott",,,,,,,,0.81,0.03,1.00,0.98,32.02,0.07,60.00,,,,,,,,0.32,0.00,1.00,0.92,71.63,-0.08,24.00,0.48,0.08,1.00,0.97,44.98,0.04,36.00,0.47,0.05,0.00,0.84,49.97,-0.10,19
,19190,"Hoshino, Rikuya",0.73,0.02,1.00,0.93,24.77,-0.06,42.00,0.76,0.08,0.00,0.97,29.03,0.07,77.00,0.91,0.20,0.00,1.00,15.97,0.15,15.00,0.24,0.02,0.00,0.84,65.85,-0.13,44.00,0.38,0.09,1.00,0.94,46.73,0.01,33.00,0.69,0.23,1.00,1.00,22.64,0.16,13
,19895,"Schauffele, Xander",0.82,0.07,0.00,0.93,22.20,0.00,267.00,0.74,0.10,0.00,0.98,28.37,0.07,394.00,0.85,0.08,0.00,0.94,19.16,0.00,52.00,0.41,0.08,0.00,0.99,52.31,0.06,138.00,0.56,0.10,0.00,0.98,40.45,0.11,214.00,0.59,0.08,0.00,0.97,35.22,0.05,111
,13562,"Matsuyama, Hideki",0.81,0.09,0.00,0.94,20.03,0.05,309.00,0.73,0.07,0.00,0.98,27.68,0.06,395.00,0.84,0.12,0.00,0.94,14.30,0.09,84.00,0.31,0.05,0.00,0.97,60.66,0.00,150.00,0.53,0.04,0.00,0.96,42.02,0.04,207.00,0.57,0.05,0.00,0.96,37.36,0.01,156
,18079,"Niemann, Joaquin",0.78,0.02,1.00,0.93,19.94,0.00,53.00,0.77,0.06,0.00,0.97,24.47,0.06,88.00,0.87,0.13,0.00,0.96,15.11,0.09,23.00,0.40,0.11,0.00,0.96,41.33,0.13,28.00,0.46,0.02,0.00,0.93,57.52,-0.07,56.00,0.68,0.19,0.00,0.95,31.92,0.11,21
