# peak_timing_summary avg_return_to_form_index=7.479309193414653, median_return_to_form_index=3.151540936527774
# peak_timing_status_counts no_baseline:404 | not_improving:759 | return_to_form:424 | already_better:146 | outside_window:178
# peak_timing_early_peakers Putnam, Andrew (0.0, seasons=6) | Gooch, Talor (0.0, seasons=4) | Seiffert, Chase (0.0, seasons=3)
# peak_timing_late_peakers Phillips, Chandler (317.3, seasons=2) | Simpson, Webb (283.4, seasons=6) | Dumont de Chassart, Adrien (98.0, seasons=2)
# peak_timing_example Putnam, Andrew tends to reach baseline by event 0.0 (based on 6 seasons), indicating early-season readiness.
# peak_timing_example Gooch, Talor tends to reach baseline by event 0.0 (based on 4 seasons), indicating early-season readiness.
# peak_timing_example Seiffert, Chase tends to reach baseline by event 0.0 (based on 3 seasons), indicating early-season readiness.
# peak_timing_example Phillips, Chandler typically reaches baseline after event 6 (avg 317.3 over 2 seasons), suggesting a later peak.
# peak_timing_example Simpson, Webb typically reaches baseline after event 6 (avg 283.4 over 6 seasons), suggesting a later peak.
# peak_timing_example Dumont de Chassart, Adrien typically reaches baseline after event 6 (avg 98.0 over 2 seasons), suggesting a later peak.
dg_id,player_name,seasons,avg_slope,avg_r,avg_return_to_form,return_to_form_count,trend
18417,"Scheffler, Scottie",6,0.221631,0.374668,1.464,4,fast_starter
17511,"Straka, Sepp",6,-0.134798,-0.101435,0.156,2,slow_starter
19483,"Burns, Sam",6,-0.039267,-0.108249,2.559,2,slow_starter
15575,"Hoge, Tom",6,-0.220470,-0.131985,3.468,2,slow_starter
17488,"Im, Sungjae",6,-0.267063,-0.387508,2.342,1,slow_starter
12965,"Fowler, Rickie",6,0.066480,0.048912,3.697,3,fast_starter
14704,"Putnam, Andrew",6,-0.164808,-0.202717,0.000,2,slow_starter
11676,"Finau, Tony",6,-0.239703,-0.213336,6.783,2,slow_starter
10419,"Noren, Alex",6,-0.133954,-0.127189,0.797,2,slow_starter
19477,"Schenk, Adam",6,0.051380,0.021522,5.486,2,fast_starter
16433,"NeSmith, Matthew",6,0.147261,0.108819,5.967,3,fast_starter
13497,"Lee, Kyoung-Hoon",6,-0.016149,0.046942,2.966,3,slow_starter
23542,"Champ, Cameron",6,-0.053235,-0.093166,8.658,4,slow_starter
8825,"Harman, Brian",6,-0.193365,-0.229727,3.214,2,slow_starter
14967,"Hadley, Chesson",6,0.081080,0.103967,4.267,3,fast_starter
17786,"Davis, Cameron",6,-0.243211,-0.253948,5.912,1,slow_starter
14007,"Martin, Ben",6,0.071298,0.096772,2.052,4,fast_starter
16715,"Ryder, Sam",6,-0.019178,-0.077845,2.033,3,slow_starter
25908,"Whaley, Vincent",6,0.158745,0.068040,8.293,4,fast_starter
7955,"Watney, Nick",6,-0.131902,-0.093959,28.410,2,slow_starter
13831,"Knox, Russell",6,0.102077,-0.008408,3.434,3,fast_starter
18634,"McNealy, Maverick",6,-0.061048,-0.025279,2.155,2,slow_starter
21554,"Poston, J.T.",6,-0.041988,-0.040147,3.904,2,slow_starter
12425,"Todd, Brendon",6,-0.265714,-0.250218,,0,slow_starter
16333,"Hubbard, Mark",6,-0.099256,-0.125159,1.577,1,slow_starter
17538,"Homa, Max",6,0.120493,0.245060,19.725,3,fast_starter
14577,"English, Harris",6,0.181004,0.153896,9.257,3,fast_starter
19870,"McCarthy, Denny",6,-0.102827,-0.108437,3.835,2,slow_starter
10423,"Brehm, Ryan",6,-0.093322,0.012045,5.476,3,slow_starter
7301,"Dufner, Jason",6,0.042157,0.073360,5.139,3,fast_starter
13508,"Vegas, Jhonattan",6,-0.008381,0.026460,7.918,3,slow_starter
5768,"Hoffman, Charley",6,-0.211683,-0.194539,10.374,1,slow_starter
7899,"Piercy, Scott",6,0.034114,0.008288,6.448,3,fast_starter
18187,"Duncan, Tyler",6,-0.003656,-0.060944,3.485,3,slow_starter
16283,"Rodgers, Patrick",6,0.021453,0.030788,7.493,3,fast_starter
13367,"Merritt, Troy",6,-0.029891,0.013136,57.269,3,slow_starter
11657,"Norlander, Henrik",6,-0.190488,-0.138079,3.884,2,slow_starter
7293,"Walker, Jimmy",6,-0.073790,-0.149652,9.609,2,slow_starter
7399,"Glover, Lucas",6,-0.081557,-0.079048,8.085,3,slow_starter
8480,"Streelman, Kevin",6,0.099563,0.141183,5.851,4,fast_starter
7961,"Reavie, Chez",6,0.013684,0.003604,1.619,1,fast_starter
14578,"Henley, Russell",6,0.187781,0.226100,2.854,4,fast_starter
23604,"Clark, Wyndham",6,-0.103469,-0.002161,1.544,3,slow_starter
14140,"Higgs, Harry",6,0.064635,0.067200,2.475,3,fast_starter
13126,"Taylor, Nick",6,0.019745,0.033717,0.708,3,fast_starter
9586,"Laird, Martin",6,0.154952,0.123692,3.969,2,fast_starter
15556,"Hughes, Mackenzie",6,0.047166,0.010612,10.406,2,fast_starter
13470,"Kizzire, Patton",6,-0.314683,-0.303408,9.216,1,slow_starter
7960,"List, Luke",6,-0.071530,-0.033110,5.109,2,slow_starter
11328,"Kisner, Kevin",6,-0.131056,-0.121113,8.432,2,slow_starter
7900,"Haas, Bill",6,0.371858,0.497612,2.961,5,fast_starter
11117,"Noh, Seung-Yul",6,0.350559,0.340919,1.377,4,fast_starter
13305,"Chappell, Kevin",6,0.100280,0.209427,3.336,2,fast_starter
14926,"Malnati, Peter",6,0.196826,0.201457,2.681,4,fast_starter
11451,"Garnett, Brice",6,0.248219,0.351283,3.214,3,fast_starter
24550,"Ghim, Doug",6,0.025118,0.060008,1.510,3,fast_starter
14459,"An, Byeong Hun",6,-0.491775,-0.419861,,0,slow_starter
17536,"Spaun, J.J.",6,-0.259372,-0.330049,,0,slow_starter
6986,"Johnson, Zach",6,-0.137349,-0.131052,3.755,1,slow_starter
1547,"Mickelson, Phil",6,-0.181345,-0.086294,3.116,2,slow_starter
18579,"Cook, Austin",6,-0.136361,-0.161694,5.141,2,slow_starter
11374,"Hahn, James",6,-0.188854,-0.228604,13.765,1,slow_starter
8469,"Armour, Ryan",6,0.235492,0.062025,3.307,2,fast_starter
6252,"Baddeley, Aaron",6,-0.157729,-0.093808,0.717,1,slow_starter
15470,"Hossler, Beau",6,-0.071709,-0.155815,2.174,1,slow_starter
14698,"Bramlett, Joseph",6,0.119644,0.049512,3.874,2,fast_starter
11276,"Horschel, Billy",6,0.165143,0.211176,6.840,2,fast_starter
7655,"Molinari, Francesco",6,-0.233946,-0.100422,4.380,2,slow_starter
