,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,15852,"Kraft, Kelly",0.80,0.02,0.00,0.98,23.02,-0.03,99.00,0.73,0.09,0.00,0.95,27.36,0.08,145.00,0.90,0.10,0.00,0.93,16.34,0.02,29.00,0.34,0.02,0.00,0.96,63.77,-0.01,49.00,0.48,0.04,0.00,0.95,45.42,0.01,77.00,0.42,0.00,0.00,0.94,43.94,-0.07,46
,22736,"Rosenmueller, Thomas",0.81,0.06,0.00,0.91,22.29,-0.02,55.00,0.72,0.10,0.00,0.99,28.18,0.08,90.00,0.85,0.00,0.00,0.86,21.70,-0.09,22.00,0.39,0.09,0.00,0.91,66.49,-0.02,35.00,0.44,0.05,0.00,0.97,48.78,-0.04,39.00,0.52,0.07,0.00,0.89,46.10,-0.05,27
,17511,"Straka, Sepp",0.86,0.08,0.00,0.97,20.02,0.06,372.00,0.74,0.08,0.00,0.97,27.47,0.08,609.00,0.89,0.03,0.00,0.96,16.28,0.00,101.00,0.34,0.03,0.00,0.97,57.25,0.01,147.00,0.55,0.05,0.00,0.98,45.23,0.06,291.00,0.47,0.04,0.00,0.91,43.36,-0.07,109
,17576,"Conners, Corey",0.86,0.08,0.00,0.94,20.23,0.06,360.00,0.78,0.07,0.00,0.98,27.78,0.07,502.00,0.83,0.06,0.00,0.93,19.54,-0.05,110.00,0.40,0.07,0.00,0.98,57.24,0.07,125.00,0.48,0.05,0.00,0.98,46.69,0.03,273.00,0.50,0.04,0.00,0.94,46.08,-0.06,137
,18417,"Scheffler, Scottie",0.88,0.09,0.00,0.98,18.13,0.07,304.00,0.76,0.07,0.00,0.97,27.56,0.07,420.00,0.90,0.13,0.00,0.97,14.67,0.11,91.00,0.44,0.08,0.00,0.97,48.25,0.12,117.00,0.48,0.06,0.00,0.98,44.07,0.05,222.00,0.61,0.09,0.00,0.96,34.57,0.08,104
,19895,"Schauffele, Xander",0.82,0.09,0.00,0.93,22.07,0.01,257.00,0.75,0.10,0.00,0.98,28.23,0.07,399.00,0.84,0.07,0.00,0.94,19.06,-0.01,54.00,0.45,0.09,0.00,0.96,54.54,0.07,139.00,0.59,0.11,0.00,0.97,40.89,0.11,210.00,0.54,0.07,0.00,0.95,39.67,0.01,125
,18079,"Niemann, Joaquin",0.78,0.02,1.00,0.93,19.94,0.00,53.00,0.77,0.06,0.00,0.97,24.47,0.06,88.00,0.87,0.13,0.00,0.96,15.11,0.09,23.00,0.40,0.11,0.00,0.96,41.33,0.13,28.00,0.46,0.02,0.00,0.93,57.52,-0.07,56.00,0.68,0.19,0.00,0.95,31.92,0.11,21
,22985,"Smotherman, Austin",0.78,0.04,0.00,0.94,22.73,-0.03,139.00,0.76,0.07,0.00,0.98,29.78,0.06,186.00,0.84,0.00,0.00,1.00,17.63,-0.05,39.00,0.35,0.04,0.00,0.98,68.01,0.00,47.00,0.58,0.04,0.00,0.97,43.19,0.07,78.00,0.56,0.05,0.00,0.92,37.07,0.05,78
,11657,"Norlander, Henrik",0.82,0.10,0.00,0.94,21.77,0.03,250.00,0.70,0.08,0.00,0.97,29.15,0.06,389.00,0.81,0.06,0.00,0.89,19.70,-0.07,54.00,0.34,0.03,0.00,0.99,55.60,0.04,104.00,0.47,0.07,0.00,0.98,47.44,0.02,169.00,0.53,0.07,0.00,0.90,42.77,-0.02,91
,19190,"Hoshino, Rikuya",0.77,0.03,0.00,0.94,24.82,-0.05,69.00,0.73,0.06,0.00,0.98,28.42,0.05,129.00,0.82,0.17,0.00,0.96,15.20,0.12,24.00,0.28,0.04,0.00,0.88,67.79,-0.10,69.00,0.42,0.10,0.00,0.94,44.20,0.05,49.00,0.58,0.13,0.00,0.96,30.23,0.06,23
