,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,15852,"Kraft, Kelly",0.80,0.02,0.00,0.98,23.02,-0.03,99.00,0.73,0.09,0.00,0.95,27.36,0.08,145.00,0.90,0.10,0.00,0.93,16.34,0.02,29.00,0.34,0.02,0.00,0.96,63.77,-0.01,49.00,0.48,0.04,0.00,0.95,45.42,0.01,77.00,0.42,0.00,0.00,0.94,43.94,-0.07,46
,17511,"Straka, Sepp",0.87,0.09,0.00,0.96,20.10,0.06,366.00,0.73,0.08,0.00,0.98,27.50,0.08,595.00,0.89,0.03,0.00,0.97,15.98,0.01,100.00,0.34,0.03,0.00,0.97,57.00,0.01,147.00,0.54,0.05,0.00,0.98,44.22,0.06,280.00,0.47,0.04,0.00,0.91,42.83,-0.06,108
,19895,"Schauffele, Xander",0.82,0.08,0.00,0.93,22.30,0.01,257.00,0.75,0.10,0.00,0.98,27.69,0.07,404.00,0.87,0.12,0.00,0.95,16.98,0.04,61.00,0.44,0.10,0.00,0.96,56.77,0.07,137.00,0.60,0.11,0.00,0.96,40.71,0.11,207.00,0.55,0.07,0.00,0.95,39.27,0.01,124
,17576,"Conners, Corey",0.86,0.09,0.00,0.94,20.02,0.06,364.00,0.77,0.06,0.00,0.98,27.12,0.07,514.00,0.83,0.08,0.00,0.93,19.46,-0.04,105.00,0.40,0.08,0.00,0.98,58.48,0.07,118.00,0.48,0.05,0.00,0.98,49.33,0.02,272.00,0.49,0.03,0.00,0.95,46.24,-0.08,130
,18417,"Scheffler, Scottie",0.88,0.09,0.00,0.98,18.30,0.07,305.00,0.76,0.06,0.00,0.98,27.44,0.07,421.00,0.91,0.13,0.00,0.98,14.51,0.11,90.00,0.44,0.08,0.00,0.97,48.71,0.13,116.00,0.49,0.06,0.00,0.98,43.56,0.05,220.00,0.61,0.10,0.00,0.96,34.74,0.08,104
,18628,"Campbell, Brian",0.76,0.07,0.00,0.90,24.91,-0.02,81.00,0.72,0.06,0.00,0.98,28.79,0.07,172.00,0.95,0.11,0.00,0.97,17.16,0.02,36.00,0.38,0.04,0.00,0.98,52.28,0.02,47.00,0.46,0.05,0.00,1.00,48.09,0.02,79.00,0.62,0.04,0.00,0.96,39.79,0.02,25
,22736,"Rosenmueller, Thomas",0.80,0.05,0.00,0.92,22.91,-0.03,60.00,0.70,0.09,0.00,0.99,28.15,0.06,103.00,0.81,0.04,0.00,0.89,20.44,-0.07,27.00,0.38,0.08,0.00,0.92,66.33,-0.02,36.00,0.44,0.05,0.00,0.98,48.79,-0.04,42.00,0.54,0.06,0.00,0.91,45.45,-0.05,32
,13562,"Matsuyama, Hideki",0.83,0.08,0.00,0.95,19.94,0.04,296.00,0.74,0.07,0.00,0.97,26.99,0.06,382.00,0.86,0.11,0.00,0.93,13.99,0.07,75.00,0.29,0.04,0.00,0.97,59.60,-0.01,147.00,0.50,0.05,0.00,0.96,43.17,0.03,200.00,0.60,0.08,0.00,0.95,37.05,0.02,145
,22985,"Smotherman, Austin",0.78,0.04,0.00,0.94,22.73,-0.03,139.00,0.76,0.07,0.00,0.98,29.78,0.06,186.00,0.84,0.00,0.00,1.00,17.63,-0.05,39.00,0.35,0.04,0.00,0.98,68.01,0.00,47.00,0.58,0.04,0.00,0.97,43.19,0.07,78.00,0.56,0.05,0.00,0.92,37.07,0.05,78
,11657,"Norlander, Henrik",0.82,0.09,0.00,0.94,22.11,0.02,266.00,0.70,0.08,0.00,0.97,28.94,0.06,415.00,0.82,0.09,0.00,0.90,19.07,-0.04,58.00,0.34,0.04,0.00,0.99,54.11,0.04,115.00,0.47,0.06,0.00,0.98,46.80,0.02,174.00,0.52,0.06,0.00,0.91,42.64,-0.02,96
