,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,18417,"Scheffler, Scottie",0.87,0.09,0.00,0.97,18.50,0.07,302.00,0.76,0.08,0.00,0.97,27.29,0.08,419.00,0.91,0.14,0.00,0.97,14.21,0.12,88.00,0.43,0.09,0.00,0.97,48.94,0.11,119.00,0.48,0.07,0.00,0.98,43.77,0.05,223.00,0.61,0.08,0.00,0.97,33.74,0.08,104
,15852,"Kraft, Kelly",0.80,0.02,0.00,0.98,23.02,-0.03,99.00,0.73,0.09,0.00,0.95,27.36,0.08,145.00,0.90,0.10,0.00,0.93,16.34,0.02,29.00,0.34,0.02,0.00,0.96,63.77,-0.01,49.00,0.48,0.04,0.00,0.95,45.42,0.01,77.00,0.42,0.00,0.00,0.94,43.94,-0.07,46
,17511,"Straka, Sepp",0.86,0.08,0.00,0.97,20.15,0.06,372.00,0.74,0.08,0.00,0.98,27.47,0.08,609.00,0.89,0.03,0.00,0.96,16.21,0.00,101.00,0.35,0.03,0.00,0.97,57.15,0.01,147.00,0.55,0.05,0.00,0.98,45.34,0.06,291.00,0.47,0.04,0.00,0.91,43.27,-0.07,109
,22736,"Rosenmueller, Thomas",0.81,0.06,1.00,0.90,21.19,-0.01,48.00,0.69,0.11,0.00,0.99,28.76,0.07,80.00,0.83,0.00,0.00,0.90,21.01,-0.07,20.00,0.41,0.10,0.00,0.93,63.34,0.00,29.00,0.41,0.03,1.00,0.97,52.01,-0.09,35.00,0.46,0.09,0.00,0.87,49.41,-0.08,23
,17576,"Conners, Corey",0.86,0.08,0.00,0.94,20.33,0.06,360.00,0.78,0.07,0.00,0.98,27.74,0.07,502.00,0.83,0.06,0.00,0.93,19.44,-0.05,110.00,0.40,0.07,0.00,0.98,57.27,0.07,125.00,0.48,0.05,0.00,0.98,46.77,0.03,273.00,0.50,0.04,0.00,0.94,46.03,-0.06,137
,19895,"Schauffele, Xander",0.82,0.09,0.00,0.93,22.06,0.01,257.00,0.75,0.10,0.00,0.98,28.17,0.07,399.00,0.84,0.07,0.00,0.94,18.97,0.00,54.00,0.45,0.09,0.00,0.96,54.63,0.07,139.00,0.60,0.11,0.00,0.97,40.88,0.11,210.00,0.54,0.07,0.00,0.95,39.82,0.01,125
,18079,"Niemann, Joaquin",0.78,0.02,1.00,0.93,19.94,0.00,53.00,0.77,0.06,0.00,0.97,24.47,0.06,88.00,0.87,0.13,0.00,0.96,15.11,0.09,23.00,0.40,0.11,0.00,0.96,41.33,0.13,28.00,0.46,0.02,0.00,0.93,57.52,-0.07,56.00,0.68,0.19,0.00,0.95,31.92,0.11,21
,22985,"Smotherman, Austin",0.78,0.04,0.00,0.94,22.73,-0.03,139.00,0.76,0.07,0.00,0.98,29.78,0.06,186.00,0.84,0.00,0.00,1.00,17.63,-0.05,39.00,0.35,0.04,0.00,0.98,68.01,0.00,47.00,0.58,0.04,0.00,0.97,43.19,0.07,78.00,0.56,0.05,0.00,0.92,37.07,0.05,78
,11657,"Norlander, Henrik",0.81,0.09,0.00,0.94,22.34,0.02,250.00,0.69,0.09,0.00,0.97,29.19,0.06,387.00,0.80,0.06,0.00,0.89,19.74,-0.07,53.00,0.33,0.03,0.00,0.99,54.65,0.04,105.00,0.47,0.07,0.00,0.98,47.27,0.02,171.00,0.54,0.08,0.00,0.90,42.14,-0.01,92
,24304,"Vilips, Karl",0.72,0.08,1.00,0.95,23.94,-0.02,40.00,0.71,0.09,0.00,0.94,31.73,0.05,69.00,,,,,,,,0.33,0.04,1.00,1.00,51.05,0.03,25.00,0.46,0.03,1.00,1.00,47.52,0.02,32.00,0.46,0.00,0.00,0.96,39.86,-0.04,24
