,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,22736,"Rosenmueller, Thomas",0.81,0.07,1.00,0.88,20.82,0.00,43.00,0.70,0.13,0.00,0.99,28.96,0.09,68.00,0.84,0.00,0.00,0.88,19.21,-0.04,17.00,0.43,0.11,0.00,0.93,66.92,-0.02,27.00,0.44,0.03,1.00,0.97,51.30,-0.08,30.00,0.47,0.06,0.00,0.89,45.93,-0.10,18
,18417,"Scheffler, Scottie",0.87,0.09,0.00,0.97,18.53,0.06,303.00,0.76,0.08,0.00,0.97,27.51,0.08,416.00,0.91,0.15,0.00,0.97,13.16,0.15,91.00,0.42,0.09,0.00,0.96,49.95,0.10,121.00,0.49,0.08,0.00,0.98,43.50,0.06,228.00,0.61,0.08,0.00,0.99,32.24,0.08,98
,15852,"Kraft, Kelly",0.80,0.02,0.00,0.98,23.02,-0.03,99.00,0.73,0.09,0.00,0.95,27.36,0.08,145.00,0.90,0.10,0.00,0.93,16.34,0.02,29.00,0.34,0.02,0.00,0.96,63.77,-0.01,49.00,0.48,0.04,0.00,0.95,45.42,0.01,77.00,0.42,0.00,0.00,0.94,43.94,-0.07,46
,17511,"Straka, Sepp",0.86,0.08,0.00,0.96,20.75,0.05,375.00,0.73,0.08,0.00,0.98,27.76,0.07,592.00,0.89,0.04,0.00,0.96,16.71,0.00,100.00,0.35,0.04,0.00,0.96,57.50,0.02,141.00,0.53,0.05,0.00,0.98,45.51,0.06,282.00,0.51,0.03,0.00,0.90,42.38,-0.05,108
,19895,"Schauffele, Xander",0.82,0.07,0.00,0.94,21.95,0.01,274.00,0.75,0.10,0.00,0.98,28.12,0.07,394.00,0.82,0.08,0.00,0.94,19.29,-0.01,49.00,0.43,0.09,0.00,0.98,51.70,0.07,138.00,0.57,0.10,0.00,0.98,39.98,0.11,212.00,0.59,0.08,0.00,0.95,37.17,0.04,109
,17576,"Conners, Corey",0.85,0.08,0.00,0.94,21.00,0.05,343.00,0.77,0.07,0.00,0.98,28.15,0.07,469.00,0.85,0.07,0.00,0.93,19.36,-0.04,110.00,0.40,0.07,0.00,0.98,55.68,0.07,120.00,0.50,0.06,0.00,0.98,44.82,0.05,261.00,0.49,0.04,0.00,0.94,44.86,-0.06,132
,18079,"Niemann, Joaquin",0.78,0.02,1.00,0.93,19.94,0.00,53.00,0.77,0.06,0.00,0.97,24.47,0.06,88.00,0.87,0.13,0.00,0.96,15.11,0.09,23.00,0.40,0.11,0.00,0.96,41.33,0.13,28.00,0.46,0.02,0.00,0.93,57.52,-0.07,56.00,0.68,0.19,0.00,0.95,31.92,0.11,21
,27183,"Salinda, Isaiah",0.82,0.05,0.00,0.94,22.94,-0.03,80.00,0.74,0.08,0.00,0.99,29.20,0.06,122.00,0.88,0.14,0.00,1.00,14.75,0.10,21.00,0.30,0.03,0.00,0.95,60.47,-0.03,39.00,0.35,0.06,0.00,0.93,51.53,-0.09,72.00,0.58,0.00,0.00,0.88,42.13,-0.05,32
,22985,"Smotherman, Austin",0.78,0.04,0.00,0.94,22.73,-0.03,139.00,0.76,0.07,0.00,0.98,29.78,0.06,186.00,0.84,0.00,0.00,1.00,17.63,-0.05,39.00,0.35,0.04,0.00,0.98,68.01,0.00,47.00,0.58,0.04,0.00,0.97,43.19,0.07,78.00,0.56,0.05,0.00,0.92,37.07,0.05,78
