,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,18417,"Scheffler, Scottie",0.89,0.08,0.00,0.97,18.60,0.08,637.00,0.76,0.08,0.00,0.97,27.02,0.08,877.00,0.93,0.13,0.00,0.98,13.83,0.12,191.00,0.40,0.07,0.00,0.97,54.25,0.07,259.00,0.50,0.07,0.00,0.97,42.26,0.06,455.00,0.65,0.06,0.00,0.97,33.22,0.07,256
,19895,"Schauffele, Xander",0.82,0.07,0.00,0.95,21.66,0.02,547.00,0.74,0.09,0.00,0.97,28.55,0.07,795.00,0.87,0.09,0.00,0.94,18.05,0.00,141.00,0.40,0.08,0.00,0.98,52.94,0.06,286.00,0.55,0.09,0.00,0.98,41.56,0.10,404.00,0.59,0.07,0.00,0.96,37.45,0.03,238
,17511,"Straka, Sepp",0.85,0.07,0.00,0.95,21.00,0.03,687.00,0.74,0.08,0.00,0.97,28.07,0.06,1055.00,0.87,0.09,0.00,0.95,16.71,0.01,199.00,0.32,0.04,0.00,0.94,65.15,-0.03,281.00,0.50,0.06,0.00,0.97,45.09,0.04,507.00,0.54,0.06,0.00,0.92,40.43,0.00,238
,16243,"Koepka, Brooks",0.80,0.05,1.00,0.98,20.87,0.00,94.00,0.68,0.07,0.00,0.97,26.12,0.05,184.00,0.86,0.07,0.00,0.97,17.30,0.05,30.00,0.41,0.06,0.00,0.94,49.17,0.02,54.00,0.52,0.05,0.00,0.96,43.53,0.05,121.00,0.59,0.08,0.00,0.92,36.19,-0.02,49
,17576,"Conners, Corey",0.85,0.08,0.00,0.95,20.85,0.04,685.00,0.75,0.07,0.00,0.97,29.00,0.05,931.00,0.86,0.07,0.00,0.95,17.42,0.01,206.00,0.40,0.07,0.00,0.97,57.22,0.04,270.00,0.52,0.06,0.00,0.97,43.66,0.06,480.00,0.56,0.06,0.00,0.95,40.43,-0.01,278
,18628,"Campbell, Brian",,,,,,,,0.70,0.06,1.00,0.97,30.90,0.05,127.00,0.90,0.08,1.00,0.96,16.30,-0.01,24.00,,,,,,,,0.50,0.05,1.00,1.00,47.91,0.03,65.00,0.67,0.04,1.00,1.00,36.37,0.06,23
,22085,"Morikawa, Collin",0.84,0.09,0.00,0.96,19.69,0.06,628.00,0.70,0.07,0.00,0.96,28.30,0.05,882.00,0.90,0.12,0.00,0.96,15.11,0.07,186.00,0.36,0.07,0.00,0.97,60.61,0.03,215.00,0.46,0.06,0.00,0.97,47.53,0.01,469.00,0.57,0.07,0.00,0.93,37.73,0.00,166
,7399,"Glover, Lucas",0.86,0.09,0.00,0.96,20.01,0.07,721.00,0.69,0.07,0.00,0.96,28.75,0.05,1022.00,0.88,0.09,0.00,0.97,16.20,0.03,209.00,0.33,0.07,0.00,0.97,61.79,0.02,232.00,0.49,0.05,0.00,0.97,45.21,0.01,469.00,0.60,0.06,0.00,0.98,39.55,0.01,190
,18841,"Hovland, Viktor",0.81,0.09,0.00,0.94,21.02,0.04,498.00,0.72,0.06,0.00,0.96,27.48,0.05,731.00,0.83,0.09,0.00,0.93,17.76,0.00,160.00,0.39,0.10,0.00,0.95,58.09,0.04,210.00,0.50,0.05,0.00,0.96,42.11,0.05,380.00,0.63,0.07,0.00,0.94,36.44,0.03,211
,18079,"Niemann, Joaquin",0.75,0.03,1.00,0.90,21.66,-0.03,100.00,0.74,0.07,0.00,0.95,24.75,0.05,149.00,0.84,0.08,0.00,0.89,19.70,-0.04,37.00,0.40,0.07,0.00,0.98,53.17,0.09,54.00,0.49,0.06,0.00,0.92,50.71,-0.05,101.00,0.69,0.13,0.00,0.97,35.24,0.10,38
