,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,19895,"Schauffele, Xander",0.82,0.08,0.00,0.94,22.34,0.00,260.00,0.77,0.10,0.00,0.98,26.75,0.09,400.00,0.87,0.10,0.00,0.95,17.07,0.03,61.00,0.45,0.10,0.00,0.96,58.06,0.06,134.00,0.57,0.10,0.00,0.96,41.31,0.09,206.00,0.56,0.06,0.00,0.96,39.07,0.02,127
,24304,"Vilips, Karl",0.74,0.06,0.00,0.96,26.66,-0.05,69.00,0.75,0.09,0.00,0.96,28.99,0.08,102.00,0.85,0.07,1.00,0.93,16.93,0.11,14.00,0.43,0.06,0.00,1.00,49.97,0.08,34.00,0.49,0.05,0.00,0.98,52.98,-0.03,43.00,0.56,0.05,0.00,0.93,35.66,-0.01,41
,15852,"Kraft, Kelly",0.80,0.02,0.00,0.98,23.02,-0.03,99.00,0.73,0.09,0.00,0.95,27.36,0.08,145.00,0.90,0.10,0.00,0.93,16.34,0.02,29.00,0.34,0.02,0.00,0.96,63.77,-0.01,49.00,0.48,0.04,0.00,0.95,45.42,0.01,77.00,0.42,0.00,0.00,0.94,43.94,-0.07,46
,17511,"Straka, Sepp",0.87,0.09,0.00,0.97,19.92,0.07,360.00,0.74,0.08,0.00,0.97,27.45,0.07,592.00,0.88,0.06,0.00,0.97,15.72,0.02,104.00,0.34,0.03,0.00,0.97,57.93,0.01,154.00,0.54,0.05,0.00,0.98,44.85,0.06,280.00,0.47,0.06,0.00,0.91,42.39,-0.05,106
,17576,"Conners, Corey",0.86,0.08,0.00,0.94,20.20,0.05,359.00,0.77,0.06,0.00,0.98,27.07,0.07,520.00,0.84,0.07,0.00,0.94,19.24,-0.04,108.00,0.39,0.07,0.00,0.99,56.63,0.08,116.00,0.48,0.05,0.00,0.98,49.68,0.02,270.00,0.51,0.03,0.00,0.95,46.03,-0.06,124
,18417,"Scheffler, Scottie",0.88,0.10,0.00,0.98,18.41,0.07,302.00,0.77,0.06,0.00,0.98,27.74,0.06,423.00,0.91,0.13,0.00,0.98,14.65,0.10,90.00,0.44,0.08,0.00,0.98,48.57,0.13,118.00,0.49,0.06,0.00,0.98,43.53,0.05,214.00,0.57,0.10,0.00,0.94,37.09,0.07,108
,22736,"Rosenmueller, Thomas",0.80,0.05,0.00,0.92,22.98,-0.03,60.00,0.70,0.09,0.00,0.99,28.13,0.06,103.00,0.81,0.04,0.00,0.89,20.47,-0.07,27.00,0.37,0.08,0.00,0.92,66.55,-0.02,36.00,0.44,0.05,0.00,0.98,48.66,-0.04,42.00,0.54,0.06,0.00,0.91,45.55,-0.05,32
,18628,"Campbell, Brian",0.78,0.07,0.00,0.91,24.83,-0.02,97.00,0.71,0.05,0.00,0.98,28.85,0.06,200.00,0.95,0.11,0.00,0.97,16.81,0.03,38.00,0.38,0.06,0.00,0.98,52.12,0.03,53.00,0.48,0.05,0.00,1.00,48.11,0.02,86.00,0.66,0.06,0.00,0.97,36.14,0.06,32
,13562,"Matsuyama, Hideki",0.83,0.08,0.00,0.95,19.96,0.04,296.00,0.74,0.07,0.00,0.97,26.98,0.06,382.00,0.86,0.11,0.00,0.93,14.02,0.07,75.00,0.29,0.04,0.00,0.97,59.70,-0.01,147.00,0.50,0.05,0.00,0.96,43.06,0.03,200.00,0.60,0.08,0.00,0.95,37.10,0.02,145
,22985,"Smotherman, Austin",0.78,0.04,0.00,0.94,22.73,-0.03,139.00,0.76,0.07,0.00,0.98,29.78,0.06,186.00,0.84,0.00,0.00,1.00,17.63,-0.05,39.00,0.35,0.04,0.00,0.98,68.01,0.00,47.00,0.58,0.04,0.00,0.97,43.19,0.07,78.00,0.56,0.05,0.00,0.92,37.07,0.05,78
,11657,"Norlander, Henrik",0.82,0.09,0.00,0.94,22.12,0.02,266.00,0.70,0.08,0.00,0.97,28.94,0.06,415.00,0.82,0.09,0.00,0.90,19.07,-0.04,58.00,0.34,0.04,0.00,0.99,54.21,0.04,115.00,0.47,0.06,0.00,0.98,46.67,0.02,174.00,0.53,0.06,0.00,0.91,42.66,-0.02,96
,7655,"Molinari, Francesco",0.92,0.05,0.00,1.00,20.34,0.05,112.00,0.68,0.09,0.00,0.95,30.00,0.05,207.00,0.95,0.15,0.00,0.96,15.37,0.12,48.00,0.36,0.04,0.00,0.94,77.76,-0.04,52.00,0.38,0.03,0.00,0.97,52.52,-0.04,103.00,0.65,0.12,0.00,0.98,34.72,0.04,42
,16243,"Koepka, Brooks",0.77,0.03,1.00,0.97,23.86,-0.07,39.00,0.67,0.10,0.00,0.99,27.25,0.05,80.00,0.81,0.06,0.00,1.00,13.36,0.08,16.00,0.32,0.07,0.00,0.93,73.25,-0.06,29.00,0.56,0.14,0.00,0.95,51.53,0.11,56.00,0.57,0.12,0.00,0.94,43.69,-0.04,17
,19190,"Hoshino, Rikuya",0.74,0.03,0.00,0.91,26.47,-0.09,78.00,0.72,0.06,0.00,0.97,28.24,0.05,140.00,0.84,0.15,0.00,0.96,16.07,0.10,27.00,0.28,0.04,0.00,0.88,67.01,-0.09,72.00,0.42,0.10,0.00,0.94,44.71,0.04,52.00,0.58,0.10,0.00,0.93,33.55,0.02,29
,22085,"Morikawa, Collin",0.84,0.09,0.00,0.95,18.87,0.07,339.00,0.69,0.06,0.00,0.96,28.60,0.05,462.00,0.88,0.12,0.00,0.94,15.86,0.05,87.00,0.36,0.10,0.00,0.98,56.01,0.08,119.00,0.44,0.05,0.00,0.98,47.69,0.01,246.00,0.65,0.07,0.00,0.90,36.47,0.00,71
,23602,"Hojgaard, Nicolai",0.75,0.09,0.00,0.92,21.95,0.01,177.00,0.75,0.06,0.00,0.96,28.79,0.05,294.00,0.90,0.08,0.00,0.95,16.81,0.03,64.00,0.31,0.07,0.00,0.95,64.68,0.00,120.00,0.55,0.07,0.00,0.98,41.16,0.07,130.00,0.65,0.08,0.00,0.96,39.39,0.05,89
,18079,"Niemann, Joaquin",0.78,0.00,0.00,0.95,19.06,-0.03,55.00,0.80,0.04,0.00,0.97,25.55,0.04,92.00,0.97,0.06,0.00,0.94,15.15,0.03,17.00,0.46,0.17,0.00,0.97,40.32,0.16,29.00,0.45,0.04,0.00,0.94,50.82,-0.03,54.00,0.72,0.18,0.00,1.00,31.07,0.12,22
,12294,"Fleetwood, Tommy",0.87,0.08,0.00,0.95,19.81,0.04,302.00,0.72,0.07,0.00,0.96,28.38,0.04,464.00,0.90,0.08,0.00,0.96,16.17,0.02,75.00,0.34,0.06,0.00,0.99,68.43,0.03,136.00,0.52,0.04,0.00,0.98,44.82,0.03,239.00,0.61,0.04,0.00,0.93,40.55,-0.01,81
,18841,"Hovland, Viktor",0.84,0.10,0.00,0.94,20.07,0.07,253.00,0.72,0.07,0.00,0.96,27.25,0.04,365.00,0.84,0.15,0.00,0.93,17.06,0.03,81.00,0.35,0.05,0.00,0.97,63.16,0.02,112.00,0.49,0.05,0.00,0.96,39.54,0.05,187.00,0.68,0.08,0.00,0.95,36.30,0.05,103
,18770,"Rozner, Antoine",0.79,0.08,0.00,0.93,22.62,-0.02,90.00,0.71,0.06,0.00,0.96,29.16,0.04,163.00,0.94,0.10,0.00,1.00,18.20,-0.01,21.00,0.28,0.03,0.00,0.98,59.36,-0.02,59.00,0.51,0.07,0.00,1.00,42.70,0.10,69.00,0.54,0.05,0.00,0.98,37.93,-0.01,43
,14655,"Murray, Grayson",,,,,,,,0.70,0.12,1.00,0.90,28.44,0.04,51.00,,,,,,,,,,,,,,,0.51,0.00,0.00,0.95,44.50,0.02,43.00,0.64,0.08,1.00,0.92,38.01,0.08,13
,14509,"Dahmen, Joel",0.81,0.07,0.00,0.94,20.17,0.03,293.00,0.72,0.07,0.00,0.95,28.92,0.04,440.00,0.78,0.09,0.00,0.91,18.58,-0.05,126.00,0.29,0.04,0.00,0.97,67.25,0.01,119.00,0.56,0.04,0.00,0.97,43.04,0.04,206.00,0.51,0.04,0.00,0.95,39.78,-0.03,129
,27183,"Salinda, Isaiah",0.82,0.08,0.00,0.94,23.05,-0.01,125.00,0.74,0.07,0.00,0.99,29.55,0.04,168.00,0.86,0.10,0.00,0.97,17.56,0.05,29.00,0.24,0.05,0.00,0.92,63.73,-0.06,61.00,0.36,0.07,0.00,0.94,52.15,-0.07,95.00,0.53,0.04,0.00,0.88,38.57,-0.04,50
,5513,"Weir, Mike",,,,,,,,0.78,0.10,1.00,0.94,30.14,0.04,48.00,1.00,0.00,0.00,1.00,12.48,0.01,17.00,,,,,,,,,,,,,,,0.80,0.00,1.00,1.00,25.35,0.16,11
,7399,"Glover, Lucas",0.84,0.10,0.00,0.94,20.42,0.05,341.00,0.68,0.07,0.00,0.95,28.92,0.04,501.00,0.94,0.12,0.00,0.98,14.35,0.06,94.00,0.33,0.07,0.00,0.94,66.28,0.00,110.00,0.48,0.07,0.00,0.98,45.22,0.01,214.00,0.56,0.04,0.00,0.98,40.33,-0.01,92
