"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Success aligned with model","18417","Scheffler, Scottie",1,1,"","2.838","","311.147","","60.98%","","1.938","","0.645","","0.478","","0.816","","1.008","","77.57%","","75.60%","","4.456","","2.097","","67.014","","29.160","","49.389","","84.40%","","1.746","","14.354","","86.50%","","1.188","","18.367","","58.70%","","0.648","","37.410","","39.60%","","1.854","","54.286","","76.20%","","1.296","","26.520","","50.30%","","1.332","","39.183"
"✅ Beat model by 19 | ⚠️ Success despite model prediction","29767","Gerard, Ryan",2,21,"","0.948","","286.942","","64.47%","","1.101","","1.054","","-0.457","","0.526","","-0.094","","73.93%","","56.56%","","3.070","","3.278","","68.938","","27.422","","40.579","","81.30%","","-0.216","","17.569","","78.90%","","-0.126","","22.516","","56.40%","","1.116","","34.762","","38.90%","","0.504","","60.802","","66.90%","","0.396","","30.157","","47.10%","","1.314","","37.916"
"✅ Beat model by 57 | ⚠️ Success despite model prediction","9771","Day, Jason",2,59,"","0.552","","293.265","","60.95%","","0.128","","-0.215","","0.172","","0.171","","-0.260","","71.72%","","64.07%","","3.510","","3.561","","69.467","","34.517","","43.516","","87.60%","","1.530","","12.745","","83.70%","","0.630","","19.566","","57.10%","","0.234","","36.626","","28.40%","","-0.864","","67.741","","68.80%","","-0.522","","33.278","","45.00%","","-0.054","","51.685"
"✅ Beat model by 112 | ⚠️ Success despite model prediction","28635","McCarty, Matt",2,114,"","-0.519","","290.075","","59.76%","","-1.022","","-0.214","","-0.465","","-0.348","","0.372","","61.44%","","61.99%","","2.859","","4.039","","70.357","","32.030","","44.523","","83.00%","","0.612","","16.147","","77.10%","","-0.342","","22.799","","61.10%","","0.846","","35.926","","37.80%","","0.018","","64.943","","66.20%","","0.396","","29.007","","43.50%","","-0.612","","45.274"
"✅ Beat model by 128 | ⚠️ Success despite model prediction","14704","Putnam, Andrew",2,130,"","0.559","","280.255","","60.90%","","0.242","","0.870","","0.152","","-0.780","","-0.961","","72.96%","","60.27%","","2.945","","2.927","","69.434","","32.710","","52.139","","87.70%","","-0.522","","18.993","","79.30%","","0.126","","21.388","","54.80%","","-0.774","","37.911","","37.00%","","0.234","","60.005","","73.80%","","0.432","","31.586","","45.10%","","0.360","","45.413"
"≈ Near model (+3) | ✅ Success aligned with model","14609","Kim, Si Woo",6,9,"","1.962","","299.955","","69.55%","","2.547","","1.137","","0.707","","0.703","","-0.945","","72.10%","","67.33%","","3.346","","3.351","","67.895","","26.434","","52.607","","82.90%","","-0.558","","17.087","","79.10%","","0.468","","21.794","","52.50%","","-0.216","","38.444","","36.90%","","-0.216","","65.764","","70.00%","","0.990","","27.206","","47.70%","","1.116","","40.775"
"✅ Beat model by 22 | ⚠️ Success despite model prediction","25569","Stevens, Sam",6,28,"","0.572","","307.676","","58.29%","","0.483","","-0.033","","0.320","","0.196","","0.678","","65.93%","","59.00%","","3.857","","3.686","","69.268","","30.912","","49.408","","87.20%","","0.072","","17.936","","81.20%","","-0.126","","21.913","","48.80%","","-0.918","","38.211","","34.40%","","0.198","","64.036","","69.40%","","-0.216","","31.815","","45.80%","","-0.360","","46.498"
"✅ Success aligned with model","14578","Henley, Russell",8,10,"","0.130","","284.395","","68.40%","","-0.329","","-0.273","","0.047","","-0.102","","0.408","","64.60%","","65.20%","","3.771","","3.528","","69.945","","35.021","","42.642","","83.80%","","1.854","","13.153","","84.50%","","0.702","","19.638","","57.40%","","1.080","","37.005","","34.60%","","0.792","","56.774","","76.50%","","0.522","","29.356","","50.20%","","1.206","","40.681"
"✅ Beat model by 17 | ⚠️ Success despite model prediction","23014","Theegala, Sahith",8,25,"","0.793","","300.433","","50.09%","","0.224","","0.531","","0.344","","-0.650","","0.701","","70.17%","","70.07%","","3.850","","2.746","","69.074","","30.742","","44.015","","80.80%","","0.270","","17.345","","79.40%","","-0.090","","21.801","","55.40%","","-0.252","","34.654","","34.40%","","0.000","","59.096","","64.40%","","-0.198","","30.507","","42.30%","","0.126","","43.626"
"✅ Beat model by 32 | ⚠️ Success despite model prediction","15310","Li, Haotong",8,40,"","0.341","","294.016","","60.86%","","0.211","","-0.217","","-0.086","","0.514","","0.095","","70.32%","","63.21%","","2.864","","3.945","","69.897","","31.699","","52.902","","0.00%","","0.000","","0.000","","80.50%","","0.090","","19.080","","58.60%","","0.324","","42.506","","55.30%","","1.944","","40.969","","71.80%","","0.648","","30.274","","46.40%","","-0.378","","40.106"
