
Tournament: American Express (2026),Last updated: 2026-02-23T13:08:01.927Z
Course: La Quinta Country Club,Found 156 players from historical_csv
Data Date: 2026-02-23T19:56:20.841Z
DG ID,Player Name,Finish Position,Model Rank,Finish Highlight,Finish Bg,Finish Font,Finish Bold,Model Rank Highlight,Model Rank Bg,Model Rank Font,Model Rank Bold,SG Total Color,Driving Distance Color,Driving Accuracy Color,SG T2G Color,SG Approach Color,SG Around Green Color,SG OTT Color,SG Putting Color,Greens in Regulation Color,Fairway Proximity Color,Rough Proximity Color
"18417","Scheffler, Scottie","1",1,"winner","#FFD700","#000000","bold","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"9771","Day, Jason","T2",66,"top5","#C0C0C0","#000000","bold","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"14704","Putnam, Andrew","T2",91,"top5","#C0C0C0","#000000","bold","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE"
"29767","Gerard, Ryan","T2",8,"top5","#C0C0C0","#000000","bold","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"28635","McCarty, Matt","T2",125,"top5","#C0C0C0","#000000","bold","major_miss","#FFC7CE","#9C0006","bold","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"25569","Stevens, Sam","T6",119,"top10","#CD7F32","#000000","","major_miss","#FFC7CE","#9C0006","bold","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"14609","Kim, Si Woo","T6",21,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"23014","Theegala, Sahith","T8",74,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"15575","Hoge, Tom","T8",38,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"22985","Smotherman, Austin","T8",41,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"14578","Henley, Russell","T8",4,"top10","#CD7F32","#000000","","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"15310","Li, Haotong","T8",44,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"15466","Cantlay, Patrick","T13",18,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"31343","Ford, David","T13",145,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE"
"19846","Bauchou, Zach","T13",72,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"23604","Clark, Wyndham","T13",64,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"29433","Bridgeman, Jacob","T13",39,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"32152","Brown, Blades","T18",134,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"19428","Zalatoris, Will","T18",26,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"21688","Kim, S.H.","T18",17,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"28309","Coody, Pierceson","T18",123,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"12965","Fowler, Rickie","T18",46,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"24304","Vilips, Karl","T18",144,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE"
"27194","Hall, Harry","T24",47,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"6430","Scott, Adam","T24",54,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"24968","Griffin, Ben","T24",9,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"16715","Ryder, Sam","T27",120,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE"
"21756","Cole, Eric","T27",70,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"32457","Keefer, Johnny","T27",99,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"14577","English, Harris","T27",45,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"11276","Horschel, Billy","T27",130,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"17538","Homa, Max","T27",78,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"18586","Smith, Jordan","T27",112,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"19483","Burns, Sam","T27",126,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"19960","Pavon, Matthieu","T27",118,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"23505","McGreevy, Max","T27",86,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"13126","Taylor, Nick","T27",51,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"24766","Kim, Tom","T38",88,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
