
Tournament: American Express (2026),Last updated: 2026-02-23T13:08:01.927Z
Course: La Quinta Country Club,Found 156 players from historical_csv
Data Date: 2026-02-23T19:56:20.841Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"18417","Scheffler, Scottie","1",2.132692,2.132692,1.058877,1.058877,1.079661,1.079661,1.351153,1.351153,0.209165,0.209165,0.92332,0.92332,1.750726,1.750726,0.957801,0.957801,0.754787,0.754787,1.512337,-1.512337,0.441142,-0.441142
"9771","Day, Jason","T2",1.745417,1.745417,0.70218,0.70218,0.864452,0.864452,1.992939,1.992939,1.016378,1.016378,2.35035,2.35035,0.445233,0.445233,2.736977,2.736977,1.562958,1.562958,0.346022,-0.346022,0.854423,-0.854423
"14704","Putnam, Andrew","T2",1.745417,1.745417,0.605339,0.605339,1.719311,1.719311,0.185664,0.185664,0.299173,0.299173,-0.337234,-0.337234,0.251085,0.251085,-0.102896,-0.102896,1.240271,1.240271,1.237399,-1.237399,-0.210903,0.210903
"29767","Gerard, Ryan","T2",1.745417,1.745417,0.903125,0.903125,0.867441,0.867441,0.572218,0.572218,-0.673411,-0.673411,1.429937,1.429937,0.975902,0.975902,1.525408,1.525408,0.754787,0.754787,0.900494,-0.900494,-0.285175,0.285175
"28635","McCarty, Matt","T2",1.583561,1.583561,0.838564,0.838564,0.440012,0.440012,1.111542,1.111542,1.357479,1.357479,0.222679,0.222679,0.015167,0.015167,0.454131,0.454131,0.594897,0.594897,-0.505431,0.505431,0.510634,-0.510634
"25569","Stevens, Sam","T6",1.446278,1.446278,0.982211,0.982211,0.440012,0.440012,1.447791,1.447791,0.574554,0.574554,1.088599,1.088599,1.20123,1.20123,0.329938,0.329938,0.917584,0.917584,-0.192365,0.192365,-0.126359,0.126359
"14609","Kim, Si Woo","T6",1.324233,1.324233,0.82888,0.82888,1.291882,1.291882,1.011991,1.011991,1.341406,1.341406,-0.969008,-0.969008,0.991198,0.991198,-0.37934,-0.37934,1.077474,1.077474,-0.233366,0.233366,-0.703607,0.703607
"23014","Theegala, Sahith","T8",1.470851,1.470851,0.823231,0.823231,0.012582,0.012582,0.080288,0.080288,-0.012283,-0.012283,-0.111472,-0.111472,0.308153,0.308153,1.920065,1.920065,0.594897,0.594897,0.8717,-0.8717,0.659395,-0.659395
"15575","Hoge, Tom","T8",1.18695,1.18695,0.697338,0.697338,0.224802,0.224802,-0.021911,-0.021911,0.514906,0.514906,-0.776781,-0.776781,-0.133679,-0.133679,0.956881,0.956881,0.754787,0.754787,-0.109719,0.109719,0.112961,-0.112961
"22985","Smotherman, Austin","T8",1.470851,1.470851,0.787723,0.787723,1.079661,1.079661,2.175361,2.175361,2.047538,2.047538,0.551441,0.551441,0.919423,0.919423,-0.799755,-0.799755,1.400161,1.400161,-0.833289,0.833289,-0.184315,0.184315
"14578","Henley, Russell","T8",1.308995,1.308995,0.763512,0.763512,1.291882,1.291882,1.529074,1.529074,1.573569,1.573569,0.06279,0.06279,0.744102,0.744102,-0.271246,-0.271246,0.917584,0.917584,0.497744,-0.497744,-0.375271,0.375271
"15310","Li, Haotong","T8",1.308995,1.308995,1.040316,1.040316,1.719311,1.719311,2.130087,2.130087,1.524636,1.524636,0.215493,0.215493,2.010177,2.010177,0.524507,0.524507,1.240271,1.240271,0.688025,-0.688025,-0.289308,0.289308
"15466","Cantlay, Patrick","T13",1.049667,1.049667,0.975755,0.975755,0.012582,0.012582,0.929649,0.929649,0.445614,0.445614,0.825709,0.825709,0.520538,0.520538,-0.236748,-0.236748,1.077474,1.077474,-0.136645,0.136645,-0.189682,0.189682
"31343","Ford, David","T13",1.171712,1.171712,0.86116,0.86116,0.864452,0.864452,1.246306,1.246306,1.415341,1.415341,-0.030629,-0.030629,0.468177,0.468177,0.679978,0.679978,0.4321,0.4321,0.825745,-0.825745,0.900936,-0.900936
"19846","Bauchou, Zach","T13",1.049667,1.049667,0.803863,0.803863,0.440012,0.440012,0.268535,0.268535,0.546337,0.546337,-0.265972,-0.265972,-0.041901,-0.041901,0.452291,0.452291,1.400161,1.400161,0.680486,-0.680486,-0.756628,0.756628
"23604","Clark, Wyndham","T13",1.049667,1.049667,0.860353,0.860353,0.012582,0.012582,0.395886,0.395886,0.287386,0.287386,0.97482,0.97482,-0.55139,-0.55139,1.15099,1.15099,0.594897,0.594897,0.994342,-0.994342,-0.318055,0.318055
"29433","Bridgeman, Jacob","T13",1.049667,1.049667,0.82888,0.82888,1.291882,1.291882,0.881992,0.881992,0.872437,0.872437,-0.660008,-0.660008,1.171226,1.171226,0.766453,0.766453,1.080381,1.080381,0.196813,-0.196813,0.537653,-0.537653
