"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","-0.352","0.010","297.495","0.000","56.86%","-0.009","-0.202","0.009","-0.060","0.046","-0.059","0.008","-0.011","-0.003","-0.099","0.000","67.37%","-0.004","62.55%","0.000","3.141","-0.006","3.490","0.007","70.435","0.000","3.834","-0.010","0.020","0.000","31.743","0.000","52.636","-0.004","83.75%","0.000","17.027","79.15%","0.000","21.651","55.90%","0.018","37.764","34.05%","0.000","59.107","67.20%","0.000","30.590","45.20%","0.000","43.782","0.00","-0.01","-0.035","-0.002"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.035)","Delta Predictive Score (median=-0.002)"
"↑ Above average | 💪 SG Putting, SG Around Green | ✅ Strong course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.29 (0.029) [S↑ M↑ L↑ VL↓]",1,"18417","Scheffler, Scottie",50,64,"1.38","1.051","2.838","0.018","311.147","-0.004","60.98%","-0.014","1.938","-0.038","0.645","-0.073","0.478","0.003","0.816","-0.028","1.008","0.167","77.57%","0.000","75.60%","0.004","4.456","-0.005","2.097","-0.007","67.014","0.000","5.710","0.000","2.020","0.000","29.160","-0.016","49.389","-0.023","84.40%","1.746","14.354","86.50%","1.188","18.367","58.70%","0.648","37.410","39.60%","1.854","54.286","76.20%","1.296","26.520","50.30%","1.332","39.183","1.38","0.74","0.033","0.022"
"💪 SG Putting, SG T2G | ✅ Strong course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.49 (0.073) [S↓ M↑ L↑ VL↓]",2,"21891","Kitayama, Kurt",11,15,"0.93","0.982","1.493","0.235","314.160","0.000","54.64%","-0.003","1.362","0.074","0.862","0.088","0.190","0.320","0.311","0.104","0.783","2.812","74.97%","-0.003","70.59%","0.020","4.431","0.019","2.698","-0.031","68.327","-0.003","4.583","0.034","0.757","0.000","28.235","-0.008","35.945","-0.018","81.60%","0.630","16.722","78.50%","0.486","21.230","55.90%","0.324","39.112","31.90%","0.288","59.604","69.80%","0.576","29.715","47.00%","0.828","38.252","0.93","0.49","0.122","0.051"
"💪 SG Putting, SG OTT | ✅ Strong course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.59 (0.096) [S↑ M↑ L↓ VL↓]",3,"23323","MacIntyre, Robert",6,14,"0.73","0.992","1.474","0.060","296.227","-0.004","63.09%","0.000","0.277","-0.176","-0.371","4.532","0.104","0.545","0.544","0.042","1.038","0.134","68.18%","-0.009","74.52%","0.009","4.160","0.014","2.910","-0.027","68.087","0.000","4.560","-0.006","0.705","0.000","31.932","0.000","39.927","-0.014","90.30%","-0.486","18.442","80.20%","-0.234","22.293","67.00%","1.404","33.842","37.70%","0.630","56.566","68.70%","0.198","29.879","48.10%","0.612","39.351","0.73","0.37","0.236","0.043"
"💪 SG T2G | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.26 (0.022) [S↑ M↑ L→ VL↓]",4,"26096","Bhatia, Akshay",9,15,"0.58","1.010","1.840","0.008","301.534","-0.004","57.92%","-0.020","1.023","0.006","0.714","0.048","0.010","-0.162","0.300","-0.217","0.250","0.031","71.79%","-0.004","70.74%","0.008","3.558","-0.019","2.752","-0.021","67.983","0.000","4.565","-0.011","0.626","0.000","29.923","0.000","48.410","-0.014","83.40%","-0.378","16.967","83.20%","0.792","20.177","58.60%","0.216","37.180","35.60%","0.072","63.541","69.60%","0.738","28.281","50.70%","1.044","41.620","0.58","0.34","0.068","0.013"
"💪 SG Putting, SG T2G | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.13 (-0.009) [S↑ M↑ L↓ VL↓]",5,"6430","Scott, Adam",9,14,"0.56","0.971","2.107","0.177","301.772","0.000","58.38%","-0.022","1.340","0.043","1.011","0.023","-0.238","-0.159","0.567","-0.028","0.894","-0.803","74.34%","0.005","67.70%","-0.004","4.428","0.022","2.969","-0.015","67.674","0.000","4.926","0.032","0.736","0.000","26.535","0.000","49.504","-0.011","86.80%","1.710","14.325","79.90%","-0.216","21.149","62.50%","0.792","35.184","32.30%","0.270","56.911","65.30%","-0.306","31.575","46.90%","0.450","43.382","0.56","0.35","-0.021","-0.003"
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ↑ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.66 (0.112) [S↑ M↑ L↑ VL↓]",6,"16841","Lee, Min Woo",5,9,"0.58","0.996","1.025","0.000","314.958","0.000","59.00%","0.017","1.033","-0.174","-0.687","0.072","1.040","0.052","0.680","0.281","0.553","0.072","65.51%","-0.004","71.23%","-0.016","3.825","-0.011","3.560","0.043","68.813","0.000","4.474","0.012","-0.340","0.000","32.534","0.000","58.102","0.034","92.50%","0.666","14.954","75.00%","-0.306","22.614","52.70%","-0.900","40.902","29.50%","-1.476","69.836","70.10%","-0.198","30.799","46.10%","-0.144","47.889","0.58","0.24","0.303","0.051"
"💪 SG Putting, SG OTT | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.37 (0.046) [S↑ M↑ L↑ VL↓]",7,"14577","English, Harris",6,14,"0.47","0.972","1.132","0.016","300.800","-0.003","63.08%","-0.015","0.422","-0.154","-0.047","-0.444","-0.058","5.057","0.527","-0.105","1.065","0.467","73.76%","-0.010","67.47%","0.000","2.340","-0.007","2.459","0.011","68.661","0.000","4.560","0.008","0.560","0.000","29.594","-0.011","59.593","0.014","86.10%","0.756","15.027","76.10%","-0.360","22.602","57.90%","-0.360","38.485","40.90%","0.594","57.325","73.50%","0.504","29.483","47.00%","-0.270","46.254","0.47","0.26","0.030","0.045"
"💪 SG T2G, SG OTT | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.44 (0.062) [S↓ M↑ L↑ VL↓]",8,"17646","Fitzpatrick, Matt",12,26,"0.50","1.005","1.335","-0.131","304.061","0.000","68.11%","0.000","2.026","0.000","0.906","0.033","0.285","-0.213","0.835","0.083","-1.084","-0.774","74.07%","0.000","59.04%","-0.015","3.226","-0.029","2.761","0.046","68.547","0.000","4.819","-0.019","0.589","0.000","29.773","-0.014","50.863","-0.041","88.90%","0.684","15.719","76.50%","-0.378","22.366","58.30%","-0.486","44.005","36.70%","0.684","58.943","65.80%","-0.162","30.995","60.90%","1.764","40.013","0.50","0.20","0.162","0.032"
