"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 50 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (17.28) | ✅ Fairway Proximity beat model (-6.34) | ✅ SG Total beat model (3.364) | ✅ SG Putting beat model (2.545) | Δ Approach ↑ prev under 150 rgh","26096","Bhatia, Akshay",1,51,"3.467","0.103","290.975","293.290","48.23%","53.26%","0.816","-0.756","0.489","-0.003","1.416","-0.315","-1.089","-0.438","2.651","0.106","56.95%","62.79%","83.90%","61.00%","4.500","3.404","2.250","3.980","68.250","70.373","27.110","33.448","64.719","47.444","100.00%","92.50%","0.076","-0.684","10.364","19.794","100.00%","90.00%","0.171","0.738","14.825","20.131","67.60%","60.80%","-0.071","1.872","59.271","36.224","8.04%","34.80%","0.027","0.918","45.632","52.612","61.83%","72.00%","0.097","0.072","22.714","31.809","24.18%","46.80%","-0.176","0.090","35.411","41.834"
"✅ Beat model by 29 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (39.07) | ✅ Driving Distance beat model (7.09) | ⚠️ Fairway Proximity missed model (4.41) | ✅ SG Total beat model (3.074) | Δ Approach ↑ curr under 150 rgh","17606","Berger, Daniel",2,31,"3.467","0.393","291.525","284.432","62.50%","60.94%","2.701","0.714","1.976","1.107","0.363","-0.297","0.362","-0.096","0.766","-0.251","70.85%","72.31%","63.20%","66.61%","2.250","2.765","3.250","3.350","68.250","69.887","31.333","26.928","80.409","41.338","100.00%","91.00%","0.155","0.774","6.786","14.766","84.24%","86.40%","0.152","-0.090","14.625","22.428","73.40%","71.40%","0.430","1.800","21.463","31.513","71.84%","46.70%","0.205","0.162","60.031","66.199","82.38%","70.80%","0.090","0.810","27.402","26.722","46.86%","57.30%","0.008","1.944","39.663","38.389"
"✅ Beat model by 25 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-25.58) | ⚠️ Driving Distance missed model (-3.49) | ✅ SG Total beat model (1.855) | ✅ SG T2G beat model (1.616) | Δ Approach ↑ curr under 150 rgh","26651","Young, Cameron",3,28,"2.717","0.862","302.775","306.268","75.00%","51.53%","2.305","0.689","0.433","0.321","0.022","0.068","1.850","0.301","0.412","0.200","75.00%","65.74%","65.63%","60.24%","4.000","4.489","2.250","3.902","69.000","69.884","32.139","33.741","41.959","67.538","100.00%","82.00%","0.173","0.828","8.334","13.887","90.97%","77.10%","0.043","-1.314","17.855","24.883","56.90%","65.60%","0.225","2.484","21.053","24.881","30.50%","43.10%","0.045","0.972","61.981","58.525","69.10%","63.30%","-0.029","0.522","29.883","28.474","55.07%","40.50%","0.002","-0.288","45.707","47.080"
"✅ Beat model by 36 | ⚠️ Success despite model prediction | ✅ SG Total beat model (2.456) | ✅ SG T2G beat model (2.412) | ✅ SG Approach beat model (1.405) | ✅ Driving Distance beat model (1.26) | Δ Approach ↑ prev over 150 rgh","23950","Aberg, Ludvig",3,39,"2.717","0.261","301.850","300.588","73.23%","54.28%","2.447","0.035","1.338","-0.067","0.362","0.136","0.747","-0.034","0.271","0.317","70.85%","68.44%","68.95%","61.37%","5.250","3.828","3.250","4.498","69.000","69.756","28.764","29.235","50.332","50.757","88.33%","92.00%","0.055","1.476","15.971","15.061","95.68%","64.00%","0.090","-0.702","16.657","24.114","93.76%","70.30%","0.174","0.234","30.020","35.793","23.40%","51.40%","0.055","2.376","46.658","55.373","67.67%","62.20%","0.051","-0.540","28.120","31.815","58.45%","57.70%","0.065","0.720","33.365","42.562"
"✅ Beat model by 19 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-11.93) | ✅ SG Total beat model (1.523) | ✅ SG T2G beat model (1.092) | ✅ SG Approach beat model (0.919) | Δ Approach ↑ prev under 150 rgh","22085","Morikawa, Collin",5,24,"2.467","0.944","293.750","294.066","67.85%","69.98%","1.772","0.680","1.013","0.094","0.158","0.373","0.601","0.214","0.695","-0.219","65.30%","64.72%","65.85%","58.03%","4.000","3.497","3.500","3.582","69.250","69.854","33.593","34.186","35.957","47.892","100.00%","91.00%","0.178","0.072","9.647","16.145","84.74%","85.20%","0.033","1.170","19.564","18.756","47.10%","61.50%","-0.184","1.710","57.436","27.403","48.95%","57.20%","0.138","1.152","53.040","57.355","73.12%","68.40%","0.076","0.738","27.636","28.729","44.32%","48.80%","0.033","1.116","50.454","39.606"
"✅ Beat model by 14 | ✅ Success aligned with model | ⚠️ Driving Distance missed model (-10.47) | ✅ Fairway Proximity beat model (-4.57) | ⚠️ Rough Proximity missed model (2.37) | ✅ SG Total beat model (1.694) | Δ Approach ↓ prev under 150 rgh","16841","Lee, Min Woo",6,20,"2.217","0.523","298.225","308.691","58.92%","56.27%","2.034","0.692","1.147","-0.493","0.631","0.449","0.256","0.736","0.183","0.773","63.90%","68.68%","79.38%","59.68%","2.000","3.384","3.000","3.688","69.500","69.755","26.944","31.511","62.507","60.140","100.00%","91.80%","0.049","1.188","12.153","16.390","89.64%","80.30%","0.013","0.036","18.991","20.830","51.73%","41.00%","0.041","-1.944","51.005","45.849","45.62%","30.40%","0.164","-0.900","51.988","64.820","62.64%","65.50%","0.039","0.450","23.324","32.364","67.52%","45.30%","0.224","0.540","31.843","51.050"
"✅ Beat model by 44 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (15.00) | ✅ Driving Distance beat model (7.00) | ✅ SG Total beat model (2.865) | ⚠️ Fairway Proximity missed model (1.84) | Δ Approach ↑ curr under 150 rgh","14578","Henley, Russell",6,50,"2.217","-0.648","286.775","279.772","71.43%","67.73%","0.914","-0.588","-0.282","-0.344","0.706","0.116","0.490","-0.359","1.303","0.287","56.97%","62.29%","82.35%","58.70%","3.250","3.133","1.500","3.906","69.500","70.995","35.974","34.131","53.139","38.139","68.95%","83.20%","-0.002","1.386","16.059","13.934","91.44%","76.00%","0.109","0.000","17.657","21.286","95.90%","71.70%","0.145","2.214","30.998","30.371","17.51%","30.20%","-0.035","-0.072","72.381","51.450","66.90%","70.80%","0.010","0.810","30.381","31.148","31.20%","40.80%","-0.081","-0.126","57.785","46.620"
"✅ Beat model by 59 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (5.24) | ✅ SG T2G beat model (3.634) | ✅ SG Total beat model (3.612) | ✅ Driving Distance beat model (2.83) | Δ Approach ↓ curr 50 100 fw","23014","Theegala, Sahith",6,65,"2.217","-1.395","293.950","291.119","57.13%","52.16%","2.367","-1.267","1.005","-0.433","1.225","-0.488","0.138","-0.346","-0.151","0.057","63.87%","63.91%","75.17%","57.47%","3.750","2.935","2.500","3.992","69.500","71.092","34.300","31.703","61.919","56.675","64.20%","74.60%","-0.214","-1.980","18.101","22.500","88.28%","82.40%","0.127","-0.306","16.706","21.734","33.32%","54.00%","-0.128","0.396","37.644","37.089","35.76%","31.50%","0.050","0.360","49.217","52.951","79.68%","68.70%","0.127","0.090","26.278","29.322","48.56%","61.10%","0.001","1.692","55.000","40.259"
"✅ Beat model by 18 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-12.71) | ⚠️ Fairway Proximity missed model (6.75) | ⚠️ Driving Distance missed model (-1.91) | ✅ SG Total beat model (1.353) | Δ Approach ↑ prev under 150 rgh","12965","Fowler, Rickie",9,27,"1.717","0.364","291.250","293.156","71.42%","66.85%","0.538","0.051","-0.079","0.152","0.016","-0.523","0.601","0.422","1.179","0.539","68.05%","69.64%","73.45%","59.61%","2.250","3.201","1.750","3.448","70.000","69.922","37.642","30.888","52.650","65.358","100.00%","70.60%","-0.030","-1.062","18.518","23.396","78.47%","75.30%","0.039","-0.918","17.388","23.504","6.47%","78.00%","-0.012","2.394","36.996","28.016","61.07%","34.50%","0.033","-0.036","66.563","67.918","72.16%","73.90%","-0.044","1.476","31.036","27.084","50.86%","55.50%","0.032","1.350","59.658","48.621"
"✅ Beat model by 43 | ⚠️ Success despite model prediction | ✅ Driving Distance beat model (9.67) | ⚠️ Rough Proximity missed model (7.85) | ✅ Fairway Proximity beat model (-1.51) | ✅ SG Total beat model (1.085) | Δ Approach ↓ prev over 200 fw","27194","Hall, Harry",9,52,"1.717","0.632","300.700","291.031","50.00%","59.93%","0.792","-0.146","0.362","-0.055","0.442","0.425","-0.012","-0.516","0.925","0.184","61.13%","59.18%","70.88%","68.72%","2.500","3.424","2.500","3.540","70.000","70.319","34.462","35.969","82.722","74.872","94.18%","87.80%","0.112","-0.234","12.871","18.091","100.00%","81.30%","0.060","0.504","18.154","19.962","48.99%","56.70%","0.005","-1.206","40.767","45.365","10.80%","42.80%","-0.101","-0.414","103.169","60.179","71.32%","70.50%","0.070","0.216","25.451","28.067","34.80%","34.10%","-0.063","-1.332","55.280","52.879"
