# peak_timing_summary avg_return_to_form_index=8.02952232932637, median_return_to_form_index=3.1721744504927054
# peak_timing_status_counts no_baseline:429 | not_improving:616 | return_to_form:332 | already_better:110 | outside_window:137
# peak_timing_early_peakers Putnam, Andrew (0.0, seasons=5) | van Rooyen, Erik (0.0, seasons=5) | Martin, Ben (0.0, seasons=5)
# peak_timing_late_peakers Phillips, Chandler (342.0, seasons=2) | Simpson, Webb (285.7, seasons=5) | Wilkinson, Tim (109.1, seasons=2)
# peak_timing_example Putnam, Andrew tends to reach baseline by event 0.0 (based on 5 seasons), indicating early-season readiness.
# peak_timing_example van Rooyen, Erik tends to reach baseline by event 0.0 (based on 5 seasons), indicating early-season readiness.
# peak_timing_example Martin, Ben tends to reach baseline by event 0.0 (based on 5 seasons), indicating early-season readiness.
# peak_timing_example Phillips, Chandler typically reaches baseline after event 6 (avg 342.0 over 2 seasons), suggesting a later peak.
# peak_timing_example Simpson, Webb typically reaches baseline after event 6 (avg 285.7 over 5 seasons), suggesting a later peak.
# peak_timing_example Wilkinson, Tim typically reaches baseline after event 6 (avg 109.1 over 2 seasons), suggesting a later peak.
dg_id,player_name,seasons,avg_slope,avg_r,avg_return_to_form,return_to_form_count,trend
14609,"Kim, Si Woo",5,-0.291594,-0.177866,1.753,2,slow_starter
15466,"Cantlay, Patrick",5,-0.224642,-0.132370,6.948,3,slow_starter
17786,"Davis, Cameron",5,-0.300106,-0.332509,5.380,1,slow_starter
11676,"Finau, Tony",5,-0.042445,-0.084299,6.723,2,slow_starter
24550,"Ghim, Doug",5,-0.017203,0.019753,2.261,2,slow_starter
14459,"An, Byeong Hun",5,-0.653329,-0.584901,,0,slow_starter
7655,"Molinari, Francesco",5,-0.275821,-0.114732,5.265,2,slow_starter
8825,"Harman, Brian",5,-0.152872,-0.112630,4.742,1,slow_starter
17488,"Im, Sungjae",5,-0.239729,-0.315863,2.693,1,slow_starter
11657,"Norlander, Henrik",5,-0.042031,-0.047176,3.585,2,slow_starter
12423,"Kirk, Chris",5,-0.172176,-0.138249,2.115,1,slow_starter
8469,"Armour, Ryan",5,0.299080,0.100349,3.568,2,fast_starter
13831,"Knox, Russell",5,0.196617,0.120839,4.362,2,fast_starter
12577,"Woodland, Gary",5,-0.321242,-0.232104,59.195,2,slow_starter
12965,"Fowler, Rickie",5,0.120998,0.145743,3.684,3,fast_starter
7960,"List, Luke",5,-0.192828,-0.168985,5.532,2,slow_starter
14704,"Putnam, Andrew",5,-0.106563,-0.146107,0.000,1,slow_starter
17538,"Homa, Max",5,0.040020,0.137679,48.835,2,fast_starter
13965,"Hadwin, Adam",5,-0.173760,-0.193853,3.325,1,slow_starter
11374,"Hahn, James",5,-0.272032,-0.339916,12.766,1,slow_starter
13497,"Lee, Kyoung-Hoon",5,-0.088784,-0.025424,5.169,3,slow_starter
18579,"Cook, Austin",5,-0.192714,-0.232658,4.594,2,slow_starter
19477,"Schenk, Adam",5,0.047059,0.000911,3.704,1,fast_starter
12808,"Grillo, Emiliano",5,-0.118784,-0.090965,12.171,1,slow_starter
10419,"Noren, Alex",5,-0.032436,0.015230,1.004,2,slow_starter
9586,"Laird, Martin",5,0.075413,-0.023361,3.901,2,fast_starter
27194,"Hall, Harry",5,-0.093673,-0.077210,5.059,3,slow_starter
16715,"Ryder, Sam",5,0.012150,-0.057921,2.743,3,fast_starter
13126,"Taylor, Nick",5,0.037377,0.051510,1.254,2,fast_starter
13470,"Kizzire, Patton",5,-0.168970,-0.219439,10.906,1,slow_starter
23604,"Clark, Wyndham",5,-0.251860,-0.155212,1.656,3,slow_starter
17550,"van Rooyen, Erik",5,-0.067967,-0.022004,0.000,1,slow_starter
18187,"Duncan, Tyler",5,0.047419,0.055506,1.499,2,fast_starter
14007,"Martin, Ben",5,0.070216,0.095759,0.000,3,fast_starter
7293,"Walker, Jimmy",5,0.032911,-0.017357,9.953,2,fast_starter
6986,"Johnson, Zach",5,-0.169189,-0.164975,,0,slow_starter
26660,"Gordon, Will",5,-0.039427,-0.078642,2.195,2,slow_starter
18634,"McNealy, Maverick",5,-0.018387,0.055528,2.212,2,slow_starter
7900,"Haas, Bill",5,0.417409,0.559831,3.226,4,fast_starter
25908,"Whaley, Vincent",5,0.149417,0.040541,10.241,3,fast_starter
7961,"Reavie, Chez",5,-0.094918,-0.142315,,0,slow_starter
15475,"Pan, C.T.",5,-0.085170,-0.098461,3.167,2,slow_starter
18417,"Scheffler, Scottie",5,0.277834,0.462611,1.639,3,fast_starter
13367,"Merritt, Troy",5,-0.094334,-0.066172,93.884,2,slow_starter
15330,"Griffin, Lanto",5,-0.166069,-0.157377,3.912,1,slow_starter
4163,"Donald, Luke",5,0.081837,-0.000531,5.033,2,fast_starter
24766,"Kim, Joohyung",5,-0.030143,-0.029383,6.726,2,slow_starter
7301,"Dufner, Jason",5,0.031829,0.057724,4.274,2,fast_starter
16243,"Koepka, Brooks",5,-0.148942,-0.035851,4.885,2,slow_starter
14509,"Dahmen, Joel",5,0.018131,0.034090,17.937,3,fast_starter
6252,"Baddeley, Aaron",5,-0.240088,-0.194382,,0,slow_starter
14578,"Henley, Russell",5,0.179293,0.218515,3.791,3,fast_starter
19483,"Burns, Sam",5,-0.057014,-0.140260,5.847,1,slow_starter
17536,"Spaun, J.J.",5,-0.322563,-0.407267,,0,slow_starter
19870,"McCarthy, Denny",5,-0.038535,0.022750,3.069,1,slow_starter
12846,"Herman, Jim",5,0.034996,0.108016,3.140,3,fast_starter
16283,"Rodgers, Patrick",5,0.035200,0.053280,9.423,2,fast_starter
16333,"Hubbard, Mark",5,-0.223945,-0.208409,2.769,1,slow_starter
7399,"Glover, Lucas",5,0.012426,0.059333,2.828,2,fast_starter
8480,"Streelman, Kevin",5,0.125199,0.175938,6.567,3,fast_starter
7899,"Piercy, Scott",5,0.063069,0.040273,5.419,3,fast_starter
13127,"Tway, Kevin",5,0.065905,0.185464,5.025,2,fast_starter
15470,"Hossler, Beau",5,-0.155507,-0.262829,2.457,1,slow_starter
14926,"Malnati, Peter",5,0.276966,0.289369,2.473,4,fast_starter
11117,"Noh, Seung-Yul",5,0.289837,0.306959,2.507,3,fast_starter
15575,"Hoge, Tom",5,-0.132489,0.001599,1.818,1,slow_starter
1547,"Mickelson, Phil",5,-0.111819,-0.021653,2.414,1,slow_starter
8820,"Snedeker, Brandt",5,-0.006210,-0.004189,2.428,2,slow_starter
7955,"Watney, Nick",5,0.049980,0.000790,3.639,1,fast_starter
18635,"Shelton, Robby",5,-0.384789,-0.412598,1.183,1,slow_starter
9171,"Villegas, Camilo",5,0.214910,0.262569,3.325,3,fast_starter
11451,"Garnett, Brice",5,0.191463,0.254395,2.898,2,fast_starter
17511,"Straka, Sepp",5,-0.157852,-0.119134,0.000,2,slow_starter
14967,"Hadley, Chesson",5,0.167137,0.199693,3.791,2,fast_starter
21554,"Poston, J.T.",5,-0.071703,-0.119980,1.723,1,slow_starter
