"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","0.503","-0.034","294.447","0.000","58.92%","-0.007","0.267","-0.002","0.098","0.000","0.100","-0.051","0.084","-0.011","0.025","0.067","64.88%","0.000","62.57%","0.000","3.268","-0.008","3.580","0.023","70.020","0.000","3.949","-0.007","0.048","0.000","32.537","0.000","51.204","-0.013","86.65%","0.657","15.553","79.60%","0.018","21.569","59.70%","0.414","35.139","36.05%","0.297","55.815","68.70%","0.189","30.026","47.60%","0.135","43.526","-0.01","0.02","-0.439","-0.009"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.439)","Delta Predictive Score (median=-0.009)"
"💪 SG Putting, SG T2G | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred↓ ΔTrend→ | BucketSig ↑ z=1.25 (0.139) [S↑ M↑ L↓ VL↑] | 🌦️ Weather wave: R1 AM, R2 PM (penalty=0.04)",1,"13900","Lowry, Shane",10,21,"0.91","1.033","2.392","0.347","287.195","0.000","62.83%","0.000","1.158","0.235","0.856","0.063","0.210","-1.175","0.091","-0.223","1.386","0.467","69.76%","0.000","72.10%","0.024","4.445","0.034","2.988","-0.018","67.695","0.000","5.354","0.041","1.059","0.000","29.744","0.000","32.056","-0.057","90.90%","2.088","12.806","77.50%","0.756","20.947","70.00%","1.908","30.012","44.40%","1.098","57.701","66.00%","-0.036","33.950","63.00%","2.286","38.218","0.91","0.49","0.036","-0.042"
"💪 SG Putting, SG T2G | 👍 Good course fit | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.54 (0.020) [S↑ M↑ L↓ VL↓]",2,"22833","Echavarria, Nico",6,10,"0.88","0.941","2.351","0.788","283.816","0.000","57.93%","-0.012","1.547","4.551","1.106","3.514","0.183","-0.821","0.257","0.125","0.891","0.725","72.40%","0.015","79.36%","0.043","2.986","-0.026","1.709","-0.097","67.960","-0.004","4.570","0.007","0.430","0.000","30.867","0.000","47.840","-0.008","90.80%","0.810","16.372","74.40%","0.000","20.123","73.50%","1.656","30.834","40.40%","0.774","55.943","65.20%","-0.288","29.543","52.00%","0.936","44.336","0.88","0.47","0.078","0.014"
"💪 SG Putting, SG T2G | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=3.89 (0.578) [S↑ M↓ L↑ VL↓]",3,"23602","Hojgaard, Nicolai",5,9,"0.86","1.023","2.162","0.085","296.255","-0.006","60.68%","0.009","1.429","0.032","1.014","-0.022","0.049","-0.375","0.366","-0.023","0.626","1.890","72.01%","0.000","70.26%","0.028","4.553","0.016","3.226","0.000","68.202","0.000","5.432","0.030","1.106","0.000","28.438","-0.005","41.459","-0.020","92.10%","2.790","14.824","82.80%","0.810","20.002","38.40%","-2.412","47.062","39.20%","3.726","39.701","77.00%","1.152","28.334","60.00%","0.504","42.438","0.86","0.49","2.671","0.127"
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.20 (-0.036) [S↓ M↓ L↑ VL↓] | 🌦️ Weather wave: R1 AM, R2 PM (penalty=0.04)",4,"18417","Scheffler, Scottie",56,74,"0.76","1.126","3.229","0.003","303.421","-0.004","62.82%","-0.013","2.428","-0.043","0.905","-0.064","0.647","-0.015","0.877","-0.038","0.611","0.134","69.67%","0.000","64.40%","0.000","3.753","-0.006","2.944","-0.004","67.827","0.000","5.466","-0.007","0.269","0.000","31.141","-0.021","73.135","-0.019","95.00%","1.296","16.361","76.40%","-0.468","22.401","48.00%","-0.846","43.376","46.50%","0.342","53.738","72.00%","0.738","28.336","45.10%","0.144","50.787","0.76","0.47","-0.110","0.002"
"💪 SG Putting, SG T2G | 👍 Good course fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.97 (0.093) [S↓ M↓ L↑ VL↑] | 🌦️ Weather wave: R1 AM, R2 PM (penalty=0.04)",5,"14577","English, Harris",10,18,"0.58","0.922","2.210","0.004","299.839","-0.003","58.57%","-0.015","1.464","-0.155","0.952","-1.255","0.105","0.120","0.407","-0.116","0.665","0.407","73.98%","-0.009","64.98%","0.000","3.360","-0.008","2.410","0.005","68.602","0.000","4.625","0.006","0.013","0.000","30.529","-0.013","48.459","0.012","86.40%","-0.108","18.417","74.00%","-1.242","26.636","58.00%","0.486","34.312","33.80%","-0.738","64.544","71.40%","0.540","28.741","53.00%","1.800","38.378","0.58","0.32","0.202","0.026"
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.01 (-0.071) [S↓ M↓ L↓ VL↑] | 🌦️ Weather wave: R1 AM, R2 PM (penalty=0.04)",6,"21944","Moore, Taylor",7,12,"0.54","0.947","2.176","0.239","292.403","0.000","46.23%","-0.031","1.176","0.305","-0.049","-0.284","1.023","0.024","0.202","-0.069","0.884","0.546","67.99%","0.005","77.59%","0.008","3.710","0.050","1.878","-0.111","68.217","0.000","4.807","0.027","-0.238","0.000","34.468","0.026","56.284","0.005","88.30%","-0.072","20.177","55.20%","-1.584","25.741","39.80%","-1.080","40.298","32.10%","0.702","64.693","74.50%","-0.468","32.351","55.00%","1.332","44.727","0.54","0.33","-0.508","0.007"
"💪 SG T2G, Approach <100 GIR | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred↓ ΔTrend→ | BucketSig ↓ z=-0.73 (-0.190) [S→ M↓ L↓ VL↓]",7,"22985","Smotherman, Austin",2,5,"0.45","0.973","1.543","0.020","286.971","0.000","61.43%","-0.008","1.490","0.085","0.858","-0.017","0.196","-2.573","0.436","0.520","-0.085","0.088","74.98%","0.011","76.71%","0.033","2.985","-0.026","2.435","-0.064","68.664","0.000","5.023","0.014","0.860","0.000","30.964","0.021","41.396","-0.015","98.60%","1.944","14.750","89.10%","2.070","17.780","47.80%","0.900","33.994","36.00%","1.026","49.573","74.00%","0.972","29.176","51.40%","1.746","35.560","0.45","0.36","-0.343","-0.085"
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.61 (0.032) [S↓ M↓ L↓ VL↑]",8,"12294","Fleetwood, Tommy",20,30,"0.47","1.067","1.510","-0.042","295.414","0.000","65.14%","-0.010","1.407","-0.019","0.269","-0.241","1.088","0.235","0.049","0.055","0.955","-0.068","65.80%","0.000","69.46%","0.000","3.251","-0.016","3.220","0.054","69.236","0.000","3.942","-0.005","-0.422","0.000","34.179","0.005","50.193","-0.023","0.00%","0.000","0.000","83.80%","0.270","21.895","77.30%","2.646","27.110","12.70%","-1.584","53.033","61.70%","0.108","35.472","48.40%","-1.026","44.613","0.47","0.30","-0.356","0.009"
