course_num,source_course_num,dg_id,player_name,event_key,event_completed,year,finish_position,prior_starts
500,872,26096,"Bhatia, Akshay",2024-480,2024-05-12,2024,42,0
500,9,26096,"Bhatia, Akshay",2025-9,2025-03-09,2025,51,1
500,241,26096,"Bhatia, Akshay",2025-33,2025-05-18,2025,75,2
500,9,26096,"Bhatia, Akshay",2026-9,2026-03-08,2026,1,3
500,9,17606,"Berger, Daniel",2025-9,2025-03-09,2025,15,0
500,241,17606,"Berger, Daniel",2025-33,2025-05-18,2025,33,1
500,9,17606,"Berger, Daniel",2026-9,2026-03-08,2026,2,2
500,9,26651,"Young, Cameron",2024-9,2024-03-10,2024,36,0
500,872,26651,"Young, Cameron",2024-480,2024-05-12,2024,34,1
500,9,26651,"Young, Cameron",2025-9,2025-03-09,2025,51,2
500,241,26651,"Young, Cameron",2025-33,2025-05-18,2025,47,3
500,9,26651,"Young, Cameron",2026-9,2026-03-08,2026,3,4
500,9,23950,"Aberg, Ludvig",2024-9,2024-03-10,2024,25,0
500,9,23950,"Aberg, Ludvig",2025-9,2025-03-09,2025,22,1
500,241,23950,"Aberg, Ludvig",2025-33,2025-05-18,2025,75,2
500,9,23950,"Aberg, Ludvig",2026-9,2026-03-08,2026,3,3
500,9,22085,"Morikawa, Collin",2024-9,2024-03-10,2024,58,0
500,872,22085,"Morikawa, Collin",2024-480,2024-05-12,2024,16,1
500,9,22085,"Morikawa, Collin",2025-9,2025-03-09,2025,2,2
500,241,22085,"Morikawa, Collin",2025-33,2025-05-18,2025,50,3
500,9,22085,"Morikawa, Collin",2026-9,2026-03-08,2026,5,4
500,9,14578,"Henley, Russell",2024-9,2024-03-10,2024,4,0
500,872,14578,"Henley, Russell",2024-480,2024-05-12,2024,10,1
500,9,14578,"Henley, Russell",2025-9,2025-03-09,2025,1,2
500,241,14578,"Henley, Russell",2025-33,2025-05-18,2025,75,3
500,9,14578,"Henley, Russell",2026-9,2026-03-08,2026,6,4
500,9,23014,"Theegala, Sahith",2024-9,2024-03-10,2024,6,0
500,872,23014,"Theegala, Sahith",2024-480,2024-05-12,2024,52,1
500,9,23014,"Theegala, Sahith",2025-9,2025-03-09,2025,51,2
500,9,23014,"Theegala, Sahith",2026-9,2026-03-08,2026,6,3
500,9,16841,"Lee, Min Woo",2024-9,2024-03-10,2024,44,0
500,9,16841,"Lee, Min Woo",2025-9,2025-03-09,2025,51,1
500,241,16841,"Lee, Min Woo",2025-33,2025-05-18,2025,75,2
500,9,16841,"Lee, Min Woo",2026-9,2026-03-08,2026,6,3
500,9,12965,"Fowler, Rickie",2024-9,2024-03-10,2024,36,0
500,872,12965,"Fowler, Rickie",2024-480,2024-05-12,2024,43,1
