"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 12 | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (3.67) | ✅ SG Total beat model (3.232) | ✅ SG T2G beat model (2.306) | ⚠️ Driving Distance missed model (-2.26) | Δ Approach ↑ prev under 150 rgh","22833","Echavarria, Nico",1,13,"3.508","0.276","281.100","283.365","55.35%","63.84%","2.440","0.134","1.495","0.319","0.666","0.078","0.280","-0.262","1.068","0.151","73.60%","65.98%","81.67%","75.07%","3.250","2.830","1.250","3.044","66.750","69.361","28.634","29.778","52.495","48.822","93.97%","90.30%","0.248","0.234","12.103","17.046","68.61%","76.20%","0.048","-0.270","20.043","20.148","77.50%","72.50%","0.068","1.764","40.190","28.495","37.83%","41.50%","0.167","-0.180","51.769","57.732","66.47%","64.60%","0.056","-0.900","27.226","30.636","75.33%","45.00%","0.062","0.882","45.066","44.117"
"✅ Beat model by 13 | ✅ Success aligned with model | ✅ Rough Proximity beat model (-26.05) | ✅ SG Total beat model (2.797) | ✅ SG T2G beat model (1.626) | ✅ SG Putting beat model (1.190) | Δ Approach ↑ under 150 rgh","13900","Lowry, Shane",2,15,"3.008","0.211","285.450","286.302","62.47%","59.78%","1.742","0.116","1.186","0.215","0.375","-0.186","0.180","0.087","1.266","0.076","69.45%","66.99%","77.08%","63.27%","5.000","2.724","3.250","3.216","67.250","69.215","29.221","29.557","30.321","56.366","94.70%","89.00%","0.124","2.016","13.592","12.413","80.12%","75.80%","0.071","0.414","22.057","20.227","82.53%","60.60%","0.298","-0.684","17.877","39.113","24.15%","48.90%","-0.015","1.404","54.870","58.330","51.22%","74.50%","-0.106","1.044","36.167","32.675","60.27%","64.30%","0.217","1.512","33.688","40.375"
"✅ Beat model by 43 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-21.92) | ⚠️ Driving Distance missed model (-6.13) | ✅ SG Total beat model (3.648) | ⚠️ Fairway Proximity missed model (2.52) | Δ Approach ↑ prev 50 100 fw","22985","Smotherman, Austin",2,45,"3.008","-0.640","285.650","291.775","60.73%","58.39%","2.368","-0.107","1.257","0.513","0.314","-0.172","0.798","-0.449","0.640","-0.181","79.15%","65.66%","83.02%","56.09%","3.000","2.820","1.750","4.282","67.250","71.075","30.500","27.976","36.131","58.050","96.67%","99.70%","-0.102","4.104","21.510","10.887","97.04%","84.80%","0.063","2.574","19.447","16.877","73.75%","30.50%","0.183","-0.702","24.647","40.225","35.43%","36.20%","0.063","0.990","49.907","49.456","74.59%","73.60%","0.083","0.612","30.202","28.475","46.27%","53.60%","0.036","2.214","36.820","35.020"
"✅ Beat model by 65 | ⚠️ Success despite model prediction | ⚠️ Driving Distance missed model (-11.37) | ✅ SG Total beat model (3.130) | ✅ SG T2G beat model (2.479) | ✅ Rough Proximity beat model (-1.71) | Δ Approach ↓ prev under 150 rgh","21944","Moore, Taylor",2,67,"3.008","-0.122","287.475","298.846","39.27%","56.06%","1.936","-0.543","0.232","-0.857","1.584","0.323","0.120","-0.010","1.072","0.041","66.67%","60.42%","82.33%","68.09%","4.250","2.598","1.250","4.249","67.250","70.425","32.244","30.771","54.376","56.087","95.90%","86.40%","0.252","-1.224","10.357","22.632","55.20%","0.00%","-0.088","0.000","25.741","0.000","47.40%","32.20%","0.001","-2.178","39.559","41.037","32.10%","0.00%","0.039","0.000","64.693","0.000","69.00%","78.90%","0.003","-0.882","30.957","33.466","55.00%","0.00%","0.074","0.000","44.727","0.000"
"✅ Beat model by 15 | ✅ Success aligned with model | ✅ Rough Proximity beat model (-16.59) | ⚠️ Driving Distance missed model (-7.24) | ⚠️ Fairway Proximity missed model (2.46) | ✅ SG Total beat model (1.858) | Δ Approach ↓ curr 50 100 fw","27819","Castillo, Ricky",5,20,"2.508","0.650","288.525","295.766","58.93%","60.60%","2.020","0.177","1.022","-0.234","0.344","0.126","0.655","0.285","0.488","0.525","73.60%","66.90%","64.80%","65.64%","4.250","3.520","2.000","3.462","67.750","69.446","34.683","32.227","37.884","54.472","58.70%","58.70%","-0.179","-3.222","20.478","20.478","83.10%","83.10%","0.009","0.162","22.837","22.837","29.50%","29.50%","-0.094","-1.692","39.065","39.065","34.40%","34.40%","0.004","0.072","68.790","68.790","68.40%","68.40%","-0.036","-0.648","31.961","31.961","47.10%","47.10%","-0.035","-0.630","55.299","55.299"
"≈ Near model (-3) | ✅ Success aligned with model | ⚠️ Driving Distance missed model (-16.32) | ✅ Rough Proximity beat model (-16.17) | ✅ Fairway Proximity beat model (-2.02) | ✅ SG T2G beat model (1.066) | Δ Approach ↑ prev over 150 rgh","23602","Hojgaard, Nicolai",6,3,"2.008","1.093","287.400","303.722","62.47%","62.41%","1.750","0.684","1.174","0.413","0.226","-0.140","0.351","0.411","0.258","0.313","70.85%","68.99%","72.25%","68.43%","4.000","4.073","3.250","3.434","68.250","69.056","27.000","29.017","33.553","49.721","98.37%","87.40%","0.106","3.456","14.336","15.190","75.72%","87.90%","-0.038","1.890","23.353","17.589","43.50%","37.20%","0.049","-3.186","36.513","49.544","41.20%","37.70%","0.179","4.104","35.724","42.684","63.66%","86.30%","0.086","0.882","25.631","30.218","46.25%","65.00%","-0.038","0.936","44.055","41.850"
"✅ Beat model by 18 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-3.48) | ⚠️ Driving Distance missed model (-2.42) | ✅ SG Total beat model (1.715) | ✅ SG Putting beat model (1.466) | Δ Approach ↑ prev 50 100 fw","17365","Mitchell, Keith",6,24,"2.008","0.293","297.825","300.240","50.00%","58.50%","1.509","0.759","1.110","0.379","-0.168","0.062","0.567","0.318","0.499","-0.967","73.60%","70.86%","65.63%","62.06%","4.000","3.645","2.500","4.595","68.250","69.614","27.846","28.074","42.104","45.585","94.22%","87.40%","0.045","1.926","16.559","13.726","93.90%","82.50%","0.155","0.054","17.951","22.581","44.18%","61.60%","-0.018","0.090","36.068","39.217","70.13%","28.80%","0.058","-0.324","48.437","59.904","74.40%","77.70%","0.080","0.774","24.532","28.328","47.77%","46.50%","0.093","-0.828","44.984","44.914"
"✅ Beat model by 110 | ⚠️ Success despite model prediction | ⚠️ Driving Distance missed model (-8.09) | ✅ SG Total beat model (4.185) | ✅ Rough Proximity beat model (-3.59) | ⚠️ Fairway Proximity missed model (3.11) | Δ Approach ↓ curr 50 100 fw","29770","Mouw, William",6,116,"2.008","-2.177","285.600","293.690","73.20%","64.99%","0.976","-1.787","0.099","-0.642","-0.133","-0.667","1.010","-0.478","1.031","-0.286","77.77%","62.88%","82.50%","53.10%","3.500","2.683","2.250","5.484","68.250","72.139","36.839","33.733","53.291","56.880","60.10%","60.10%","-0.295","-5.310","22.498","22.498","54.70%","54.70%","-0.102","-1.836","22.551","22.551","64.20%","64.20%","0.110","1.980","30.534","30.534","39.30%","39.30%","0.043","0.774","49.848","49.848","68.00%","68.00%","-0.002","-0.036","30.696","30.696","41.20%","41.20%","-0.071","-1.278","49.716","49.716"
"≈ Near model (+3) | ✅ Success aligned with model | ⚠️ Driving Distance missed model (-13.55) | ✅ Rough Proximity beat model (-7.34) | ✅ SG Total beat model (1.302) | ✅ SG Approach beat model (1.133) | Δ Approach ↑ curr over 200 fw","23838","Hojgaard, Rasmus",9,12,"1.758","0.456","291.275","304.827","49.97%","50.13%","1.031","0.014","1.364","0.231","-0.069","-0.153","-0.264","-0.064","0.727","0.268","69.45%","70.75%","70.35%","55.10%","3.250","3.795","3.000","3.861","68.500","69.668","27.155","28.284","51.486","58.823","82.60%","82.60%","-0.039","-0.702","15.814","15.814","88.90%","88.90%","0.038","0.684","20.565","20.565","49.40%","49.40%","-0.077","-1.386","41.070","41.070","41.70%","41.70%","0.034","0.612","52.369","52.369","68.70%","68.70%","-0.024","-0.432","35.763","35.763","71.30%","71.30%","0.163","2.934","38.717","38.717"
"✅ Beat model by 13 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-44.09) | ⚠️ Driving Distance missed model (-7.63) | ✅ Fairway Proximity beat model (-3.26) | ✅ SG Approach beat model (1.644) | Δ Approach ↑ curr over 150 rgh","14509","Dahmen, Joel",9,22,"1.758","0.564","282.975","290.600","71.42%","73.36%","1.914","0.307","1.366","-0.278","-0.390","0.002","0.938","0.583","-0.156","0.076","77.77%","68.88%","59.53%","66.81%","3.750","3.406","1.750","3.793","68.500","69.635","27.591","30.850","19.332","63.419","95.40%","73.00%","-0.114","0.468","24.151","15.723","82.70%","87.30%","0.025","0.090","19.229","25.384","98.40%","41.90%","0.199","-1.458","23.578","54.873","43.50%","0.00%","0.244","0.000","28.221","0.000","63.21%","65.80%","0.064","-1.170","29.600","33.691","63.27%","49.90%","0.092","-0.810","33.635","45.123"
