# peak_timing_summary avg_return_to_form_index=, median_return_to_form_index=
# peak_timing_status_counts no_baseline:348
# peak_timing_early_peakers 
# peak_timing_late_peakers 
dg_id,player_name,seasons,avg_slope,avg_r,avg_return_to_form,return_to_form_count,trend
14609,"Kim, Si Woo",1,-1.025243,-0.772688,,0,slow_starter
15466,"Cantlay, Patrick",1,-0.989586,-0.708861,,0,slow_starter
17786,"Davis, Cameron",1,-0.558186,-0.646106,,0,slow_starter
11676,"Finau, Tony",1,-0.083014,-0.078359,,0,slow_starter
18238,"Ancer, Abraham",1,0.170943,0.249901,,0,fast_starter
24550,"Ghim, Doug",1,0.127214,0.146522,,0,fast_starter
12946,"Thompson, Michael",1,-0.496764,-0.555938,,0,slow_starter
14459,"An, Byeong Hun",1,-1.260864,-0.649631,,0,slow_starter
7108,"Casey, Paul",1,-0.567264,-0.753017,,0,slow_starter
7655,"Molinari, Francesco",1,-0.807929,-0.717763,,0,slow_starter
8825,"Harman, Brian",1,0.269414,0.395874,,0,fast_starter
17488,"Im, Sungjae",1,-0.007536,-0.021612,,0,slow_starter
6283,"Sabbatini, Rory",1,-0.255929,-0.287614,,0,slow_starter
11657,"Norlander, Henrik",1,-0.087679,-0.130131,,0,slow_starter
17509,"Seiffert, Chase",1,0.292364,0.300365,,0,fast_starter
12423,"Kirk, Chris",1,-0.204250,-0.207901,,0,slow_starter
8469,"Armour, Ryan",1,-0.245564,-0.609429,,0,slow_starter
14081,"Hoag, Bo",1,-0.099050,-0.228623,,0,slow_starter
13831,"Knox, Russell",1,0.255636,0.306772,,0,fast_starter
12577,"Woodland, Gary",1,-0.382093,-0.495055,,0,slow_starter
12965,"Fowler, Rickie",1,-0.369764,-0.490251,,0,slow_starter
7960,"List, Luke",1,-0.102114,-0.153216,,0,slow_starter
8605,"Jones, Matt",1,-0.094186,-0.254203,,0,slow_starter
14704,"Putnam, Andrew",1,0.491607,0.573857,,0,fast_starter
19364,"Werenski, Richy",1,0.065479,0.150464,,0,fast_starter
11019,"Steele, Brendan",1,-0.234500,-0.542308,,0,slow_starter
18695,"Hagy, Brandon",1,0.603714,0.487380,,0,fast_starter
17538,"Homa, Max",1,0.187907,0.303421,,0,fast_starter
18580,"Gooch, Talor",1,0.017479,0.034457,,0,fast_starter
21237,"Hickok, Kramer",1,-1.146664,-0.885746,,0,slow_starter
14606,"Huh, John",1,-0.065057,-0.099170,,0,slow_starter
13965,"Hadwin, Adam",1,-0.373721,-0.454582,,0,slow_starter
11374,"Hahn, James",1,-0.033686,-0.033220,,0,slow_starter
13497,"Lee, Kyoung-Hoon",1,-0.579757,-0.570485,,0,slow_starter
12069,"Stanley, Kyle",1,0.218821,0.376287,,0,fast_starter
18579,"Cook, Austin",1,-0.611650,-0.784025,,0,slow_starter
11082,"Burgoon, Bronson",1,-0.222043,-0.498104,,0,slow_starter
19477,"Schenk, Adam",1,0.312943,0.327700,,0,fast_starter
12808,"Grillo, Emiliano",1,0.168200,0.210294,,0,fast_starter
13342,"Gibson, Rhein",1,0.084607,0.118115,,0,fast_starter
10419,"Noren, Alex",1,-0.193164,-0.232476,,0,slow_starter
14050,"Sloan, Roger",1,0.309300,0.727965,,0,fast_starter
8085,"Teater, Josh",1,-0.493236,-0.568802,,0,slow_starter
17584,"McCumber, Tyler",1,-0.073771,-0.068359,,0,slow_starter
25919,"Wolff, Matthew",1,-1.292679,-0.541260,,0,slow_starter
11382,"Lovemark, Jamie",1,-0.287650,-0.302819,,0,slow_starter
8002,"Oppenheim, Rob",1,-0.129057,-0.094975,,0,slow_starter
9586,"Laird, Martin",1,-0.134386,-0.245986,,0,slow_starter
27194,"Hall, Harry",1,-0.450000,-0.318158,,0,slow_starter
16715,"Ryder, Sam",1,-0.341193,-0.325625,,0,slow_starter
13022,"Stuard, Brian",1,-0.104443,-0.205066,,0,slow_starter
13126,"Taylor, Nick",1,0.066879,0.138826,,0,fast_starter
13470,"Kizzire, Patton",1,-0.236029,-0.511793,,0,slow_starter
7398,"Schwartzel, Charl",1,-0.751314,-0.835313,,0,slow_starter
23604,"Clark, Wyndham",1,-0.700186,-0.683715,,0,slow_starter
17550,"van Rooyen, Erik",1,0.034957,0.297062,,0,fast_starter
18187,"Duncan, Tyler",1,0.130500,0.263570,,0,fast_starter
14007,"Martin, Ben",1,0.112907,0.159124,,0,fast_starter
14013,"Tringale, Cameron",1,0.146107,0.271243,,0,fast_starter
6930,"Taylor, Vaughn",1,-0.060979,-0.090448,,0,slow_starter
7293,"Walker, Jimmy",1,-0.165600,-0.197971,,0,slow_starter
6986,"Johnson, Zach",1,0.470007,0.847766,,0,fast_starter
21943,"Lebioda, Hank",1,-0.327543,-0.415745,,0,slow_starter
26660,"Gordon, Will",1,0.428350,0.521798,,0,fast_starter
14776,"Cappelen, Sebastian",1,0.162029,0.194768,,0,fast_starter
7340,"Hearn, David",1,0.014157,0.022434,,0,fast_starter
14000,"Landry, Andrew",1,0.576657,0.766078,,0,fast_starter
15239,"Ledesma, Nelson",1,0.196036,0.226021,,0,fast_starter
