"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","-0.468","0.007","292.780","0.000","58.63%","-0.011","-0.338","0.029","-0.207","0.032","-0.055","0.000","-0.154","0.000","-0.236","0.014","66.13%","-0.007","61.63%","0.000","2.983","-0.013","4.012","0.009","70.425","0.000","3.726","-0.011","-0.061","0.000","30.698","0.005","56.087","0.009","81.10%","0.000","15.814","74.80%","0.000","19.763","52.40%","0.000","36.893","30.80%","0.000","58.125","65.20%","0.000","30.636","42.00%","0.000","40.817","0.02","0.04","-0.349","-0.031"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.349)","Delta Predictive Score (median=-0.031)"
"↑ Above average | 💪 SG Around Green, SG OTT | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend↓ | BucketSig ↓ z=-1.54 (-1.216) [S↑ M↓ L↓ VL↓]",1,"15310","Li, Haotong",1,2,"1.27","0.995","0.252","-0.160","303.053","0.000","60.53%","-0.010","0.936","-0.071","-0.232","-0.473","0.478","0.339","0.691","0.015","-0.583","-25.459","68.63%","-0.017","64.33%","0.008","3.384","-0.020","4.249","0.046","70.201","0.004","3.970","-0.025","0.349","0.000","30.459","0.005","69.197","0.068","78.00%","0.234","16.371","64.90%","-0.936","22.996","67.90%","0.792","46.521","51.50%","0.342","71.704","74.60%","0.540","30.104","50.60%","0.306","40.206","1.27","0.60","-3.418","-0.273"
"↑ Above average | 💪 SG Putting, SG Around Green | ✅ Strong course fit | ↑ Putting | For Course Setup - ΔPred↑ ΔTrend→ | BucketSig ↑ z=0.90 (0.488) [S↑ M↓ L↑ VL↑]",2,"28159","Meissner, Mac",3,4,"1.08","0.971","1.668","0.061","294.605","0.004","56.34%","-0.033","0.821","-0.058","0.426","-0.150","0.266","0.449","0.129","-0.156","0.929","0.506","71.14%","-0.013","77.27%","0.018","3.922","0.049","2.367","-0.026","68.357","0.000","4.587","0.000","0.651","0.000","27.528","0.000","49.814","0.022","85.00%","-0.666","16.350","90.90%","1.386","21.288","60.70%","0.018","40.318","20.20%","-0.504","52.163","74.20%","0.594","27.109","53.40%","0.432","40.576","1.08","0.56","1.425","0.151"
"↑ Above average | 💪 SG Putting, SG T2G | ✅ Strong course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend↑ | BucketSig ↑ z=1.48 (0.897) [S↓ M↓ L↑ VL↓]",3,"23602","Hojgaard, Nicolai",5,8,"0.99","1.012","1.093","0.093","303.722","0.000","62.41%","0.014","0.684","0.084","0.413","0.007","-0.140","-0.665","0.411","0.066","0.313","0.261","68.99%","0.004","68.43%","0.037","4.073","0.005","3.434","-0.032","69.056","0.000","4.223","0.008","1.431","0.000","29.017","-0.005","49.721","0.009","87.40%","3.456","15.190","87.90%","1.890","17.589","37.20%","-3.186","49.544","37.70%","4.104","42.684","86.30%","0.882","30.218","65.00%","0.936","41.850","0.99","0.55","2.836","0.107"
"💪 SG T2G, SG OTT | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend↑ | BucketSig ↑ z=1.33 (0.793) [S↓ M↓ L↑ VL↑]",4,"27364","Thompson, Davis",5,8,"0.67","0.977","0.274","-0.502","297.376","0.000","66.43%","0.000","0.842","-0.102","0.219","-0.141","0.017","-3.724","0.606","-0.028","-0.425","0.191","74.27%","-0.007","60.52%","-0.025","3.017","-0.048","2.714","-0.019","69.630","0.003","3.671","-0.045","0.744","0.000","29.942","0.024","49.057","0.046","91.00%","-0.468","16.682","85.70%","1.602","17.965","46.40%","-2.502","47.477","52.10%","1.710","45.425","74.30%","1.512","27.533","44.70%","-0.720","43.413","0.67","0.34","2.577","0.126"
"💪 SG Around Green, SG T2G | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.10 (-0.069) [S→ M↑ L↓ VL↓]",5,"16757","Dou, Zecheng",1,1,"0.48","0.969","0.681","-0.472","298.283","0.006","52.61%","-0.008","0.736","-0.994","0.472","0.436","0.395","0.041","-0.131","0.000","-0.296","-3.022","67.35%","0.004","66.89%","-0.012","4.226","0.052","3.326","-0.041","69.422","-0.004","4.488","0.035","0.722","0.000","27.659","-0.019","58.740","0.029","75.70%","2.070","12.087","81.00%","1.530","18.935","45.70%","-0.738","40.544","34.10%","0.396","58.634","78.70%","0.810","29.654","61.30%","1.620","42.927","0.48","0.39","-0.319","-0.002"
"💪 SG T2G, Approach >200 FW Prox | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.17 (0.676) [S↓ M↑ L↑ VL↑]",6,"29767","Gerard, Ryan",6,8,"0.49","1.017","0.128","-0.087","289.120","0.000","59.88%","-0.011","0.520","-0.005","0.640","0.033","0.000","0.472","-0.085","0.009","-0.606","-0.770","65.25%","-0.004","61.07%","-0.016","3.417","0.024","3.845","0.036","69.380","0.000","4.001","-0.014","0.819","0.000","26.790","-0.014","42.668","0.012","80.10%","-1.260","19.665","81.90%","0.540","20.538","62.00%","0.774","32.756","40.90%","0.342","55.735","76.10%","1.710","26.074","63.10%","1.836","36.152","0.49","0.25","1.636","0.243"
"💪 SG OTT, SG T2G | 👍 Good course fit | ↑ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.71 (0.356) [S↓ M↑ L↑ VL↑]",7,"18474","Smalley, Alex",8,13,"0.50","0.985","0.216","0.153","292.534","0.000","66.01%","0.037","0.525","0.252","0.007","0.126","-0.173","0.021","0.691","0.612","-0.707","0.130","68.74%","0.000","62.14%","0.000","3.927","0.000","4.598","-0.010","69.737","0.000","4.269","0.014","0.575","0.000","28.967","0.000","46.750","-0.032","78.20%","-2.592","20.010","87.20%","0.504","20.704","63.20%","1.188","32.655","36.30%","0.684","56.211","69.00%","-0.126","31.599","53.00%","2.088","38.547","0.50","0.23","1.042","0.081"
"💪 SG T2G, SG OTT | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.15 (-0.037) [S→ M↓ L↑ VL↓]",8,"18586","Smith, Jordan",0,0,"0.42","0.976","1.100","0.752","303.414","0.004","59.28%","-0.004","0.449","-0.045","0.500","0.182","-0.407","-0.954","0.355","0.092","0.229","-0.717","74.54%","0.011","58.95%","0.000","4.071","0.025","2.441","-0.060","68.875","0.000","4.732","0.036","0.749","0.000","33.059","0.000","51.016","0.000","99.00%","0.900","19.485","78.20%","-0.468","24.686","48.10%","1.314","36.893","38.70%","1.314","58.419","70.50%","0.252","32.372","55.60%","0.270","48.907","0.42","0.32","-0.002","-0.088"
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.37 (-0.395) [S↑ M↓ L↓ VL↑]",9,"10104","Power, Seamus",6,14,"0.42","0.983","0.600","-0.071","288.502","0.006","58.06%","-0.032","-0.386","-0.760","-0.976","-14.407","0.621","0.418","-0.031","0.111","0.954","0.090","62.42%","-0.032","68.78%","0.033","3.416","-0.004","4.226","0.013","69.480","0.004","4.166","-0.023","0.433","0.000","32.640","0.041","58.053","0.020","86.10%","0.918","12.839","77.80%","0.072","21.308","59.60%","0.486","40.250","36.00%","-1.080","79.836","69.80%","-0.306","35.229","55.20%","1.746","37.569","0.42","0.31","-0.887","-0.089"
