course_num,n,slope,intercept,r,t_stat,p_value
12,411,-7.711062,50.952468,-0.312398,-6.650727,0.000000
872,222,-20.745815,51.727297,-0.403565,-6.542239,0.000000
9,378,-7.155794,48.279865,-0.307885,-6.274929,0.000000
513,326,-4.416276,41.996109,-0.215003,-3.962723,0.000074
11,567,-2.244008,56.204078,-0.095130,-2.271511,0.023116
752,604,-2.290772,56.963581,-0.089359,-2.201285,0.027716
21,501,-1.515419,52.799153,-0.058525,-1.309599,0.190332
665,587,-0.947999,56.095507,-0.033797,-0.817913,0.413406
928,287,-0.617951,51.617951,-0.012784,-0.215841,0.829112
241,155,0.000000,56.038710,0.000000,0.000000,1.000000
