course_num,n,slope,intercept,r,t_stat,p_value
928,3283,-0.777241,56.342685,-0.167955,-9.759100,0.000000
714,978,-3.095921,57.026962,-0.252293,-8.145392,0.000000
500,755,-3.518521,53.084949,-0.255871,-7.263098,0.000000
12,2083,-1.062608,56.492528,-0.151340,-6.984287,0.000000
11,2670,-0.772395,56.740314,-0.131735,-6.864273,0.000000
510,411,-7.711062,50.952468,-0.312398,-6.650727,0.000000
5,411,-7.711062,50.952468,-0.312398,-6.650727,0.000000
9,378,-7.155794,48.279865,-0.307885,-6.274929,0.000000
21,912,-2.681065,53.485521,-0.191151,-5.874611,0.000000
665,1786,-1.034643,54.663769,-0.117726,-5.007247,0.000001
770,1191,-0.838962,56.830493,-0.061230,-2.115297,0.034405
