course_num,n,slope,intercept,r,t_stat,p_value
872,376,-13.496302,56.944988,-0.382923,-8.016388,0.000000
9,498,-6.089157,50.073811,-0.310632,-7.278159,0.000000
12,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
513,326,-4.416276,41.996109,-0.215003,-3.962723,0.000074
11,720,-2.243950,57.081305,-0.120166,-3.243411,0.001181
752,760,-1.844760,57.208857,-0.087046,-2.405674,0.016143
21,619,-1.213348,52.694604,-0.056651,-1.409445,0.158704
665,742,-0.941412,56.056475,-0.040632,-1.106237,0.268624
928,287,-0.617951,51.617951,-0.012784,-0.215841,0.829112
241,155,0.000000,56.038710,0.000000,0.000000,1.000000
