course_num,n,slope,intercept,r,t_stat,p_value
500,1029,-3.240239,55.306472,-0.282900,-9.452183,0.000000
928,3998,-0.652374,56.497486,-0.166348,-10.664118,0.000000
714,1264,-2.423487,57.304758,-0.245314,-8.989376,0.000000
12,2643,-0.863484,56.682042,-0.152052,-7.905993,0.000000
11,3385,-0.632617,56.850036,-0.133292,-7.822537,0.000000
9,498,-6.089157,50.073811,-0.310632,-7.278159,0.000000
510,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
5,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
21,1163,-2.032338,53.505520,-0.179886,-6.230994,0.000000
665,2192,-0.873025,54.722462,-0.119211,-5.618837,0.000000
770,1502,-0.686302,56.813989,-0.060193,-2.335484,0.019518
