,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,19428,"Zalatoris, Will",0.85,0.07,0.00,0.96,20.77,0.02,138.00,0.78,0.10,0.00,0.96,28.24,0.09,181.00,0.84,0.05,0.00,0.92,17.74,-0.03,39.00,0.36,0.04,0.00,0.97,61.28,0.00,69.00,0.40,0.08,0.00,0.95,47.21,0.02,91.00,0.67,0.08,0.00,0.92,34.19,0.03,66
,18841,"Hovland, Viktor",0.84,0.10,0.00,0.95,19.11,0.05,233.00,0.72,0.09,0.00,0.97,25.49,0.09,334.00,0.90,0.13,0.00,0.97,15.13,0.07,75.00,0.38,0.06,0.00,0.98,65.31,0.03,118.00,0.53,0.08,0.00,0.96,37.95,0.05,186.00,0.64,0.05,0.00,0.95,35.38,0.03,85
,14796,"Hatton, Tyrrell",0.83,0.07,0.00,0.96,19.36,0.03,55.00,0.75,0.11,0.00,0.98,25.32,0.08,100.00,0.82,0.09,0.00,1.00,11.37,0.04,22.00,,,,,,,,0.49,0.04,0.00,0.95,44.74,0.02,56.00,0.43,0.00,0.00,0.94,38.05,-0.04,17
,32319,"Koivun, Jackson",0.81,0.08,0.00,0.89,20.75,0.01,111.00,0.72,0.08,0.00,0.96,25.71,0.08,107.00,0.72,0.05,0.00,0.91,17.26,-0.11,22.00,0.40,0.00,1.00,0.96,82.43,-0.05,22.00,0.43,0.03,0.00,1.00,43.94,0.00,71.00,0.42,0.09,0.00,1.00,44.20,-0.04,35
,22736,"Rosenmueller, Thomas",0.80,0.07,0.00,0.94,22.79,-0.02,183.00,0.73,0.08,0.00,0.98,27.67,0.08,260.00,0.89,0.08,0.00,0.94,18.63,-0.01,84.00,0.36,0.03,0.00,0.97,57.25,0.01,67.00,0.48,0.05,0.00,0.96,44.11,0.02,144.00,0.55,0.03,0.00,0.95,40.03,-0.03,97
,13900,"Lowry, Shane",0.82,0.06,0.00,0.94,19.69,0.03,275.00,0.73,0.08,0.00,0.97,26.83,0.07,370.00,0.85,0.14,0.00,0.96,15.26,0.04,91.00,0.40,0.07,0.00,0.97,53.51,0.05,128.00,0.53,0.07,0.00,0.97,43.54,0.05,202.00,0.61,0.06,0.00,0.97,35.44,0.03,87
,18417,"Scheffler, Scottie",0.86,0.09,0.00,0.97,18.39,0.07,332.00,0.76,0.06,0.00,0.97,26.69,0.07,452.00,0.85,0.12,0.00,0.96,14.84,0.09,108.00,0.41,0.07,0.00,1.00,54.26,0.10,124.00,0.50,0.08,0.00,0.97,39.67,0.07,264.00,0.58,0.07,0.00,0.94,37.50,0.04,139
,23841,"Neergaard-Petersen, Rasmus",,,,,,,,0.75,0.04,0.00,0.99,28.47,0.06,76.00,0.81,0.07,0.00,0.87,18.09,-0.04,15.00,,,,,,,,0.60,0.03,1.00,1.00,39.32,0.06,38.00,0.57,0.11,0.00,0.94,37.88,0.05,18
,15466,"Cantlay, Patrick",0.88,0.06,0.00,0.95,18.81,0.05,269.00,0.77,0.09,0.00,0.98,28.30,0.06,322.00,0.93,0.13,0.00,0.96,15.14,0.06,94.00,0.39,0.06,0.00,0.99,62.68,0.08,127.00,0.41,0.04,0.00,0.94,43.85,-0.01,189.00,0.63,0.04,0.00,0.96,36.78,0.01,139
,13562,"Matsuyama, Hideki",0.80,0.08,0.00,0.94,20.31,0.02,304.00,0.73,0.08,0.00,0.97,26.62,0.06,417.00,0.83,0.13,0.00,0.92,15.15,0.05,91.00,0.29,0.04,0.00,0.97,56.79,0.01,150.00,0.48,0.10,0.00,0.97,39.19,0.06,231.00,0.48,0.05,0.00,0.95,38.45,-0.05,129
