,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,23950,"Aberg, Ludvig",0,Farmers Insurance Open,,,1,52955,1,1,2026-01-29 9:32,2026-01-30 10:38,,,0
,19846,"Bauchou, Zach",0,Farmers Insurance Open,,,1,48001,1,1,2026-01-29 9:54,2026-01-30 11:00,,,0
,18103,"Bezuidenhout, Christiaan",0,Farmers Insurance Open,,,,45522,1,10,2026-01-29 10:27,2026-01-30 9:10,,,0
,26096,"Bhatia, Akshay",0,Farmers Insurance Open,,,,56630,1,1,2026-01-29 10:38,2026-01-30 9:32,,,0
,24956,"Blanchet, Chandler",0,Farmers Insurance Open,,,1,54788,1,10,2026-01-29 10:05,2026-01-30 11:11,,,0
,13872,"Bradley, Keegan",0,Farmers Insurance Open,,,,33141,1,10,2026-01-29 10:49,2026-01-30 9:43,,,0
,29197,"Brennan, Michael",0,Farmers Insurance Open,,,1,61522,1,10,2026-01-29 9:43,2026-01-30 10:49,,,0
,20766,"Brown, Dan",0,Farmers Insurance Open,,,1,57259,1,10,2026-01-29 10:05,2026-01-30 11:11,,,0
,29304,"Byrd, Marcus",0,Farmers Insurance Open,,,,58816,1,1,2026-01-29 11:11,2026-01-30 10:05,,,0
,12909,"Campos, Rafael",0,Farmers Insurance Open,,,1,32070,1,10,2026-01-29 9:10,2026-01-30 10:16,,,0
,15466,"Cantlay, Patrick",0,Farmers Insurance Open,,,,35450,1,1,2026-01-29 10:38,2026-01-30 9:32,,,0
,27819,"Castillo, Ricky",0,Farmers Insurance Open,,,1,59440,1,10,2026-01-29 10:05,2026-01-30 11:11,,,0
,30620,"Chatfield, Davis",0,Farmers Insurance Open,,,,59006,1,10,2026-01-29 11:22,2026-01-30 10:05,,,0
,32330,"Clanton, Luke",0,Farmers Insurance Open,,,,66743,1,10,2026-01-29 11:11,2026-01-30 9:54,,,0
,23604,"Clark, Wyndham",0,Farmers Insurance Open,,,1,51766,1,10,2026-01-29 9:32,2026-01-30 10:38,,,0
,21756,"Cole, Eric",0,Farmers Insurance Open,,,1,47591,1,1,2026-01-29 9:21,2026-01-30 10:27,,,0
,28309,"Coody, Pierceson",0,Farmers Insurance Open,,,,59836,1,10,2026-01-29 11:11,2026-01-30 10:05,,,0
,14509,"Dahmen, Joel",0,Farmers Insurance Open,,,,34076,1,1,2026-01-29 10:27,2026-01-30 9:21,,,0
,17786,"Davis, Cam",0,Farmers Insurance Open,,,1,45157,1,10,2026-01-29 9:43,2026-01-30 10:49,,,0
,9771,"Day, Jason",0,Farmers Insurance Open,,,,28089,1,10,2026-01-29 10:38,2026-01-30 9:32,,,0
,16757,"Dou, Zecheng",0,Farmers Insurance Open,,,,37338,1,1,2026-01-29 11:00,2026-01-30 9:54,,,0
,22002,"Dumont De Chassart, Adrien",0,Farmers Insurance Open,,,,50497,1,1,2026-01-29 10:49,2026-01-30 9:43,,,0
,26653,"Eckroat, Austin",0,Farmers Insurance Open,,,1,57362,1,10,2026-01-29 9:10,2026-01-30 10:16,,,0
,14577,"English, Harris",0,Farmers Insurance Open,,,1,34099,1,1,2026-01-29 9:43,2026-01-30 10:49,,,0
,21883,"Ewart, A.J.",0,Farmers Insurance Open,,,,50286,1,1,2026-01-29 11:11,2026-01-30 10:05,,,0
,11676,"Finau, Tony",0,Farmers Insurance Open,,,,29725,1,1,2026-01-29 10:49,2026-01-30 9:43,,,0
,25094,"Fishburn, Patrick",0,Farmers Insurance Open,,,1,54576,1,10,2026-01-29 10:05,2026-01-30 11:11,,,0
