"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 50 | ⚠️ Success despite model prediction","6093","Rose, Justin",1,51,"","-0.640","","285.671","","63.79%","","-0.781","","-0.584","","0.280","","-0.476","","-0.345","","53.57%","","63.21%","","3.453","","4.547","","72.759","","3.571","","34.985","","47.073","","89.00%","","1.260","","15.520","","82.00%","","0.720","","19.020","","62.00%","","0.360","","38.750","","44.00%","","0.720","","54.210","","70.00%","","0.540","","28.580","","45.00%","","0.180","","50.960"
"✅ Beat model by 35 | ⚠️ Success despite model prediction","14609","Kim, Si Woo",2,37,"","0.442","","290.307","","67.87%","","0.425","","-0.188","","0.309","","0.304","","-1.020","","56.29%","","64.14%","","3.658","","4.617","","71.665","","3.397","","31.016","","69.545","","83.00%","","-0.540","","17.060","","79.00%","","0.540","","21.790","","54.00%","","0.000","","37.160","","37.00%","","-0.180","","64.890","","70.00%","","1.080","","27.150","","48.00%","","1.260","","40.470"
"✅ Beat model by 47 | ⚠️ Success despite model prediction","28309","Coody, Pierceson",2,49,"","0.999","","295.798","","52.51%","","0.775","","0.317","","-0.048","","0.507","","0.042","","66.85%","","71.54%","","3.287","","3.902","","69.116","","4.692","","28.060","","51.027","","91.00%","","0.900","","17.060","","85.00%","","-0.180","","23.410","","57.00%","","-0.540","","42.960","","28.00%","","-1.620","","66.870","","65.00%","","0.000","","31.970","","51.00%","","0.000","","46.100"
"✅ Beat model by 84 | ⚠️ Success despite model prediction","22760","Hisatsune, Ryo",2,86,"","0.234","","292.906","","55.93%","","0.131","","0.169","","-0.048","","0.010","","-0.804","","62.46%","","62.76%","","3.471","","3.571","","70.317","","3.962","","33.064","","50.688","","80.00%","","-1.800","","20.010","","83.00%","","-0.360","","22.200","","63.00%","","0.360","","36.390","","37.00%","","0.000","","61.250","","72.00%","","0.720","","30.060","","45.00%","","0.000","","45.460"
"✅ Beat model by 11 | ✅ Success aligned with model","19396","Knapp, Jake",5,16,"","0.727","","299.482","","54.93%","","-0.053","","0.132","","0.080","","-0.266","","1.007","","58.17%","","68.11%","","4.313","","3.637","","70.451","","4.094","","32.853","","48.976","","87.00%","","-0.180","","20.230","","81.00%","","0.540","","21.570","","61.00%","","1.080","","34.630","","37.00%","","0.180","","57.920","","63.00%","","-0.900","","32.720","","47.00%","","0.180","","43.550"
"✅ Beat model by 129 | ⚠️ Success despite model prediction","16394","Jaeger, Stephan",5,134,"","-0.768","","295.558","","51.67%","","-0.854","","-0.193","","-0.190","","-0.471","","-0.566","","52.04%","","57.60%","","3.350","","4.822","","73.062","","3.388","","31.744","","70.155","","89.00%","","1.620","","15.260","","77.00%","","0.000","","20.400","","54.00%","","0.180","","38.960","","38.00%","","1.080","","61.130","","72.00%","","0.180","","29.790","","45.00%","","-0.360","","44.150"
"✅ Beat model by 84 | ⚠️ Success despite model prediction","14509","Dahmen, Joel",7,91,"","-0.408","","287.272","","60.30%","","0.309","","-0.141","","0.285","","0.165","","-0.641","","60.83%","","59.31%","","3.460","","3.129","","72.355","","3.143","","33.824","","80.774","","83.00%","","-0.180","","17.450","","76.00%","","0.180","","21.930","","53.00%","","0.360","","35.950","","32.00%","","0.180","","67.060","","66.00%","","0.000","","31.980","","53.00%","","-0.180","","43.820"
"✅ Beat model by 100 | ⚠️ Success despite model prediction","23014","Theegala, Sahith",7,107,"","-0.633","","288.371","","52.99%","","-0.193","","0.308","","-0.270","","-0.231","","0.417","","61.50%","","57.44%","","3.200","","4.439","","72.866","","3.469","","29.484","","57.871","","82.00%","","0.360","","17.060","","80.00%","","0.000","","21.790","","52.00%","","-0.540","","35.490","","33.00%","","-0.180","","61.480","","65.00%","","-0.180","","30.430","","44.00%","","0.180","","44.170"
"✅ Beat model by 122 | ⚠️ Success despite model prediction","23475","Novak, Andrew",7,129,"","-1.673","","286.758","","64.61%","","-1.827","","-0.642","","-1.072","","-0.112","","0.437","","56.99%","","58.53%","","3.438","","5.493","","73.109","","3.822","","30.445","","70.585","","87.00%","","0.540","","16.080","","78.00%","","0.000","","21.760","","52.00%","","-0.900","","40.910","","32.00%","","0.000","","65.700","","67.00%","","0.180","","29.610","","42.00%","","-0.180","","43.110"
"✅ Success aligned with model","18634","McNealy, Maverick",10,9,"","1.171","","290.587","","66.69%","","0.836","","0.420","","-0.168","","0.584","","-0.860","","62.41%","","62.62%","","3.339","","3.717","","70.988","","4.155","","34.501","","60.286","","87.00%","","0.180","","16.410","","83.00%","","0.540","","20.250","","57.00%","","0.000","","40.170","","38.00%","","0.540","","61.400","","72.00%","","0.540","","30.150","","48.00%","","0.180","","47.660"
