course_num,dg_id,player_name,event_key,event_completed,year,finish_position,prior_starts
4,6093,"Rose, Justin",2022-4,2022-01-29,2022,6,0
4,6093,"Rose, Justin",2023-4,2023-01-28,2023,18,1
4,6093,"Rose, Justin",2024-4,2024-01-27,2024,56,2
4,6093,"Rose, Justin",2025-4,2025-01-25,2025,71,3
4,6093,"Rose, Justin",2026-4,2026-02-01,2026,1,4
4,28309,"Coody, Pierceson",2026-4,2026-02-01,2026,2,0
4,14609,"Kim, Si Woo",2021-4,2021-01-31,2021,80,0
4,14609,"Kim, Si Woo",2022-4,2022-01-29,2022,11,1
4,14609,"Kim, Si Woo",2023-4,2023-01-28,2023,25,2
4,14609,"Kim, Si Woo",2025-4,2025-01-25,2025,71,3
4,14609,"Kim, Si Woo",2026-4,2026-02-01,2026,2,4
4,22760,"Hisatsune, Ryo",2024-4,2024-01-27,2024,33,0
4,22760,"Hisatsune, Ryo",2026-4,2026-02-01,2026,2,1
4,16394,"Jaeger, Stephan",2022-4,2022-01-29,2022,80,0
4,16394,"Jaeger, Stephan",2023-4,2023-01-28,2023,53,1
4,16394,"Jaeger, Stephan",2024-4,2024-01-27,2024,3,2
4,16394,"Jaeger, Stephan",2026-4,2026-02-01,2026,5,3
4,19396,"Knapp, Jake",2024-4,2024-01-27,2024,3,0
4,19396,"Knapp, Jake",2025-4,2025-01-25,2025,32,1
4,19396,"Knapp, Jake",2026-4,2026-02-01,2026,5,2
4,14509,"Dahmen, Joel",2025-4,2025-01-25,2025,9,0
4,14509,"Dahmen, Joel",2026-4,2026-02-01,2026,7,1
4,23475,"Novak, Andrew",2022-4,2022-01-29,2022,70,0
4,23475,"Novak, Andrew",2023-4,2023-01-28,2023,69,1
4,23475,"Novak, Andrew",2024-4,2024-01-27,2024,79,2
4,23475,"Novak, Andrew",2025-4,2025-01-25,2025,3,3
4,23475,"Novak, Andrew",2026-4,2026-02-01,2026,7,4
4,23014,"Theegala, Sahith",2022-4,2022-01-29,2022,25,0
4,23014,"Theegala, Sahith",2023-4,2023-01-28,2023,4,1
4,23014,"Theegala, Sahith",2024-4,2024-01-27,2024,64,2
4,23014,"Theegala, Sahith",2025-4,2025-01-25,2025,52,3
4,23014,"Theegala, Sahith",2026-4,2026-02-01,2026,7,4
4,18634,"McNealy, Maverick",2022-4,2022-01-29,2022,30,0
4,18634,"McNealy, Maverick",2023-4,2023-01-28,2023,31,1
4,18634,"McNealy, Maverick",2024-4,2024-01-27,2024,37,2
4,18634,"McNealy, Maverick",2025-4,2025-01-25,2025,52,3
4,18634,"McNealy, Maverick",2026-4,2026-02-01,2026,10,4
4,13562,"Matsuyama, Hideki",2021-4,2021-01-31,2021,53,0
4,13562,"Matsuyama, Hideki",2022-4,2022-01-29,2022,30,1
4,13562,"Matsuyama, Hideki",2023-4,2023-01-28,2023,9,2
4,13562,"Matsuyama, Hideki",2024-4,2024-01-27,2024,13,3
4,13562,"Matsuyama, Hideki",2025-4,2025-01-25,2025,32,4
4,13562,"Matsuyama, Hideki",2026-4,2026-02-01,2026,11,5
4,29767,"Gerard, Ryan",2025-4,2025-01-25,2025,15,0
4,29767,"Gerard, Ryan",2026-4,2026-02-01,2026,11,1
4,10104,"Power, Seamus",2026-4,2026-02-01,2026,11,0
4,19477,"Schenk, Adam",2022-4,2022-01-29,2022,56,0
4,19477,"Schenk, Adam",2023-4,2023-01-28,2023,20,1
4,19477,"Schenk, Adam",2024-4,2024-01-27,2024,25,2
4,19477,"Schenk, Adam",2025-4,2025-01-25,2025,25,3
