"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","-0.256","-0.021","291.239","0.000","59.14%","-0.010","-0.113","-0.006","-0.062","0.007","-0.065","0.000","-0.033","0.000","-0.123","-0.016","62.35%","-0.004","60.44%","0.000","3.226","-0.006","4.055","0.000","71.494","0.000","3.654","-0.011","-0.019","0.000","32.543","0.000","57.681","0.000","84.00%","0.000","17.060","79.00%","0.000","21.660","56.00%","0.000","37.680","34.00%","0.000","58.850","67.00%","0.000","30.460","46.00%","0.000","43.850","-0.01","-0.02","-0.101","-0.004"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.101)","Delta Predictive Score (median=-0.004)"
"💪 SG Around Green, SG T2G | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.47 (0.061) [S↑ M↑ L↑ VL↓]",1,"20706","Wallace, Matt",3,6,"0.61","0.931","1.089","-0.024","296.319","0.000","58.82%","-0.019","1.304","-0.697","-0.375","1.046","1.531","1.384","0.147","-1.361","-0.553","-0.337","58.72%","-0.022","74.06%","0.080","3.015","-0.008","3.524","-0.095","70.256","0.000","3.704","-0.018","0.026","0.000","40.035","0.003","57.681","0.061","84.00%","1.440","14.640","78.00%","0.180","22.590","62.00%","0.180","39.460","40.00%","0.180","53.520","68.00%","0.180","32.350","39.00%","-1.260","49.630","0.61","0.26","0.044","0.056"
"💪 SG Around Green, SG T2G | ✅ Strong course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.41 (0.044) [S↑ M↑ L↑ VL↓]",2,"23950","Aberg, Ludvig",10,19,"0.57","0.942","1.193","0.120","296.173","0.000","60.63%","-0.027","0.934","0.146","0.357","57.537","0.280","0.048","0.296","-0.080","0.297","-0.017","63.46%","0.015","68.86%","-0.019","4.947","0.038","5.205","0.039","70.902","0.000","4.282","0.008","0.199","0.000","29.718","-0.014","73.647","-0.023","82.00%","-0.540","17.810","81.00%","0.180","20.360","51.00%","-0.720","40.720","32.00%","-0.540","74.190","70.00%","0.900","27.470","48.00%","0.360","39.110","0.57","0.32","0.036","0.040"
"💪 SG T2G | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.40 (0.043) [S↓ M↑ L↑ VL↓]",3,"17780","Pendrith, Taylor",7,18,"0.58","0.920","0.996","-0.481","302.392","0.000","57.28%","0.000","1.517","1.235","0.938","0.172","0.016","-0.500","0.563","-0.104","0.205","-0.110","64.89%","0.000","58.26%","-0.029","4.333","0.015","4.663","0.032","71.173","0.003","4.088","-0.017","0.387","0.000","33.002","-0.004","69.403","0.012","82.00%","-0.720","19.400","81.00%","0.000","22.440","57.00%","0.360","38.680","37.00%","0.720","62.380","73.00%","0.540","30.070","44.00%","-0.360","47.240","0.58","0.30","0.124","0.023"
"💪 SG Around Green, SG T2G | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend↑ | BucketSig ↑ z=0.96 (0.200) [S↓ M↑ L↑ VL↑]",4,"18474","Smalley, Alex",8,13,"0.58","0.935","0.496","-0.122","300.238","-0.004","63.74%","-0.031","1.446","0.066","0.432","0.048","0.491","0.326","0.523","-0.331","-0.162","0.824","63.29%","0.005","63.37%","0.025","4.192","-0.040","4.151","-0.038","71.207","0.000","3.384","-0.039","0.358","0.000","33.480","-0.008","65.920","0.024","79.00%","-0.900","18.130","79.00%","-0.180","21.630","55.00%","-0.540","38.970","45.00%","0.900","55.800","64.00%","-0.180","30.710","51.00%","0.900","42.220","0.58","0.28","0.614","0.058"
"💪 SG Putting, SG Around Green | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.10 (-0.044) [S↑ M↑ L↓ VL↓]",5,"6430","Scott, Adam",9,14,"0.49","0.978","0.993","0.161","296.512","0.000","58.74%","-0.021","0.881","0.039","-0.122","0.005","0.337","-0.146","0.665","-0.012","0.892","-1.082","62.09%","0.004","62.81%","-0.005","3.979","0.016","3.851","-0.019","71.035","0.000","3.772","0.023","0.633","0.000","30.416","0.000","60.170","-0.006","87.00%","1.800","14.200","80.00%","-0.180","21.090","62.00%","0.900","34.930","33.00%","0.360","56.830","66.00%","-0.180","31.440","47.00%","0.360","43.540","0.49","0.36","-0.084","-0.009"
"↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.20 (-0.128) [S↑ M↓ L↓ VL↑]",6,"15310","Li, Haotong",1,2,"0.45","0.975","0.679","-0.009","292.636","0.000","63.09%","0.000","0.395","-0.118","0.007","-0.218","-0.193","-2.662","0.580","0.023","0.290","0.793","72.02%","0.000","61.47%","0.007","3.035","-0.039","3.608","-0.019","69.266","0.000","4.064","-0.022","1.235","0.000","31.763","0.000","45.048","-0.006","86.00%","1.620","16.370","79.00%","0.360","19.100","58.00%","1.080","40.110","55.00%","1.800","43.620","75.00%","0.720","30.450","46.00%","-0.360","42.040","0.45","0.36","-0.295","-0.074"
"💪 SG Around Green, SG T2G | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.26 (0.002) [S→ M↑ L↑ VL↓]",7,"19895","Schauffele, Xander",23,38,"0.47","0.965","0.610","-0.046","301.630","-0.003","53.04%","-0.011","1.055","0.148","0.389","0.400","0.278","-1.463","0.388","-0.026","-0.201","-6.653","59.49%","0.012","59.03%","0.004","4.020","-0.045","4.067","-0.012","71.508","0.000","4.036","-0.011","0.472","0.000","32.053","0.000","50.454","-0.016","92.00%","1.080","14.930","81.00%","0.180","20.680","60.00%","0.540","36.460","35.00%","-0.360","64.460","74.00%","0.720","27.130","53.00%","0.720","39.320","0.47","0.32","-0.011","0.024"
"💪 SG T2G, Approach >200 FW Prox | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.43 (0.334) [S↓ M↑ L↑ VL↑]",8,"29767","Gerard, Ryan",6,8,"0.50","1.026","0.981","-0.012","288.282","0.000","66.60%","0.000","1.423","0.000","0.848","-0.006","-0.095","0.137","0.686","0.035","-0.308","-0.025","66.06%","-0.005","57.74%","0.000","3.386","0.016","3.830","0.010","70.244","0.000","4.268","-0.005","0.796","0.000","29.429","0.008","71.118","0.023","80.00%","-0.360","17.420","79.00%","-0.180","22.440","55.00%","1.080","35.020","39.00%","0.540","59.970","66.00%","0.360","30.500","49.00%","1.620","37.300","0.50","0.22","0.679","0.177"
