,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,18841,"Hovland, Viktor",0.8320,0.0820,0.0000,0.9480,18.6040,0.0390,233.0000,0.7300,0.0930,0.0000,0.9710,24.5150,0.0920,345.0000,0.9110,0.1670,0.0000,0.9870,14.8830,0.0810,78.0000,0.3640,0.0640,0.0000,0.9760,65.5240,0.0340,125.0000,0.5260,0.0870,0.0000,0.9590,38.0150,0.0440,196.0000,0.6260,0.0450,0.0000,0.9430,35.6520,0.0400,88.0000
,13900,"Lowry, Shane",0.8270,0.0650,0.0000,0.9460,18.9930,0.0240,261.0000,0.7430,0.0900,0.0000,0.9740,26.5610,0.0840,345.0000,0.8420,0.1060,0.0000,0.9530,15.7830,-0.0050,85.0000,0.4080,0.0850,0.0000,0.9660,55.8310,0.0680,118.0000,0.5670,0.0580,0.0000,0.9680,43.0080,0.0580,190.0000,0.5960,0.0710,0.0000,0.9530,37.0460,0.0330,85.0000
,14796,"Hatton, Tyrrell",0.8340,0.0730,0.0000,0.9640,19.0690,0.0270,55.0000,0.7610,0.1100,0.0000,0.9800,24.9630,0.0820,100.0000,0.8280,0.0910,0.0000,1.0000,11.8680,0.0220,22.0000,,,,,,,,0.4900,0.0360,0.0000,0.9460,43.6870,0.0170,56.0000,0.4090,0.0000,0.0000,0.9410,38.9480,-0.0450,17.0000
,32319,"Koivun, Jackson",0.8170,0.0630,0.0000,0.8920,20.3940,0.0040,111.0000,0.7290,0.0840,0.0000,0.9630,25.3350,0.0820,107.0000,0.7210,0.0450,0.0000,0.9090,17.1940,-0.1200,22.0000,0.3760,0.0000,1.0000,0.9550,84.2690,-0.0450,22.0000,0.4360,0.0280,0.0000,1.0000,43.6610,-0.0030,71.0000,0.4110,0.0860,0.0000,1.0000,44.8250,-0.0410,35.0000
,22736,"Rosenmueller, Thomas",0.7890,0.0690,0.0000,0.9310,22.9690,-0.0280,188.0000,0.7420,0.0790,0.0000,0.9810,27.3050,0.0770,265.0000,0.8850,0.0820,0.0000,0.9290,19.0440,-0.0170,85.0000,0.3420,0.0290,0.0000,0.9710,58.6800,0.0130,68.0000,0.4830,0.0470,0.0000,0.9590,44.2810,0.0220,148.0000,0.5320,0.0300,0.0000,0.9490,40.5540,-0.0290,99.0000
,14609,"Kim, Si Woo",0.7780,0.0800,0.0000,0.9290,21.9340,0.0050,311.0000,0.7210,0.1060,0.0000,0.9630,26.0060,0.0750,492.0000,0.8380,0.0490,0.0000,0.9260,16.5590,-0.0180,122.0000,0.3700,0.0550,0.0000,0.9610,65.6210,0.0130,128.0000,0.4960,0.0630,0.0000,0.9740,39.0450,0.0670,268.0000,0.5150,0.0900,0.0000,0.9460,36.7300,0.0070,111.0000
,19428,"Zalatoris, Will",0.8580,0.0810,0.0000,0.9550,21.2970,0.0030,111.0000,0.7710,0.0820,0.0000,0.9590,27.4330,0.0750,147.0000,0.8680,0.0610,0.0000,0.9090,17.7160,-0.0540,33.0000,0.3410,0.0540,0.0000,0.9820,65.0550,0.0310,56.0000,0.4230,0.0820,0.0000,0.9590,43.7760,0.0230,73.0000,0.6210,0.0890,0.0000,0.9110,37.0800,0.0290,45.0000
,18417,"Scheffler, Scottie",0.8530,0.0870,0.0000,0.9690,18.7990,0.0460,321.0000,0.7670,0.0630,0.0000,0.9670,26.1030,0.0740,426.0000,0.8830,0.1250,0.0000,0.9710,14.7490,0.0940,104.0000,0.3840,0.0550,0.0000,1.0000,54.8640,0.0950,109.0000,0.5170,0.0830,0.0000,0.9800,39.2190,0.0780,253.0000,0.5540,0.0610,0.0000,0.9240,39.6580,0.0200,131.0000
,13562,"Matsuyama, Hideki",0.8170,0.0780,0.0000,0.9510,20.6600,0.0180,307.0000,0.7350,0.0810,0.0000,0.9680,26.3840,0.0600,408.0000,0.8270,0.1120,0.0000,0.9210,15.6510,0.0360,89.0000,0.2930,0.0600,0.0000,0.9740,53.6410,0.0330,151.0000,0.5030,0.0950,0.0000,0.9830,37.6570,0.0710,231.0000,0.4880,0.0750,0.0000,0.9500,39.6630,-0.0150,120.0000
,15466,"Cantlay, Patrick",0.8830,0.0670,0.0000,0.9530,18.6260,0.0380,253.0000,0.7780,0.0790,0.0000,0.9780,27.5630,0.0600,315.0000,0.9170,0.1120,0.0000,0.9440,14.8880,0.0400,89.0000,0.3510,0.0590,0.0000,0.9920,68.0430,0.0600,118.0000,0.4410,0.0540,0.0000,0.9410,42.0330,0.0140,185.0000,0.6200,0.0530,0.0000,0.9620,37.1770,0.0160,131.0000
,17576,"Conners, Corey",0.8600,0.0660,0.0000,0.9500,18.4200,0.0460,317.0000,0.7660,0.0620,0.0000,0.9730,26.0950,0.0600,439.0000,0.8420,0.0710,0.0000,0.9290,17.4280,-0.0140,84.0000,0.3090,0.0480,0.0000,0.9710,68.4990,0.0060,104.0000,0.4980,0.0580,0.0000,0.9670,44.5030,0.0250,243.0000,0.5500,0.0350,0.0000,0.9770,35.6060,0.0190,86.0000
,22085,"Morikawa, Collin",0.8350,0.1090,0.0000,0.9390,18.2850,0.0500,312.0000,0.7430,0.0750,0.0000,0.9700,27.2620,0.0600,372.0000,0.8850,0.0560,0.0000,0.9440,16.3520,0.0140,90.0000,0.3100,0.0210,0.0000,0.9680,62.5490,0.0000,95.0000,0.4960,0.0670,0.0000,0.9690,41.7340,0.0500,225.0000,0.6180,0.0260,0.0000,0.9740,32.9260,0.0660,78.0000
,24481,"Redman, Doc",0.8360,0.0850,1.0000,0.9360,22.9950,0.0220,47.0000,0.7560,0.0630,1.0000,0.9520,30.2320,0.0590,63.0000,0.8880,0.2310,1.0000,1.0000,12.4940,0.2130,13.0000,,,,,,,,,,,,,,,0.6260,0.0530,0.0000,0.9470,42.2100,-0.0250,19.0000
,14838,"Reed, Patrick",,,,,,,,0.6910,0.0990,0.0000,0.9580,22.0070,0.0550,71.0000,0.8340,0.1880,0.0000,0.9380,15.3440,0.0250,16.0000,0.2450,0.0450,1.0000,0.9550,65.0260,-0.0110,22.0000,0.5160,0.0230,0.0000,0.9770,53.2440,0.0280,43.0000,0.5090,0.0000,0.0000,1.0000,49.2780,-0.0860,16.0000
,7399,"Glover, Lucas",0.8220,0.0950,0.0000,0.9490,19.0520,0.0560,253.0000,0.7130,0.0850,0.0000,0.9490,27.4950,0.0540,375.0000,0.8930,0.1160,0.0000,0.9420,14.6930,0.0460,86.0000,0.2960,0.0700,0.0000,0.9400,73.9630,0.0010,100.0000,0.4280,0.0620,0.0000,0.9440,44.2500,-0.0130,178.0000,0.5400,0.0800,0.0000,0.9870,37.4350,0.0710,75.0000
,17511,"Straka, Sepp",0.8470,0.0750,0.0000,0.9470,17.7610,0.0570,265.0000,0.7360,0.0660,0.0000,0.9600,27.2660,0.0540,376.0000,0.8260,0.1490,0.0000,0.9400,16.5300,0.0400,67.0000,0.3200,0.0710,0.0000,0.9550,54.4930,-0.0050,112.0000,0.5760,0.0450,0.0000,0.9750,39.5680,0.0500,200.0000,0.4790,0.0770,0.0000,0.9740,42.7520,-0.0100,78.0000
,23504,"Hoey, Rico",0.7980,0.0630,0.0000,0.9240,23.1280,-0.0120,331.0000,0.7060,0.0750,0.0000,0.9690,28.0760,0.0540,425.0000,0.8370,0.0720,0.0000,0.9280,17.8900,-0.0100,111.0000,0.4020,0.0800,0.0000,0.9520,53.9960,0.0550,125.0000,0.5120,0.0730,0.0000,0.9870,40.5710,0.0550,232.0000,0.5940,0.1030,0.0000,0.9480,36.5540,0.0440,155.0000
,22465,"Penge, Marco",0.7170,0.0350,0.0000,0.8600,27.6830,-0.0930,57.0000,0.7190,0.0700,0.0000,0.9860,29.2000,0.0520,71.0000,0.8760,0.0670,0.0000,0.9330,16.9000,0.0300,30.0000,0.3550,0.0650,0.0000,1.0000,57.0670,-0.0540,31.0000,0.3850,0.0870,0.0000,0.9570,42.3600,0.0220,46.0000,0.6370,0.0790,0.0000,0.9470,35.2620,0.0100,38.0000
,31188,"Valdes, Brendan",0.7400,0.0550,0.0000,0.9640,23.6730,-0.0210,55.0000,0.6480,0.0890,1.0000,0.9460,30.0130,0.0520,56.0000,0.6600,0.0000,1.0000,0.9290,20.9110,-0.0920,14.0000,0.1440,0.0000,1.0000,0.8950,78.2970,-0.1640,19.0000,,,,,,,,0.4590,0.0000,0.0000,0.8240,44.0590,-0.0860,17.0000
,18554,"Rai, Aaron",0.8590,0.0750,0.0000,0.9360,20.5730,0.0130,265.0000,0.7870,0.0620,0.0000,0.9660,28.0120,0.0510,437.0000,0.8370,0.1270,0.0000,0.9440,17.1010,-0.0090,71.0000,0.3790,0.1000,0.0000,0.9750,53.6550,0.0840,80.0000,0.5260,0.0390,0.0000,0.9700,42.8150,0.0330,230.0000,0.5730,0.0300,0.0000,0.9240,40.2890,-0.0220,66.0000
,17606,"Berger, Daniel",0.8010,0.0580,0.0000,0.9460,21.3920,-0.0040,257.0000,0.7270,0.0770,0.0000,0.9640,27.6590,0.0500,466.0000,0.8960,0.0870,0.0000,0.9460,15.5160,0.0190,92.0000,0.4350,0.0650,0.0000,0.9350,61.7500,0.0210,124.0000,0.5040,0.0700,0.0000,0.9650,41.5780,0.0300,227.0000,0.5780,0.0530,0.0000,0.9790,36.8610,0.0190,94.0000
,22535,"Norrman, Vincent",,,,,,,,0.7280,0.0580,1.0000,0.9810,32.2890,0.0500,52.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23841,"Neergaard-Petersen, Rasmus",0.8140,0.0200,1.0000,0.9220,22.5420,-0.0370,51.0000,0.7620,0.0270,0.0000,0.9820,28.8460,0.0500,113.0000,0.7070,0.0420,0.0000,0.8330,18.1840,-0.1320,24.0000,0.2650,0.0330,0.0000,1.0000,71.2800,0.0260,30.0000,0.5600,0.0510,0.0000,0.9660,39.0080,0.0440,59.0000,0.6150,0.1210,0.0000,0.9700,37.2390,0.0750,33.0000
,23542,"Champ, Cameron",0.7860,0.0720,0.0000,0.9480,24.0450,-0.0340,153.0000,0.7350,0.0580,0.0000,0.9480,27.9680,0.0490,172.0000,0.8040,0.0230,0.0000,0.9300,22.9590,-0.1180,43.0000,0.1470,0.0240,0.0000,0.9510,69.3750,-0.0800,41.0000,0.4670,0.0310,0.0000,0.9380,43.7480,-0.0140,97.0000,0.5400,0.0160,0.0000,0.9840,46.5130,-0.0580,61.0000
,24304,"Vilips, Karl",0.7890,0.0610,0.0000,0.9290,22.8090,-0.0250,212.0000,0.7160,0.0900,0.0000,0.9420,29.8080,0.0490,311.0000,0.8340,0.0640,0.0000,0.9490,16.3800,0.0080,78.0000,0.2890,0.0310,0.0000,0.9840,68.6290,-0.0280,127.0000,0.4560,0.0530,0.0000,0.9670,46.3660,-0.0310,151.0000,0.5050,0.0580,0.0000,0.9280,39.9930,-0.0180,138.0000
