
Tournament: Genesis Invitational,Last updated: 
Course: The Riviera Country Club,Found 72 players from cache
Data Date: 2026-03-03T22:18:01.961Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↑ Finished better than predicted | ↑ Driving | 📈 SG OTT: trend continuing (0.610) | 📈 SG Around Green: trend reversing (0.401) | ⚠️ Success despite model prediction","29433","Bridgeman, Jacob",38,"1",-18,3.1535,0.726,289.55,288.591,0.625,0.5626,1.327,0.394,1.4965,0.786,-0.43000000000000005,-0.274,0.26049999999999995,-0.118,1.827,0.708,0.7777499999999999,0.6394,30.8735,29.758,30.532499999999995,60.783,0,66.5,6,0.5685,4.75,3
"↑ Short Game | 📈 SG Around Green: trend reversing (0.573) | ⚠️ Success despite model prediction","21891","Kitayama, Kurt",23,"T2",-17,2.9035,-0.119,301.775,300.188,0.607,0.6178,2.12575,0.626,1.3415000000000001,0.489,-0.21025000000000002,-0.182,0.9945,0.319,0.778,0.001,0.70825,0.6562,26.16475,32.291,36.9515,44.308,0,66.75,5.25,0.78325,4.5,2.5
"🎯 Model prediction on target: #8 → T2 | ↑ Short Game | 📈 SG Around Green: trend continuing (0.151) | 📉 SG OTT: trend reversing (0.261) | 📈 Driving Accuracy: trend reversing (0.026) | ✅ Success aligned with model","10091","McIlroy, Rory",8,"T2",-17,2.9035,1.214,303.175,312.836,0.58925,0.5412,2.52175,1.022,1.2245000000000001,0.342,0.48150000000000004,0.347,0.8157500000000001,0.333,0.3822500000000001,0.278,0.77775,0.6441,27.286750000000005,32.513,32.02475,48.467,0,66.75,4.75,0.714,2.75,2.5
"↓ Driving | 📉 Driving Accuracy: trend continuing (0.026) | 📉 Greens in Regulation: trend reversing (0.016) | ⚠️ Success despite model prediction","6430","Scott, Adam",30,"4",-16,2.6535,0.804,297.1,299.722,0.55325,0.6033,1.4962499999999999,1.005,0.663,0.038,0.15099999999999997,0.207,0.6822499999999999,0.76,1.1575,-0.215,0.73625,0.6175999999999999,28.607,28.283,53.39875000000001,61.863,0,67,5.75,0.6127499999999999,5,3.25
"⚠️ Major model miss: #69 → 5 | ↑ Driving | 📈 SG OTT: trend continuing (3.192) | 📈 SG Approach: trend continuing (0.262) | 📉 SG Around Green: trend continuing (0.184) | ↓ Below average performer | ⚠️ Success despite model prediction","27900","Potgieter, Aldrich",69,"5",-15,2.4034999999999997,-1.585,306.375,297.832,0.518,0.5934,1.17625,-1.36,0.61375,-0.842,-0.43100000000000005,-0.535,0.9935,0.017,1.22775,0.136,0.764,0.6161,25.24675,32.46,49.812250000000006,63.431,0,67.25,5,0.5357500000000001,6.5,4.25
"↑ Short Game | 📈 SG Around Green: trend reversing (2.828) | ⚠️ Success despite model prediction","19396","Knapp, Jake",33,"6",-13,1.9035,0.692,295.9,301.265,0.58925,0.5703,0.628,0.071,0.9352499999999999,-0.206,-0.21325,0.253,-0.09400000000000003,0.024,1.276,0.967,0.653,0.5907,24.88525,35.529,39.94925,54.345,0,67.75,5.5,0.7152499999999999,4.5,4.75
"↓ Driving | 📉 SG OTT: trend continuing (4.469) | 📉 SG T2G: trend reversing (0.852) | 📉 SG Total: trend reversing (0.558) | ⚠️ Success despite model prediction","11889","Fox, Ryan",24,"T7",-12,1.6535,0.702,292.225,296.632,0.49974999999999997,0.5458,0.6995,0.542,0.2525,0.108,0.6509999999999999,0.07,-0.204,0.365,0.9545,0.668,0.639,0.6484000000000001,26.81275,30.769,44.69725,52.729,0,68,5.25,0.6285000000000001,4.5,3.5
"↑ Finished better than predicted | ↓ Approach | 📉 SG Approach: trend reversing (0.916) | 📉 SG Putting: trend reversing (0.561) | ⚠️ Success despite model prediction","26651","Young, Cameron",44,"T7",-12,1.6535,0.196,295.70000000000005,300.79,0.5535,0.6163000000000001,1.44775,0.242,1.113,-0.271,-0.15650000000000003,-0.008,0.49124999999999996,0.521,0.206,-0.4,0.7777499999999999,0.6409,26.563499999999998,32.931,48.795249999999996,53.736,0,68,5.25,0.6875,3.25,3.25
"⚠️ Major model miss: #71 → T7 | ↓ Putting | 📉 SG Putting: trend reversing (56.035) | 📉 SG Approach: trend reversing (0.327) | ⚠️ Success despite model prediction","19895","Schauffele, Xander",71,"T7",-12,1.6535,0.823,293.125,302.456,0.53575,0.5754,1.5825,0.801,0.54525,0.162,0.6142500000000001,0.047,0.423,0.592,0.07150000000000012,0.625,0.7497499999999999,0.6137,30.11625,32.356,41.185750000000006,48.854,0,68,4.75,0.7489999999999999,2.5,3.25
"🎯 Model prediction on target: #7 → T7 | ↑ Overall | 📈 SG Total: trend continuing (0.435) | 📈 SG Approach: trend continuing (0.347) | 📉 SG Around Green: trend reversing (0.350) | ✅ Success aligned with model","22085","Morikawa, Collin",7,"T7",-12,1.6535,1.284,288.05,287.432,0.71425,0.7473000000000001,1.36525,1.218,0.85325,0.701,0.0004999999999999866,-0.033,0.5115,0.549,0.28875,-0.208,0.72225,0.6535,27.909750000000003,29.599,35.056,56.59,0,68,5.5,0.6000000000000001,3.75,3.25
