
Tournament: The Genesis Invitational,Last updated: 2026-02-22 23:33:51 UTC
Course: The Riviera Country Club,Found 72 players from api
Data Date: 2026-02-23T16:13:41.178Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"29433","Bridgeman, Jacob","1",2.000476,2.000476,0.209348,0.209348,0.619002,0.619002,1.158223,1.158223,1.853233,1.853233,-0.791746,-0.791746,0.726695,0.726695,1.924781,1.924781,1.824834,1.824834,0.337088,-0.337088,-1.491718,1.491718
"21891","Kitayama, Kurt","2",1.856925,1.856925,1.887974,1.887974,0.381962,0.381962,1.777067,1.777067,1.269506,1.269506,0.251939,0.251939,1.984585,1.984585,0.898791,0.898791,0.77203,0.77203,-1.026304,1.026304,-0.796183,0.796183
"10091","McIlroy, Rory","2",1.856925,1.856925,2.080209,2.080209,0.144889,0.144889,2.090332,2.090332,1.579423,1.579423,0.880826,0.880826,1.612533,1.612533,0.501555,0.501555,1.824834,1.824834,-0.659242,0.659242,-1.414699,1.414699
"6430","Scott, Adam","4",1.713375,1.713375,1.246045,1.246045,-0.329257,-0.329257,1.302364,1.302364,1.061892,1.061892,0.2787,0.2787,1.160756,1.160756,1.257034,1.257034,1.193182,1.193182,-0.333083,0.333083,0.082851,-0.082851
"27900","Potgieter, Aldrich","5",1.569824,1.569824,2.519604,2.519604,-0.803403,-0.803403,1.046754,1.046754,0.845251,0.845251,-0.559816,-0.559816,1.727692,1.727692,1.337457,1.337457,1.614296,1.614296,-0.960563,0.960563,-0.115853,0.115853
"19396","Knapp, Jake","6",1.282723,1.282723,1.070673,1.070673,0.144889,0.144889,0.629708,0.629708,1.061892,1.061892,0.011089,0.011089,-0.128139,-0.128139,1.378886,1.378886,-0.070159,-0.070159,-1.169302,1.169302,-0.798556,0.798556
"22085","Morikawa, Collin","7",1.139173,1.139173,0.003382,0.003382,1.804368,1.804368,1.196661,1.196661,1.146141,1.146141,0.336683,0.336683,0.735553,0.735553,0.416259,0.416259,0.982606,0.982606,-0.599467,0.599467,-1.301156,1.301156
"26651","Young, Cameron","7",1.139173,1.139173,1.05381,1.05381,-0.329257,-0.329257,1.265848,1.265848,1.281542,1.281542,-0.006752,-0.006752,1.045597,1.045597,0.328525,0.328525,1.824834,1.824834,-0.787153,0.787153,-0.221804,0.221804
"12294","Fleetwood, Tommy","7",1.139173,1.139173,0.442777,0.442777,1.093148,1.093148,1.150536,1.150536,-0.039366,-0.039366,1.594457,1.594457,1.134181,1.134181,0.474747,0.474747,0.350954,0.350954,0.233605,-0.233605,0.948636,-0.948636
"11889","Fox, Ryan","7",1.139173,1.139173,0.576655,0.576655,-1.040476,-1.040476,0.689286,0.689286,0.43604,0.43604,1.103836,1.103836,-0.150285,-0.150285,1.062072,1.062072,-0.280735,-0.280735,-0.741009,0.741009,-0.48668,0.48668
"19895","Schauffele, Xander","7",1.139173,1.139173,0.700235,0.700235,-0.56633,-0.56633,1.36002,1.36002,0.761002,0.761002,1.036933,1.036933,0.988017,0.988017,0.211548,0.211548,1.403682,1.403682,0.007937,-0.007937,-0.931377,0.931377
"16841","Lee, Min Woo","12",0.995622,0.995622,1.579024,1.579024,1.567294,1.567294,0.639317,0.639317,-1.700281,-1.700281,1.44281,1.44281,2.551522,2.551522,0.879295,0.879295,-0.491311,-0.491311,0.46018,-0.46018,1.657908,-1.657908
"18417","Scheffler, Scottie","12",0.995622,0.995622,0.851277,0.851277,-0.092184,-0.092184,0.568208,0.568208,-0.024322,-0.024322,0.421426,0.421426,0.930438,0.930438,0.971902,0.971902,0.982568,0.982568,-1.134465,1.134465,0.385372,-0.385372
"14636","Spieth, Jordan","12",0.995622,0.995622,0.500231,0.500231,-1.040476,-1.040476,0.035848,0.035848,-0.042375,-0.042375,0.943269,0.943269,-0.792518,-0.792518,1.644523,1.644523,0.140379,0.140379,1.668159,-1.668159,-0.925408,0.925408
"10419","Noren, Alex","12",0.995622,0.995622,-1.098538,-1.098538,-0.56633,-0.56633,0.470192,0.470192,0.035856,0.035856,1.567696,1.567696,-0.526766,-0.526766,1.091316,1.091316,0.140379,0.140379,3.425906,-3.425906,-0.693758,0.693758
"25569","Stevens, Sam","16",0.852072,0.852072,0.192184,0.192184,-0.329257,-0.329257,0.306833,0.306833,0.442058,0.442058,-0.162859,-0.162859,0.217338,0.217338,1.057198,1.057198,1.193182,1.193182,-0.564083,0.564083,-0.326175,0.326175
"28309","Coody, Pierceson","16",0.852072,0.852072,1.287239,1.287239,-1.040476,-1.040476,0.879551,0.879551,0.65569,0.65569,0.131514,0.131514,0.934867,0.934867,0.330962,0.330962,0.561492,0.561492,-1.119548,1.119548,0.020762,-0.020762
"26096","Bhatia, Akshay","16",0.852072,0.852072,-0.212883,-0.212883,-0.56633,-0.56633,0.585504,0.585504,0.998705,0.998705,-0.327886,-0.327886,0.20405,0.20405,0.701391,0.701391,0.350954,0.350954,0.502662,-0.502662,-0.639493,0.639493
"22465","Penge, Marco","16",0.852072,0.852072,2.396024,2.396024,-0.092184,-0.092184,0.572051,0.572051,-0.262025,-0.262025,0.564152,0.564152,1.13861,1.13861,0.725762,0.725762,-0.701887,-0.701887,-0.755916,0.755916,0.420634,-0.420634
"23950","Aberg, Ludvig","20",0.708521,0.708521,0.789487,0.789487,-1.040476,-1.040476,0.733489,0.733489,0.511263,0.511263,1.014632,1.014632,-0.074989,-0.074989,0.274911,0.274911,1.40372,1.40372,0.277174,-0.277174,-0.530581,0.530581
"23323","MacIntyre, Robert","20",0.708521,0.708521,-0.003484,-0.003484,0.144889,0.144889,-0.213995,-0.213995,-1.07142,-1.07142,0.51063,0.51063,0.571673,0.571673,1.476367,1.476367,-1.544114,-1.544114,0.546922,-0.546922,-0.349073,0.349073
"14577","English, Harris","22",0.564971,0.564971,0.027411,0.027411,-0.32929,-0.32929,0.03777,0.03777,0.02382,0.02382,0.577533,0.577533,-0.522337,-0.522337,0.910976,0.910976,-0.280735,-0.280735,-0.705008,0.705008,0.590655,-0.590655
"23014","Theegala, Sahith","22",0.564971,0.564971,0.113231,0.113231,-0.56633,-0.56633,0.289536,0.289536,0.748966,0.748966,-0.787286,-0.787286,0.336926,0.336926,0.594162,0.594162,0.561492,0.561492,-1.112363,1.112363,-0.629592,0.629592
"13900","Lowry, Shane","24",0.42142,0.42142,-0.305567,-0.305567,0.144889,0.144889,0.449051,0.449051,0.791091,0.791091,-0.65348,-0.65348,0.522952,0.522952,0.145748,0.145748,0.561454,0.561454,-1.004964,1.004964,-0.222092,0.222092
"28635","McCarty, Matt","24",0.42142,0.42142,-0.662576,-0.662576,-0.56633,-0.56633,0.105036,0.105036,1.058883,1.058883,0.077991,0.077991,-1.403746,-1.403746,0.581977,0.581977,-0.280735,-0.280735,-0.346916,0.346916,-1.067233,1.067233
"17646","Fitzpatrick, Matt","24",0.42142,0.42142,0.257407,0.257407,1.330221,1.330221,1.271614,1.271614,0.905429,0.905429,0.225178,0.225178,1.373357,1.373357,-0.894864,-0.894864,-0.070197,-0.070197,-0.787981,0.787981,-1.247923,1.247923
"23465","Greyserman, Max","24",0.42142,0.42142,1.005751,1.005751,-0.329257,-0.329257,0.410614,0.410614,0.225417,0.225417,0.635515,0.635515,-0.01298,-0.01298,0.194489,0.194489,-0.701849,-0.701849,-0.200873,0.200873,-1.183187,1.183187
"12965","Fowler, Rickie","28",0.27787,0.27787,0.209348,0.209348,0.619035,0.619035,-0.386964,-0.386964,-0.141669,-0.141669,-1.648103,-1.648103,0.957013,0.957013,0.962154,0.962154,0.982606,0.982606,-0.840517,0.840517,1.327081,-1.327081
"29767","Gerard, Ryan","28",0.27787,0.27787,0.257407,0.257407,-0.092184,-0.092184,0.975645,0.975645,1.398889,1.398889,-0.332346,-0.332346,0.514094,0.514094,-0.763265,-0.763265,1.193182,1.193182,-1.677704,1.677704,-0.38656,0.38656
"13126","Taylor, Nick","28",0.27787,0.27787,-0.384521,-0.384521,-0.56633,-0.56633,0.520161,0.520161,0.165239,0.165239,1.549855,1.549855,-0.588775,-0.588775,-0.185688,-0.185688,-0.070159,-0.070159,-0.604489,0.604489,-0.579722,0.579722
"13562","Matsuyama, Hideki","28",0.27787,0.27787,-0.43258,-0.43258,1.567261,1.567261,0.058911,0.058911,0.017803,0.017803,0.05123,0.05123,0.057887,0.057887,0.396762,0.396762,-0.912425,-0.912425,-1.13302,1.13302,0.388888,-0.388888
"11676","Finau, Tony","28",0.27787,0.27787,0.219647,0.219647,-1.040476,-1.040476,0.155005,0.155005,-0.33123,-0.33123,1.540935,1.540935,-0.686217,-0.686217,0.277348,0.277348,-0.070197,-0.070197,0.767467,-0.767467,0.694869,-0.694869
