course_num,source_course_num,dg_id,player_name,event_key,event_completed,year,finish_position,prior_starts
4,4,6093,"Rose, Justin",2022-4,2022-01-29,2022,6,0
4,4,6093,"Rose, Justin",2023-4,2023-01-28,2023,18,1
4,4,6093,"Rose, Justin",2024-4,2024-01-27,2024,56,2
4,4,6093,"Rose, Justin",2025-4,2025-01-25,2025,71,3
4,4,6093,"Rose, Justin",2026-4,2026-02-01,2026,1,4
4,4,28309,"Coody, Pierceson",2026-4,2026-02-01,2026,2,0
4,4,14609,"Kim, Si Woo",2021-4,2021-01-31,2021,80,0
4,4,14609,"Kim, Si Woo",2022-4,2022-01-29,2022,11,1
4,4,14609,"Kim, Si Woo",2023-4,2023-01-28,2023,25,2
4,4,14609,"Kim, Si Woo",2025-4,2025-01-25,2025,71,3
4,4,14609,"Kim, Si Woo",2026-4,2026-02-01,2026,2,4
4,4,22760,"Hisatsune, Ryo",2024-4,2024-01-27,2024,33,0
4,4,22760,"Hisatsune, Ryo",2026-4,2026-02-01,2026,2,1
4,4,16394,"Jaeger, Stephan",2022-4,2022-01-29,2022,80,0
4,4,16394,"Jaeger, Stephan",2023-4,2023-01-28,2023,53,1
4,4,16394,"Jaeger, Stephan",2024-4,2024-01-27,2024,3,2
4,4,16394,"Jaeger, Stephan",2026-4,2026-02-01,2026,5,3
4,4,19396,"Knapp, Jake",2024-4,2024-01-27,2024,3,0
4,4,19396,"Knapp, Jake",2025-4,2025-01-25,2025,32,1
4,4,19396,"Knapp, Jake",2026-4,2026-02-01,2026,5,2
4,4,14509,"Dahmen, Joel",2025-4,2025-01-25,2025,9,0
4,4,14509,"Dahmen, Joel",2026-4,2026-02-01,2026,7,1
4,4,23475,"Novak, Andrew",2022-4,2022-01-29,2022,70,0
4,4,23475,"Novak, Andrew",2023-4,2023-01-28,2023,69,1
4,4,23475,"Novak, Andrew",2024-4,2024-01-27,2024,79,2
4,4,23475,"Novak, Andrew",2025-4,2025-01-25,2025,3,3
4,4,23475,"Novak, Andrew",2026-4,2026-02-01,2026,7,4
