"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","0.350","-0.022","290.732","-0.005","62.80%","0.000","0.391","-0.026","0.064","0.004","0.016","0.014","0.091","0.019","0.105","0.044","64.02%","0.000","63.05%","0.000","3.468","0.000","4.036","0.016","70.806","0.000","4.141","0.002","0.005","0.000","31.906","0.004","56.570","-0.025","84.65%","-0.009","16.876","80.45%","0.189","21.110","56.60%","0.189","38.489","34.95%","0.243","62.140","69.90%","0.360","29.395","48.20%","0.351","42.813","-0.01","0.02","-0.444","-0.008"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.444)","Delta Predictive Score (median=-0.008)"
"↑ Above average | 💪 SG Around Green, SG Putting | ✅ Strong course fit | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.38 (0.015) [S↓ M↓ L↑ VL↑]",1,"18417","Scheffler, Scottie",51,65,"1.80","1.139","3.521","0.035","297.065","-0.006","66.20%","-0.004","2.930","0.034","1.112","0.011","0.823","0.092","0.995","0.027","0.979","0.085","70.21%","0.000","72.07%","-0.013","4.183","0.010","2.787","0.000","67.941","0.000","5.175","-0.006","2.130","0.000","31.344","0.004","55.889","-0.039","88.30%","1.692","14.749","85.30%","0.828","18.799","55.40%","0.360","39.658","38.40%","1.710","54.864","76.70%","1.332","26.103","51.70%","1.404","39.219","1.80","0.97","-0.022","0.012"
"↑ Above average | 💪 SG Putting, SG OTT | ✅ Strong course fit | ↑ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.04 (-0.093) [S↓ M↓ L↓ VL↑]",2,"17511","Straka, Sepp",17,25,"0.73","0.955","2.234","1.693","288.546","-0.005","74.58%","0.012","1.375","0.087","0.592","-0.218","0.083","0.182","0.698","0.148","0.558","-1.001","68.22%","0.000","64.13%","-0.007","4.405","0.060","4.094","0.045","68.981","-0.003","5.112","0.049","1.598","0.000","28.530","0.000","55.223","-0.048","82.60%","0.720","16.530","84.70%","1.026","17.761","47.90%","-0.180","42.752","32.00%","-0.090","54.493","73.60%","0.972","27.266","57.60%","0.900","39.568","0.73","0.51","-0.584","-0.015"
"💪 SG Putting | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred↓ ΔTrend→ | BucketSig ↓ z=-0.12 (-0.141) [S↑ M↓ L↓ VL↑]",3,"13900","Lowry, Shane",9,17,"0.60","1.029","1.160","0.384","286.060","0.000","67.43%","0.000","0.719","0.304","0.947","0.109","-0.060","0.259","-0.169","-0.204","1.015","0.461","70.37%","0.000","64.79%","0.023","3.743","0.031","3.849","-0.020","70.128","-0.003","4.195","0.048","1.794","0.000","28.483","0.004","49.718","-0.058","84.20%","-0.090","15.783","82.70%","0.432","18.993","59.60%","0.594","37.046","40.80%","1.224","55.831","74.30%","1.512","26.561","56.70%","1.044","43.008","0.60","0.46","-0.761","-0.101"
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ↑ Off tee | For Course Setup - ΔPred↑ ΔTrend→ | BucketSig ↑ z=0.72 (0.121) [S↑ M↓ L↑ VL↑]",4,"13562","Matsuyama, Hideki",10,18,"0.62","1.060","1.053","-0.007","285.725","-0.007","56.05%","0.000","0.403","-0.051","0.032","-0.028","0.784","0.015","-0.412","0.236","0.574","0.161","60.67%","0.000","75.13%","-0.004","3.540","-0.014","4.129","0.014","70.237","0.000","4.158","0.015","0.349","0.000","30.044","0.012","57.321","-0.004","82.70%","0.648","15.651","81.70%","0.324","20.660","48.80%","-0.270","39.663","29.30%","0.594","53.641","73.50%","1.080","26.384","50.30%","1.278","37.657","0.62","0.28","0.156","0.042"
"💪 SG Around Green, SG T2G | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.03 (-0.094) [S↓ M↓ L↓ VL↑]",5,"14578","Henley, Russell",15,26,"0.56","1.033","1.056","-0.025","278.852","-0.004","72.35%","0.008","1.238","-0.039","0.661","-0.128","0.481","0.175","0.096","0.089","0.487","0.055","66.21%","-0.009","61.72%","0.000","3.301","-0.020","3.396","0.023","70.102","0.000","4.058","-0.007","1.375","0.000","30.286","0.000","51.541","-0.065","85.40%","1.746","12.617","82.20%","0.360","20.023","57.10%","1.170","36.343","32.80%","0.936","58.618","76.90%","0.504","29.395","48.20%","1.188","39.695","0.56","0.45","-0.371","-0.021"
"💪 SG Putting, Approach <100 GIR | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.05 (-0.119) [S↓ M↓ L↓ VL↑]",6,"12294","Fleetwood, Tommy",20,27,"0.54","1.027","1.878","0.009","288.739","0.000","64.62%","-0.009","1.278","0.059","1.004","0.025","0.256","0.242","0.018","-0.020","0.755","-0.066","66.22%","0.009","70.34%","0.015","3.677","-0.027","3.210","-0.014","69.307","0.000","4.920","0.016","0.427","0.000","31.948","0.006","59.855","-0.070","90.30%","0.828","15.164","84.10%","0.468","19.398","58.20%","-0.144","39.966","35.50%","-0.054","69.928","69.40%","0.756","28.322","47.70%","0.450","42.276","0.54","0.43","-0.710","-0.013"
"💪 SG T2G, SG OTT | 👍 Good course fit | ↑ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.23 (-0.176) [S↓ M↓ L↓ VL↑]",7,"22085","Morikawa, Collin",19,27,"0.51","0.968","1.284","0.435","287.432","-0.006","74.73%","0.013","1.218","0.262","0.701","0.347","-0.033","-0.350","0.549","0.038","-0.208","-0.184","65.35%","0.016","66.69%","0.027","3.328","0.081","3.850","-0.023","70.097","-0.005","4.576","0.076","1.274","0.000","29.599","-0.012","56.590","-0.054","88.50%","0.252","16.352","83.50%","0.900","18.285","61.80%","1.188","32.926","31.00%","0.000","62.549","74.30%","1.080","27.262","49.60%","0.900","41.734","0.51","0.42","-0.922","-0.022"
"💪 SG Around Green, SG T2G | 👍 Good course fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.01 (-0.106) [S↓ M↑ L↓ VL↑]",8,"10091","McIlroy, Rory",24,36,"0.49","1.051","1.214","-0.016","312.836","-0.004","54.12%","0.026","1.022","0.024","0.342","0.181","0.347","0.151","0.333","-0.261","0.278","-0.074","64.41%","0.000","67.63%","0.011","4.011","-0.020","3.505","0.037","69.422","0.000","4.686","0.035","0.628","0.000","32.513","0.000","48.467","-0.047","81.10%","-1.242","16.088","82.50%","0.720","18.935","57.60%","0.000","39.650","40.60%","1.764","60.896","66.80%","0.108","28.609","53.50%","1.476","39.650","0.49","0.41","-0.613","-0.008"
