,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,18841,"Hovland, Viktor",0.842,0.081,0,0.950,18.503,0.040,221,0.733,0.095,0,0.967,24.599,0.089,337.000,0.889,0.153,0,0.986,15.150,0.065,72.000,0.364,0.063,0,0.976,64.568,0.034,127.000,0.533,0.085,0,0.968,36.981,0.056,189,0.621,0.060,0,0.952,36.170,0.044,84
,14796,"Hatton, Tyrrell",0.834,0.073,0,0.964,19.069,0.027,55,0.761,0.110,0,0.980,24.963,0.082,100.000,0.828,0.091,0,1.000,11.868,0.022,22.000,,,,,,,,0.490,0.036,0,0.946,43.687,0.017,56,0.409,0.000,0,0.941,38.948,-0.045,17
,32319,"Koivun, Jackson",0.817,0.063,0,0.892,20.394,0.004,111,0.729,0.084,0,0.963,25.335,0.082,107.000,0.721,0.045,0,0.909,17.194,-0.120,22.000,0.376,0.000,1,0.955,84.269,-0.045,22.000,0.436,0.028,0,1.000,43.661,-0.003,71,0.411,0.086,0,1.000,44.825,-0.041,35
,19428,"Zalatoris, Will",0.854,0.073,0,0.959,20.991,0.000,123,0.760,0.096,0,0.952,27.237,0.079,166.000,0.870,0.059,0,0.912,17.514,-0.051,34.000,0.343,0.045,0,0.985,62.277,0.031,67.000,0.437,0.071,0,0.964,42.692,0.025,84,0.633,0.070,0,0.930,36.769,0.020,57
,22736,"Rosenmueller, Thomas",0.788,0.069,0,0.931,23.007,-0.028,188,0.742,0.079,0,0.981,27.304,0.077,265.000,0.885,0.082,0,0.929,19.038,-0.017,85.000,0.342,0.029,0,0.971,58.701,0.013,68.000,0.483,0.047,0,0.959,44.267,0.022,148,0.532,0.030,0,0.949,40.557,-0.029,99
,13900,"Lowry, Shane",0.819,0.060,0,0.936,19.350,0.013,250,0.741,0.079,0,0.969,26.459,0.073,356.000,0.847,0.120,0,0.952,15.879,-0.002,83.000,0.382,0.081,0,0.967,55.787,0.055,123.000,0.560,0.075,0,0.973,41.477,0.072,187,0.590,0.060,0,0.964,36.839,0.030,84
,18417,"Scheffler, Scottie",0.861,0.090,0,0.968,18.458,0.055,312,0.773,0.060,0,0.968,26.030,0.072,431.000,0.876,0.119,0,0.970,14.975,0.086,101.000,0.387,0.060,0,1.000,54.214,0.104,117.000,0.511,0.082,0,0.973,38.962,0.071,257,0.563,0.061,0,0.932,38.960,0.028,132
,14609,"Kim, Si Woo",0.766,0.086,0,0.924,21.892,0.006,304,0.715,0.102,0,0.962,26.181,0.066,499.000,0.822,0.042,0,0.915,16.890,-0.031,118.000,0.381,0.051,0,0.964,64.072,0.018,137.000,0.494,0.071,0,0.978,38.374,0.074,267,0.516,0.105,0,0.933,36.913,0.013,105
,17576,"Conners, Corey",0.855,0.070,0,0.949,18.160,0.048,315,0.770,0.056,0,0.980,25.824,0.063,443.000,0.847,0.073,0,0.939,15.983,-0.002,82.000,0.299,0.037,0,0.972,69.338,-0.002,108.000,0.508,0.053,0,0.967,44.675,0.025,245,0.530,0.047,0,0.977,36.994,-0.001,86
,13562,"Matsuyama, Hideki",0.815,0.071,0,0.949,20.329,0.018,296,0.745,0.074,0,0.971,25.855,0.061,417.000,0.838,0.143,0,0.934,14.763,0.054,91.000,0.291,0.051,0,0.968,56.749,0.022,157.000,0.507,0.096,0,0.978,37.584,0.072,230,0.480,0.067,0,0.950,38.892,-0.026,119
,24481,"Redman, Doc",0.836,0.085,1,0.936,22.995,0.022,47,0.756,0.063,1,0.952,30.232,0.059,63.000,0.888,0.231,1,1.000,12.494,0.213,13.000,,,,,,,,,,,,,,,0.626,0.053,0,0.947,42.210,-0.025,19
,23504,"Hoey, Rico",0.801,0.067,0,0.926,22.860,-0.004,312,0.707,0.075,0,0.969,27.963,0.056,415.000,0.830,0.050,0,0.931,18.390,-0.023,101.000,0.408,0.085,0,0.958,54.796,0.059,118.000,0.506,0.063,0,0.991,40.063,0.056,221,0.598,0.097,0,0.945,36.850,0.044,145
,14838,"Reed, Patrick",,,,,,,,0.691,0.099,0,0.958,22.007,0.055,71.000,0.834,0.188,0,0.938,15.344,0.025,16.000,0.245,0.045,1,0.955,65.026,-0.011,22.000,0.516,0.023,0,0.977,53.244,0.028,43,0.509,0.000,0,1.000,49.278,-0.086,16
,17606,"Berger, Daniel",0.789,0.059,0,0.945,21.084,-0.007,255,0.738,0.077,0,0.970,27.372,0.055,468.000,0.902,0.092,0,0.954,15.143,0.036,87.000,0.432,0.063,0,0.961,60.251,0.029,127.000,0.517,0.064,0,0.966,41.739,0.032,233,0.569,0.056,0,0.989,37.292,0.014,90
,15466,"Cantlay, Patrick",0.884,0.067,0,0.949,18.409,0.043,254,0.771,0.079,0,0.981,27.848,0.054,315.000,0.923,0.126,0,0.943,15.033,0.047,87.000,0.370,0.057,0,0.992,65.405,0.079,122.000,0.418,0.049,0,0.940,42.463,-0.008,182,0.615,0.047,0,0.961,37.413,0.007,129
,17511,"Straka, Sepp",0.851,0.072,0,0.948,17.379,0.058,249,0.741,0.062,0,0.962,27.300,0.053,368.000,0.811,0.161,0,0.935,16.441,0.041,62.000,0.323,0.067,0,0.966,57.262,-0.008,119.000,0.576,0.046,0,0.974,39.666,0.047,196,0.463,0.078,0,0.974,42.882,-0.015,77
,22465,"Penge, Marco",0.664,0.024,1,0.857,28.330,-0.112,42,0.735,0.069,1,0.983,29.162,0.053,58.000,0.859,0.000,0,0.947,19.264,-0.051,19.000,0.357,0.080,1,1.000,58.850,-0.031,25.000,0.391,0.105,1,0.947,40.844,0.032,38,0.602,0.077,0,1.000,33.429,0.059,26
,11276,"Horschel, Billy",0.798,0.069,0,0.962,21.595,-0.010,131,0.691,0.090,0,0.966,29.571,0.052,234.000,0.879,0.045,0,0.977,18.165,-0.026,44.000,0.296,0.056,0,1.000,60.233,-0.021,89.000,0.428,0.000,0,0.967,48.689,-0.022,92,0.684,0.109,0,0.927,39.205,0.060,55
,31188,"Valdes, Brendan",0.740,0.055,0,0.964,23.673,-0.021,55,0.648,0.089,1,0.946,30.013,0.052,56.000,0.660,0.000,1,0.929,20.911,-0.092,14.000,0.144,0.000,1,0.895,78.297,-0.164,19.000,,,,,,,,0.459,0.000,0,0.824,44.059,-0.086,17
,22085,"Morikawa, Collin",0.829,0.097,0,0.942,18.171,0.045,308,0.733,0.067,0,0.971,27.353,0.051,375.000,0.881,0.057,0,0.943,16.029,0.024,88.000,0.283,0.029,0,0.971,63.126,-0.003,102.000,0.479,0.062,0,0.964,42.302,0.036,225,0.617,0.013,0,0.974,33.102,0.059,77
,23841,"Neergaard-Petersen, Rasmus",0.808,0.020,1,0.902,22.802,-0.039,51,0.762,0.027,0,0.982,28.731,0.051,113.000,0.708,0.042,0,0.833,17.907,-0.126,24.000,0.266,0.033,0,1.000,71.247,0.025,30.000,0.559,0.051,0,0.966,39.175,0.045,59,0.614,0.121,0,0.970,37.313,0.079,33
,16757,"Dou, Zecheng",0.807,0.093,1,0.953,19.411,0.074,43,0.779,0.033,1,0.967,29.808,0.050,60.000,0.743,0.154,1,1.000,11.965,0.124,13.000,0.366,0.059,0,1.000,57.175,0.022,34.000,0.613,0.133,1,1.000,43.130,0.101,30,0.460,0.029,0,0.971,40.693,-0.027,35
,22535,"Norrman, Vincent",,,,,,,,0.728,0.058,1,0.981,32.289,0.050,52.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26096,"Bhatia, Akshay",0.827,0.092,0,0.944,20.201,0.031,304,0.713,0.066,0,0.948,27.413,0.050,442.000,0.829,0.092,0,0.942,17.657,-0.036,120.000,0.321,0.078,0,0.957,63.850,0.006,141.000,0.500,0.079,0,0.958,41.458,0.044,239,0.579,0.055,0,0.957,37.893,0.016,164
,23542,"Champ, Cameron",0.786,0.072,0,0.948,24.045,-0.034,153,0.735,0.058,0,0.948,27.968,0.049,172.000,0.804,0.023,0,0.930,22.959,-0.118,43.000,0.147,0.024,0,0.951,69.375,-0.080,41.000,0.467,0.031,0,0.938,43.748,-0.014,97,0.540,0.016,0,0.984,46.513,-0.058,61
,24304,"Vilips, Karl",0.788,0.061,0,0.929,22.878,-0.025,212,0.716,0.090,0,0.942,29.796,0.049,311.000,0.833,0.064,0,0.949,16.343,0.009,78.000,0.292,0.031,0,0.984,68.465,-0.029,127.000,0.456,0.053,0,0.967,46.438,-0.030,151,0.506,0.058,0,0.928,39.950,-0.017,138
,11657,"Norlander, Henrik",0.825,0.095,0,0.964,20.722,0.025,222,0.710,0.078,0,0.967,29.090,0.047,360.000,0.902,0.125,0,0.946,18.643,-0.003,56.000,0.388,0.078,0,0.991,51.621,0.071,115.000,0.449,0.086,0,0.969,43.970,0.004,162,0.511,0.058,0,0.930,40.036,-0.022,86
,12294,"Fleetwood, Tommy",0.842,0.060,0,0.955,18.997,0.028,265,0.706,0.081,0,0.966,28.039,0.047,407.000,0.904,0.078,0,0.987,15.448,0.044,77.000,0.359,0.059,0,0.975,71.953,-0.005,118.000,0.489,0.050,0,0.973,41.843,0.031,221,0.576,0.062,0,0.938,40.607,-0.013,81
,24200,"Smylie, Elvis",,,,,,,,0.800,0.056,1,0.944,30.686,0.047,54.000,,,,,,,,,,,,,,,0.510,0.079,1,0.947,39.502,0.062,38,0.756,0.133,0,0.933,38.797,0.123,15
,7399,"Glover, Lucas",0.829,0.089,0,0.959,18.701,0.057,246,0.709,0.081,0,0.948,27.472,0.046,385.000,0.908,0.060,0,0.964,15.254,0.011,84.000,0.286,0.068,0,0.942,73.978,0.004,103.000,0.425,0.061,0,0.939,43.962,-0.025,180,0.549,0.071,0,0.986,36.407,0.086,70
,23950,"Aberg, Ludvig",0.794,0.056,0,0.918,19.991,-0.003,269,0.707,0.076,0,0.943,27.385,0.045,315.000,0.811,0.090,0,0.923,18.012,-0.046,78.000,0.306,0.068,0,0.922,77.391,-0.028,103.000,0.489,0.090,0,0.949,37.917,0.027,178,0.510,0.064,0,0.957,39.860,-0.025,94
,18554,"Rai, Aaron",0.871,0.082,0,0.949,19.869,0.025,257,0.777,0.059,0,0.966,27.943,0.044,441.000,0.852,0.134,0,0.955,15.567,0.016,67.000,0.354,0.091,0,0.977,54.879,0.075,88.000,0.519,0.039,0,0.970,43.145,0.029,231,0.583,0.047,0,0.938,39.555,-0.002,64
,27364,"Thompson, Davis",0.854,0.079,0,0.944,19.914,0.041,305,0.717,0.081,0,0.957,27.220,0.044,422.000,0.854,0.063,0,0.952,16.834,0.009,126.000,0.306,0.039,0,0.961,61.513,-0.024,128.000,0.432,0.047,0,0.948,43.678,-0.034,213,0.499,0.054,0,0.915,40.746,-0.043,129
,15310,"Li, Haotong",0.732,0.074,0,0.926,21.341,-0.023,68,0.755,0.049,0,0.931,29.781,0.043,102.000,0.820,0.120,0,0.920,17.374,0.036,25.000,0.518,0.100,0,0.950,60.583,0.039,40.000,0.484,0.038,0,0.981,40.040,-0.003,52,0.576,0.129,0,0.903,44.452,0.034,31
