,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,23950,"Aberg, Ludvig",0,AT&T Pebble Beach Pro-Am,,,,52955,1,,,,,,0
,17606,"Berger, Daniel",0,AT&T Pebble Beach Pro-Am,,,,40026,1,,,,,,0
,26096,"Bhatia, Akshay",0,AT&T Pebble Beach Pro-Am,,,,56630,1,,,,,,0
,13872,"Bradley, Keegan",0,AT&T Pebble Beach Pro-Am,,,,33141,1,,,,,,0
,29433,"Bridgeman, Jacob",0,AT&T Pebble Beach Pro-Am,,,,60004,1,,,,,,0
,19483,"Burns, Sam",0,AT&T Pebble Beach Pro-Am,,,,47504,1,,,,,,0
,18628,"Campbell, Brian",0,AT&T Pebble Beach Pro-Am,,,,46443,1,,,,,,0
,15466,"Cantlay, Patrick",0,AT&T Pebble Beach Pro-Am,,,,35450,1,,,,,,0
,14502,"Cauley, Bud",0,AT&T Pebble Beach Pro-Am,,,,34021,1,,,,,,0
,23604,"Clark, Wyndham",0,AT&T Pebble Beach Pro-Am,,,,51766,1,,,,,,0
,17576,"Conners, Corey",0,AT&T Pebble Beach Pro-Am,,,,39997,1,,,,,,0
,28309,"Coody, Pierceson",0,AT&T Pebble Beach Pro-Am,,,,59836,1,,,,,,0
,9771,"Day, Jason",0,AT&T Pebble Beach Pro-Am,,,,28089,1,,,,,,0
,22833,"Echavarria, Nico",0,AT&T Pebble Beach Pro-Am,,,,51349,1,,,,,,0
,14577,"English, Harris",0,AT&T Pebble Beach Pro-Am,,,,34099,1,,,,,,0
,11676,"Finau, Tony",0,AT&T Pebble Beach Pro-Am,,,,29725,1,,,,,,0
,26657,"Fisk, Steven",0,AT&T Pebble Beach Pro-Am,,,,57123,1,,,,,,0
,17646,"Fitzpatrick, Matt",0,AT&T Pebble Beach Pro-Am,,,,40098,1,,,,,,0
,12294,"Fleetwood, Tommy",0,AT&T Pebble Beach Pro-Am,,,,30911,1,,,,,,0
,12965,"Fowler, Rickie",0,AT&T Pebble Beach Pro-Am,,,,32102,1,,,,,,0
,11889,"Fox, Ryan",0,AT&T Pebble Beach Pro-Am,,,,29936,1,,,,,,0
,29767,"Gerard, Ryan",0,AT&T Pebble Beach Pro-Am,,,,59018,1,,,,,,0
,7399,"Glover, Lucas",0,AT&T Pebble Beach Pro-Am,,,,25900,1,,,,,,0
,27774,"Gotterup, Chris",0,AT&T Pebble Beach Pro-Am,,,,59095,1,,,,,,0
,23465,"Greyserman, Max",0,AT&T Pebble Beach Pro-Am,,,,51977,1,,,,,,0
,24968,"Griffin, Ben",0,AT&T Pebble Beach Pro-Am,,,,54591,1,,,,,,0
,12808,"Grillo, Emiliano",0,AT&T Pebble Beach Pro-Am,,,,31646,1,,,,,,0
,27194,"Hall, Harry",0,AT&T Pebble Beach Pro-Am,,,,57975,1,,,,,,0
,8825,"Harman, Brian",0,AT&T Pebble Beach Pro-Am,,,,27644,1,,,,,,0
,14578,"Henley, Russell",0,AT&T Pebble Beach Pro-Am,,,,34098,1,,,,,,0
,24342,"Higgo, Garrick",0,AT&T Pebble Beach Pro-Am,,,,54421,1,,,,,,0
,28469,"Highsmith, Joe",0,AT&T Pebble Beach Pro-Am,,,,60067,1,,,,,,0
,22760,"Hisatsune, Ryo",0,AT&T Pebble Beach Pro-Am,,,,51287,1,,,,,,0
,23504,"Hoey, Rico",0,AT&T Pebble Beach Pro-Am,,,,51696,1,,,,,,0
,15575,"Hoge, Tom",0,AT&T Pebble Beach Pro-Am,,,,35532,1,,,,,,0
,11276,"Horschel, Billy",0,AT&T Pebble Beach Pro-Am,,,,29420,1,,,,,,0
,18841,"Hovland, Viktor",0,AT&T Pebble Beach Pro-Am,,,,46717,1,,,,,,0
,15556,"Hughes, Mackenzie",0,AT&T Pebble Beach Pro-Am,,,,35506,1,,,,,,0
,16394,"Jaeger, Stephan",0,AT&T Pebble Beach Pro-Am,,,,36799,1,,,,,,0
,17543,"Kim, Michael",0,AT&T Pebble Beach Pro-Am,,,,39975,1,,,,,,0
,14609,"Kim, Si Woo",0,AT&T Pebble Beach Pro-Am,,,,37455,1,,,,,,0
,12423,"Kirk, Chris",0,AT&T Pebble Beach Pro-Am,,,,30926,1,,,,,,0
,21891,"Kitayama, Kurt",0,AT&T Pebble Beach Pro-Am,,,,48117,1,,,,,,0
,19396,"Knapp, Jake",0,AT&T Pebble Beach Pro-Am,,,,47420,1,,,,,,0
,16841,"Lee, Min Woo",0,AT&T Pebble Beach Pro-Am,,,,37378,1,,,,,,0
,13900,"Lowry, Shane",0,AT&T Pebble Beach Pro-Am,,,,33204,1,,,,,,0
,23323,"MacIntyre, Robert",0,AT&T Pebble Beach Pro-Am,,,,52215,1,,,,,,0
,13562,"Matsuyama, Hideki",0,AT&T Pebble Beach Pro-Am,,,,32839,1,,,,,,0
,19870,"McCarthy, Denny",0,AT&T Pebble Beach Pro-Am,,,,47993,1,,,,,,0
,28635,"McCarty, Matt",0,AT&T Pebble Beach Pro-Am,,,,59141,1,,,,,,0
,23505,"McGreevy, Max",0,AT&T Pebble Beach Pro-Am,,,,51950,1,,,,,,0
,10091,"McIlroy, Rory",0,AT&T Pebble Beach Pro-Am,,,,28237,1,,,,,,0
,18634,"McNealy, Maverick",0,AT&T Pebble Beach Pro-Am,,,,46442,1,,,,,,0
,17365,"Mitchell, Keith",0,AT&T Pebble Beach Pro-Am,,,,39546,1,,,,,,0
,22085,"Morikawa, Collin",0,AT&T Pebble Beach Pro-Am,,,,50525,1,,,,,,0
,10419,"Noren, Alex",0,AT&T Pebble Beach Pro-Am,,,,27349,1,,,,,,0
,23475,"Novak, Andrew",0,AT&T Pebble Beach Pro-Am,,,,51997,1,,,,,,0
,17780,"Pendrith, Taylor",0,AT&T Pebble Beach Pro-Am,,,,40250,1,,,,,,0
,22465,"Penge, Marco",0,AT&T Pebble Beach Pro-Am,,,,51003,1,,,,,,0
,21554,"Poston, J.T.",0,AT&T Pebble Beach Pro-Am,,,,49771,1,,,,,,0
,27900,"Potgieter, Aldrich",0,AT&T Pebble Beach Pro-Am,,,,63343,1,,,,,,0
,18554,"Rai, Aaron",0,AT&T Pebble Beach Pro-Am,,,,46414,1,,,,,,0
,16283,"Rodgers, Patrick",0,AT&T Pebble Beach Pro-Am,,,,36699,1,,,,,,0
