
Tournament: AT&T Pebble Beach Pro-Am,Last updated: 
Course: Spyglass Hill Golf Course,Found 80 players from cache
Data Date: 2026-03-03T21:27:53.310Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↓ Short Game | 📉 SG Around Green: trend reversing (0.297) | ✅ Success aligned with model","22085","Morikawa, Collin",14,"1",-22,3.1375,0.158,277.7,291.395,0.7677499999999999,0.7114,3.14975,0.793,2.4167500000000004,0.588,0.09125000000000001,-0.427,0.64175,0.632,-0.012249999999999983,0.366,0.8332499999999999,0.7066,24.996750000000002,27.723,27.52875,48.512,0,66.5,6.75,0.71675,4.25,2.25
"⚠️ Major model miss: #55 → T2 | ↑ Driving | 📈 SG OTT: trend continuing (0.300) | 📉 SG Putting: trend reversing (0.417) | ⚠️ Success despite model prediction","16841","Lee, Min Woo",55,"T2",-21,2.8874999999999997,0.539,281.8,300.161,0.7142499999999999,0.6132,1.0110000000000001,0.25,1.172,-1.111,-0.42874999999999996,0.681,0.26775,0.68,1.8765,0.359,0.79175,0.6273,29.2395,33.264,23.31325,63.606,0,66.75,6.25,0.72925,5.25,3
"↑ Finished better than predicted | ↓ Short Game | 📉 SG Around Green: trend reversing (2.515) | 📉 SG T2G: trend reversing (1.248) | 📈 SG Total: trend continuing (0.450) | ⚠️ Success despite model prediction","17511","Straka, Sepp",37,"T2",-21,2.625,0.098,279.525,286.505,0.714,0.6793,1.7295,0.725,0.57075,1.369,0.55525,-0.565,0.6035,-0.079,0.89575,-1.082,0.75,0.6758,24.54225,30.06,28.1085,48.526,0,66.75,7,0.6637500000000001,4.5,4
"🎯 Model prediction on target: #9 → T4 | ↑ Short Game | 📈 SG Around Green: trend continuing (0.354) | 📉 SG Approach: trend reversing (0.262) | ✅ Success aligned with model","12294","Fleetwood, Tommy",9,"T4",-20,2.6375,1.267,285.475,284.296,0.6247499999999999,0.6864,2.234,0.855,0.77325,0.098,1.1092499999999998,0.555,0.35150000000000003,0.202,0.4035,0.672,0.7362500000000001,0.6274000000000001,30.86925,29.916,26.2175,58.852,0,67,6,0.85975,2.5,2.5
"🎯 Model prediction on target: #1 → T4 | ↑ Above average performer | ✅ Success aligned with model","18417","Scheffler, Scottie",1,"T4",-20,2.375,1.894,286.1,291.674,0.6962499999999999,0.6845,1.91125,1.414,0.18874999999999997,0.728,0.7159999999999999,-0.134,1.0065,0.82,0.46399999999999997,0.991,0.722,0.7472,29.930750000000003,26.957,48.15225,46.308,0,67,5.75,0.607,4.5,3.25
"⚠️ Major model miss: #61 → T6 | ↓ Overall | 📉 SG T2G: trend reversing (3.109) | 📉 SG OTT: trend reversing (0.401) | 📉 SG Approach: trend reversing (0.350) | ⚠️ Success despite model prediction","19483","Burns, Sam",61,"T6",-19,2.125,0.061,282.3,292.462,0.6427499999999999,0.6297999999999999,0.7735000000000001,-0.055,0.72775,-0.177,-0.328,-0.268,0.3737499999999999,0.39,1.35175,-0.123,0.736,0.6693000000000001,28.529,35.502,33.94425,47.324,0,67.25,6,0.71875,5,3.25
"↑ Overall | 📈 SG Total: trend continuing (0.852) | 📈 SG T2G: trend continuing (0.844) | 📈 SG Putting: trend continuing (0.322) | ⚠️ Success despite model prediction","26096","Bhatia, Akshay",32,"T6",-19,2.125,0.281,282.95,285.007,0.6427499999999999,0.5770000000000001,1.7917500000000002,0.284,0.8212499999999998,0.98,0.765,-0.284,0.20550000000000002,-0.412,0.3335,0.263,0.8055,0.643,29.761,28.073,43.35724999999999,43.63,0,67.25,5.5,0.73225,2.5,3
"↓ Approach | 📉 SG Approach: trend reversing (0.648) | ⚠️ Success despite model prediction","19396","Knapp, Jake",28,"T8",-18,2.1375,1.249,287.825,299.386,0.643,0.5767,0.7749999999999999,0.501,0.274,0.157,0.40175,0.063,0.09925,0.281,1.3624999999999998,1.122,0.68075,0.6803,30.37775,30.489,51.089749999999995,42.745,0,67.5,5,0.7157500000000001,4.5,2.75
"🎯 Model prediction on target: #10 → T8 | ↑ Putting | 📈 SG Putting: trend continuing (0.827) | 📈 SG Total: trend continuing (0.618) | 📈 SG T2G: trend continuing (0.439) | ✅ Success aligned with model","13900","Lowry, Shane",10,"T8",-18,1.875,0.744,278.07500000000005,280.821,0.6964999999999999,0.6408,0.9632499999999999,0.624,0.8142499999999999,0.187,-0.18224999999999997,0.221,0.33125,0.216,0.912,0.423,0.764,0.6658,30.43775,35.264,44.6315,37.382,0,67.5,6,0.6577500000000001,4.25,3.5
"⚠️ Major model miss: #64 → T8 | ↑ Putting | 📈 SG Putting: trend continuing (0.521) | 📉 SG Around Green: trend reversing (0.703) | 📉 SG Total: trend reversing (0.403) | ⚠️ Success despite model prediction","22760","Hisatsune, Ryo",64,"T8",-18,1.875,-0.574,279.525,287.597,0.83925,0.5656,0.9007500000000002,0.577,-0.013500000000000012,0.168,0.19375000000000003,0.26,0.7205,0.149,0.9744999999999999,-0.805,0.7775,0.6965,33.35125,28.465,24.1265,59.685,0,67.5,5.75,0.52925,5.25,2.75
