
Tournament: AT&T - Pebble Beach (2026),Last updated: 2026-02-19T02:22:22.149Z
Course: Spyglass Hill Golf Course,Found 80 players from historical_csv
Data Date: 2026-02-23T18:01:30.252Z
DG ID,Player Name,Finish Position,Model Rank,Finish Highlight,Finish Bg,Finish Font,Finish Bold,Model Rank Highlight,Model Rank Bg,Model Rank Font,Model Rank Bold,SG Total Color,Driving Distance Color,Driving Accuracy Color,SG T2G Color,SG Approach Color,SG Around Green Color,SG OTT Color,SG Putting Color,Greens in Regulation Color,Fairway Proximity Color,Rough Proximity Color
"22085","Morikawa, Collin","1",10,"winner","#FFD700","#000000","bold","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8"
"16841","Lee, Min Woo","T2",67,"top5","#C0C0C0","#000000","bold","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8"
"17511","Straka, Sepp","T2",17,"top5","#C0C0C0","#000000","bold","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8"
"12294","Fleetwood, Tommy","T4",13,"top5","#C0C0C0","#000000","bold","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"18417","Scheffler, Scottie","T4",1,"top5","#C0C0C0","#000000","bold","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"19483","Burns, Sam","T6",60,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8"
"26096","Bhatia, Akshay","T6",37,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"19396","Knapp, Jake","T8",31,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE"
"13900","Lowry, Shane","T8",5,"top10","#CD7F32","#000000","","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE"
"22760","Hisatsune, Ryo","T8",48,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
