
Tournament: AT&T - Pebble Beach (2026),Last updated: 2026-02-19T02:22:22.149Z
Course: Spyglass Hill Golf Course,Found 80 players from historical_csv
Data Date: 2026-02-23T18:01:30.252Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"22085","Morikawa, Collin","1",1.748694,1.748694,-0.512638,-0.512638,1.327014,1.327014,2.315926,2.315926,2.514732,2.514732,0.153522,0.153522,1.108905,1.108905,-0.014172,-0.014172,2.324401,2.324401,-1.592,1.592,-0.939509,0.939509
"16841","Lee, Min Woo","T2",1.609356,1.609356,0.08874,0.08874,0.707763,0.707763,0.743378,0.743378,1.219535,1.219535,-0.720026,-0.720026,0.462517,0.462517,2.142897,2.142897,1.555238,1.555238,-0.245455,0.245455,-1.261626,1.261626
"17511","Straka, Sepp","T2",1.463051,1.463051,-0.244952,-0.244952,0.704869,0.704869,1.271666,1.271666,0.593917,0.593917,0.932995,0.932995,1.042797,1.042797,1.02282,1.02282,0.781442,0.781442,-1.736247,1.736247,-0.895208,0.895208
"12294","Fleetwood, Tommy","T4",1.470017,1.470017,0.62778,0.62778,-0.328182,-0.328182,1.642607,1.642607,0.804624,0.804624,1.86366,1.86366,0.607263,0.607263,0.46064,0.46064,0.526598,0.526598,0.271788,-0.271788,-1.039705,1.039705
"18417","Scheffler, Scottie","T4",1.323712,1.323712,0.719454,0.719454,0.499416,0.499416,1.4053,1.4053,0.196435,0.196435,1.203039,1.203039,1.739305,1.739305,0.529735,0.529735,0.262488,0.262488,-0.026069,0.026069,0.636388,-0.636388
"19483","Burns, Sam","T6",1.184374,1.184374,0.162079,0.162079,-0.119835,-0.119835,0.568753,0.568753,0.75728,0.75728,-0.550776,-0.550776,0.645718,0.645718,1.5436,1.5436,0.521965,0.521965,-0.470951,0.470951,-0.449283,0.449283
"26096","Bhatia, Akshay","T6",1.184374,1.184374,0.257419,0.257419,-0.119835,-0.119835,1.317436,1.317436,0.854569,0.854569,1.285354,1.285354,0.35493,0.35493,0.380696,0.380696,1.810081,1.810081,-0.079944,0.079944,0.269989,-0.269989
"19396","Knapp, Jake","T8",1.191341,1.191341,0.972472,0.972472,-0.116942,-0.116942,0.569856,0.569856,0.28514,0.28514,0.675131,0.675131,0.171297,0.171297,1.555877,1.555877,-0.502041,-0.502041,0.115797,-0.115797,0.86085,-0.86085
"13900","Lowry, Shane","T8",1.045036,1.045036,-0.457634,-0.457634,0.50231,0.50231,0.708269,0.708269,0.847286,0.847286,-0.305931,-0.305931,0.572265,0.572265,1.041378,1.041378,1.040918,1.040918,0.13484,-0.13484,0.367358,-0.367358
"22760","Hisatsune, Ryo","T8",1.045036,1.045036,-0.244952,-0.244952,2.154613,2.154613,0.662315,0.662315,-0.014011,-0.014011,0.325712,0.325712,1.245009,1.245009,1.112757,1.112757,1.291128,1.291128,1.059514,-1.059514,-1.199484,1.199484
