course_num,n,slope,intercept,r,t_stat,p_value
12,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
500,506,-4.239916,46.848939,-0.240872,-5.571604,0.000000
5,688,-3.492512,49.257637,-0.178924,-4.763160,0.000002
6,834,-2.949947,57.632713,-0.162560,-4.752170,0.000002
4,682,-3.728546,52.896782,-0.171462,-4.538387,0.000006
104,227,-1.027369,75.602576,-0.167134,-2.542773,0.010998
765,620,-1.013812,51.848976,-0.041686,-1.037199,0.299643
776,580,-0.812277,49.639677,-0.035207,-0.846969,0.397012
889,188,-0.140588,72.654025,-0.021440,-0.292473,0.769925
939,72,0.000000,33.236111,0.000000,0.000000,1.000000
