course_num,n,slope,intercept,r,t_stat,p_value
5,1232,-2.422800,51.350923,-0.236566,-8.539056,0.000000
510,1050,-2.488278,50.008497,-0.257429,-8.624363,0.000000
665,1378,-1.895935,55.275110,-0.180690,-6.814774,0.000000
928,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
11,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
12,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
714,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
6,1958,-1.107673,53.874146,-0.140010,-6.253774,0.000000
500,506,-4.239916,46.848939,-0.240872,-5.571604,0.000000
14,506,-4.239916,46.848939,-0.240872,-5.571604,0.000000
4,682,-3.728546,52.896782,-0.171462,-4.538387,0.000006
21,732,-2.557036,56.846321,-0.151532,-4.142010,0.000034
104,227,-1.027369,75.602576,-0.167134,-2.542773,0.010998
765,620,-1.013812,51.848976,-0.041686,-1.037199,0.299643
939,72,0.000000,33.236111,0.000000,0.000000,1.000000
