"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","0.192","-0.054","291.176","0.000","59.61%","-0.010","0.385","-0.029","0.093","-0.013","0.049","-0.006","0.131","-0.032","-0.152","0.012","68.47%","-0.004","65.98%","0.000","3.082","-0.018","3.351","0.021","69.167","0.000","4.163","-0.012","-0.069","0.000","29.830","0.000","50.794","-0.015","85.05%","-0.018","17.037","80.95%","0.117","21.218","56.10%","0.153","38.913","34.40%","0.207","62.305","70.25%","0.360","29.537","48.30%","0.315","42.392","-0.03","0.00","-0.403","-0.013"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.403)","Delta Predictive Score (median=-0.013)"
"↑ Above average | 💪 SG Putting, Approach >200 FW Prox | ✅ Strong course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.26 (-0.016) [S↓ M↓ L↑ VL↑]",1,"18417","Scheffler, Scottie",50,64,"1.26","1.058","1.894","0.000","291.674","-0.003","68.45%","-0.018","1.414","-0.032","0.728","-0.097","-0.134","0.109","0.820","-0.035","0.991","0.116","74.72%","0.000","73.49%","0.005","3.489","-0.017","2.925","-0.012","67.604","0.000","5.306","-0.013","2.522","0.000","26.957","-0.016","46.308","-0.028","87.60%","1.548","14.975","86.10%","0.990","18.458","56.30%","0.504","38.960","38.70%","1.872","54.214","77.30%","1.296","26.030","51.10%","1.278","38.962","1.26","0.75","-0.037","0.003"
"💪 SG Around Green, Approach >200 FW Prox | ✅ Strong course fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.73 (0.103) [S↑ M↓ L↑ VL↑]",2,"13562","Matsuyama, Hideki",10,17,"0.90","1.028","1.403","-0.096","293.718","-0.003","59.59%","0.012","1.379","-0.121","0.720","-0.223","0.631","0.014","0.028","0.000","0.190","-0.040","67.69%","-0.011","80.16%","0.004","3.958","-0.069","3.190","0.004","67.826","0.000","4.361","-0.027","0.499","0.000","25.234","-0.005","52.041","0.024","83.80%","0.972","14.763","81.50%","0.324","20.329","48.00%","-0.468","38.892","29.10%","0.396","56.749","74.50%","1.098","25.855","50.70%","1.296","37.584","0.90","0.45","0.139","0.043"
"💪 Approach >200 FW Prox, SG T2G | ✅ Strong course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.72 (0.100) [S↓ M↓ L↑ VL↑]",3,"14609","Kim, Si Woo",7,14,"0.87","1.032","1.382","-0.119","293.679","0.000","73.95%","-0.016","2.287","-0.064","1.202","-0.055","0.324","0.067","0.761","-0.136","-0.937","0.199","76.45%","-0.007","67.72%","-0.008","3.497","-0.009","3.210","0.070","67.751","0.003","4.650","-0.031","0.875","0.000","23.553","-0.011","54.363","0.039","82.20%","-0.558","16.890","76.60%","0.108","21.892","51.60%","0.234","36.913","38.10%","0.324","64.072","71.50%","1.188","26.181","49.40%","1.332","38.374","0.87","0.39","0.080","0.047"
"💪 Approach >200 FW Prox, Approach <100 GIR | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.64 (0.080) [S↓ M↓ L↑ VL↑]",4,"18841","Hovland, Viktor",14,21,"0.66","0.985","0.378","-0.234","288.290","0.000","63.70%","-0.010","0.509","-0.159","0.597","-0.071","-0.103","1.408","0.015","-0.042","-0.478","-0.643","68.22%","0.000","66.43%","-0.014","2.805","-0.022","3.530","0.037","69.123","0.000","4.185","-0.028","1.532","0.000","28.106","-0.011","52.249","-0.010","88.90%","1.170","15.150","84.20%","0.720","18.503","62.10%","0.792","36.170","36.40%","0.612","64.568","73.30%","1.602","24.599","53.30%","1.008","36.981","0.66","0.34","0.225","0.042"
"💪 Approach >200 FW Prox, Approach <100 GIR | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.08 (-0.063) [S↑ M↓ L↓ VL↑]",5,"15466","Cantlay, Patrick",24,29,"0.55","0.965","0.595","-0.112","289.601","-0.004","63.93%","0.008","1.029","0.027","0.315","-0.051","0.120","0.388","0.594","0.018","-0.614","-0.669","67.59%","0.000","65.07%","0.000","3.557","0.024","3.789","0.024","68.933","0.000","4.347","-0.007","1.159","0.000","30.505","0.000","46.254","-0.023","92.30%","0.846","15.033","88.40%","0.774","18.409","61.50%","0.126","37.413","37.00%","1.422","65.405","77.10%","0.972","27.848","41.80%","-0.144","42.463","0.55","0.41","-0.441","-0.001"
"💪 Approach >200 FW Prox, SG Putting | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.00 (0.173) [S↓ M↓ L↑ VL↑]",6,"21891","Kitayama, Kurt",11,15,"0.59","0.950","0.980","0.214","303.482","0.000","59.98%","-0.006","1.049","0.055","0.579","0.084","-0.036","-0.694","0.507","0.099","0.758","-3.345","74.35%","-0.003","70.38%","0.021","3.260","0.027","2.733","-0.038","68.227","-0.003","4.119","0.032","0.397","0.000","28.641","-0.007","37.701","-0.048","80.30%","0.180","17.341","79.20%","0.504","20.912","56.10%","0.414","39.736","32.30%","0.540","57.953","69.90%","0.450","29.671","48.40%","1.062","36.937","0.59","0.30","0.769","0.050"
"💪 Approach >200 FW Prox, SG Around Green | ✅ Strong course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.08 (-0.063) [S↓ M↑ L↓ VL↑]",7,"10091","McIlroy, Rory",25,37,"0.52","1.034","1.185","0.000","302.955","0.000","60.15%","0.019","1.529","0.107","0.513","0.105","0.315","0.455","0.701","0.032","-0.408","-0.152","73.27%","0.011","69.34%","-0.005","2.903","-0.050","2.991","0.000","68.089","0.000","4.333","-0.005","0.504","0.000","27.910","-0.012","46.592","-0.032","81.70%","-1.566","16.576","82.10%","0.720","18.732","58.30%","0.162","39.208","36.70%","1.368","64.099","67.30%","0.108","28.733","53.90%","1.386","38.925","0.52","0.36","-0.591","-0.009"
"💪 SG Putting, Approach >200 FW Prox | ✅ Strong course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.32 (-0.002) [S↑ M↑ L↓ VL↑]",8,"23323","MacIntyre, Robert",6,14,"0.54","0.992","1.437","0.050","298.718","-0.004","57.25%","0.000","0.565","-0.331","0.029","0.584","-0.080","0.275","0.616","0.064","1.070","0.164","70.63%","-0.007","74.41%","0.013","3.962","0.018","3.312","-0.030","67.736","0.000","4.862","-0.010","0.446","0.000","30.935","0.003","42.675","-0.024","90.30%","-0.720","17.794","80.40%","-0.108","21.682","64.90%","1.458","35.569","34.30%","0.414","58.070","67.60%","-0.054","30.217","48.40%","0.306","38.969","0.54","0.31","-0.275","0.004"
