,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,14796.000,"Hatton, Tyrrell",0.831,0.073,0.000,0.964,19.320,0.031,55.000,0.754,0.110,0.000,0.980,25.363,0.082,100.000,0.825,0.091,0.000,1.000,11.348,0.035,22.000,,,,,,,,0.486,0.036,0.000,0.946,44.732,0.016,56.000,0.427,0.000,0.000,0.941,37.983,-0.044,17.000
,18841.000,"Hovland, Viktor",0.835,0.095,0.000,0.951,18.867,0.055,243.000,0.721,0.083,0.000,0.969,25.825,0.079,351.000,0.881,0.118,0.000,0.965,16.031,0.028,85.000,0.388,0.057,0.000,0.984,64.531,0.031,122.000,0.520,0.070,0.000,0.965,38.236,0.055,200.000,0.626,0.053,0.000,0.936,36.125,0.024,94.000
,19428.000,"Zalatoris, Will",0.853,0.074,0.000,0.959,20.557,0.025,148.000,0.758,0.092,0.000,0.959,27.940,0.079,195.000,0.867,0.058,0.000,0.942,16.958,-0.034,52.000,0.380,0.068,0.000,0.973,58.273,0.037,73.000,0.428,0.067,0.000,0.943,47.636,0.009,105.000,0.641,0.055,0.000,0.945,36.213,-0.003,73.000
,13900.000,"Lowry, Shane",0.822,0.061,0.000,0.939,19.636,0.026,280.000,0.729,0.082,0.000,0.968,26.962,0.073,376.000,0.850,0.151,0.000,0.957,15.127,0.044,93.000,0.402,0.077,0.000,0.969,54.412,0.054,130.000,0.525,0.073,0.000,0.966,43.614,0.050,205.000,0.614,0.057,0.000,0.966,35.331,0.032,88.000
,18417.000,"Scheffler, Scottie",0.865,0.092,0.000,0.972,18.332,0.066,326.000,0.762,0.063,0.000,0.966,26.574,0.072,445.000,0.845,0.119,0.000,0.960,14.344,0.097,101.000,0.396,0.067,0.000,1.000,54.283,0.103,120.000,0.502,0.082,0.000,0.973,39.181,0.074,257.000,0.586,0.059,0.000,0.941,37.368,0.036,135.000
,22736.000,"Rosenmueller, Thomas",0.799,0.068,0.000,0.937,22.567,-0.019,207.000,0.725,0.084,0.000,0.980,27.872,0.072,298.000,0.875,0.087,0.000,0.935,18.908,-0.011,92.000,0.369,0.048,0.000,0.952,59.643,0.010,84.000,0.470,0.045,0.000,0.955,44.196,0.006,154.000,0.526,0.028,0.000,0.944,40.659,-0.046,108.000
,11082.000,"Burgoon, Bronson",,,,,,,,0.638,0.102,1.000,0.959,26.808,0.071,49.000,0.775,0.000,0.000,0.895,20.042,-0.107,19.000,0.294,0.000,0.000,0.929,65.866,-0.072,28.000,0.466,0.103,1.000,0.966,41.633,-0.009,29.000,0.513,0.069,0.000,0.931,32.771,0.013,29.000
,23841.000,"Neergaard-Petersen, Rasmus",,,,,,,,0.751,0.039,0.000,0.987,28.533,0.063,76.000,0.808,0.067,0.000,0.867,18.132,-0.044,15.000,,,,,,,,0.598,0.026,1.000,1.000,39.322,0.056,38.000,0.575,0.111,0.000,0.944,37.755,0.048,18.000
,32319.000,"Koivun, Jackson",0.826,0.081,0.000,0.894,21.487,0.002,123.000,0.714,0.074,0.000,0.967,26.923,0.062,121.000,0.700,0.042,0.000,0.875,18.657,-0.140,24.000,0.356,0.000,0.000,0.968,75.955,-0.041,31.000,0.451,0.025,0.000,1.000,44.380,-0.001,79.000,0.449,0.098,0.000,0.976,43.684,-0.032,41.000
,23504.000,"Hoey, Rico",0.797,0.070,0.000,0.940,23.134,0.001,302.000,0.717,0.075,0.000,0.964,28.317,0.061,415.000,0.826,0.051,0.000,0.939,18.818,-0.009,99.000,0.388,0.077,0.000,0.962,54.300,0.039,104.000,0.498,0.053,0.000,0.981,41.652,0.040,206.000,0.589,0.088,0.000,0.949,38.447,0.020,137.000
,24481.000,"Redman, Doc",0.836,0.085,1.000,0.936,22.964,0.022,47.000,0.757,0.063,1.000,0.952,30.232,0.059,63.000,0.888,0.231,1.000,1.000,12.522,0.212,13.000,,,,,,,,,,,,,,,0.625,0.053,0.000,0.947,42.274,-0.025,19.000
,17511.000,"Straka, Sepp",0.865,0.083,0.000,0.960,17.617,0.081,302.000,0.728,0.072,0.000,0.964,27.822,0.058,446.000,0.845,0.129,0.000,0.976,15.850,0.038,85.000,0.336,0.061,0.000,0.969,53.694,-0.009,131.000,0.562,0.041,0.000,0.967,41.869,0.047,241.000,0.440,0.070,0.000,0.953,41.534,-0.035,86.000
,22085.000,"Morikawa, Collin",0.828,0.091,0.000,0.950,18.431,0.051,319.000,0.729,0.077,0.000,0.968,27.851,0.058,379.000,0.888,0.071,0.000,0.949,15.653,0.039,99.000,0.315,0.043,0.000,0.978,57.456,0.018,93.000,0.479,0.062,0.000,0.963,42.905,0.044,240.000,0.649,0.026,0.000,0.962,33.201,0.050,78.000
,24304.000,"Vilips, Karl",0.776,0.054,0.000,0.930,23.785,-0.037,186.000,0.723,0.093,0.000,0.946,29.714,0.058,279.000,0.851,0.056,0.000,0.958,15.826,0.036,71.000,0.331,0.038,0.000,0.981,63.157,-0.007,104.000,0.453,0.045,0.000,0.962,47.931,-0.037,133.000,0.515,0.055,0.000,0.930,40.106,-0.022,128.000
,11276.000,"Horschel, Billy",0.812,0.060,0.000,0.967,21.687,-0.002,151.000,0.688,0.081,0.000,0.963,29.247,0.057,246.000,0.843,0.115,0.000,0.967,15.113,0.041,61.000,0.266,0.034,0.000,0.978,59.761,-0.067,89.000,0.400,0.019,0.000,0.972,49.945,-0.024,106.000,0.677,0.091,0.000,0.909,35.575,0.061,66.000
,15466.000,"Cantlay, Patrick",0.875,0.059,0.000,0.944,19.179,0.046,287.000,0.753,0.086,0.000,0.979,28.429,0.056,336.000,0.903,0.126,0.000,0.942,16.305,0.012,103.000,0.400,0.047,0.000,0.992,62.524,0.074,129.000,0.399,0.034,0.000,0.937,43.726,-0.017,205.000,0.647,0.050,0.000,0.979,36.644,0.017,141.000
,14838.000,"Reed, Patrick",,,,,,,,0.683,0.099,0.000,0.958,22.368,0.055,71.000,0.835,0.188,0.000,0.938,14.646,0.040,16.000,0.264,0.045,1.000,0.955,63.030,-0.011,22.000,0.512,0.023,0.000,0.977,54.283,0.027,43.000,0.531,0.000,0.000,1.000,47.899,-0.086,16.000
,13562.000,"Matsuyama, Hideki",0.814,0.092,0.000,0.942,20.043,0.035,327.000,0.723,0.074,0.000,0.971,27.028,0.054,444.000,0.840,0.113,0.000,0.934,14.703,0.058,106.000,0.298,0.031,0.000,0.969,53.501,0.023,163.000,0.484,0.097,0.000,0.972,39.605,0.063,248.000,0.523,0.056,0.000,0.951,39.496,-0.040,142.000
,17576.000,"Conners, Corey",0.845,0.071,0.000,0.946,19.313,0.041,350.000,0.750,0.056,0.000,0.979,26.817,0.054,468.000,0.823,0.067,0.000,0.924,18.142,-0.023,105.000,0.334,0.046,0.000,0.991,63.325,0.012,108.000,0.505,0.057,0.000,0.968,45.262,0.032,280.000,0.569,0.028,0.000,0.962,39.357,-0.019,106.000
,31188.000,"Valdes, Brendan",0.736,0.055,0.000,0.964,23.836,-0.021,55.000,0.645,0.089,1.000,0.946,30.155,0.051,56.000,0.661,0.000,1.000,0.929,20.888,-0.089,14.000,0.150,0.000,1.000,0.895,77.753,-0.165,19.000,,,,,,,,0.465,0.000,0.000,0.824,43.704,-0.085,17.000
,12294.000,"Fleetwood, Tommy",0.849,0.065,0.000,0.959,19.252,0.044,292.000,0.704,0.081,0.000,0.964,28.733,0.050,421.000,0.913,0.093,0.000,1.000,14.895,0.068,86.000,0.383,0.056,0.000,0.976,69.040,-0.003,124.000,0.473,0.052,0.000,0.970,43.400,0.020,230.000,0.600,0.057,0.000,0.943,38.664,-0.015,87.000
,23542.000,"Champ, Cameron",0.783,0.072,0.000,0.948,24.118,-0.032,153.000,0.731,0.064,0.000,0.948,28.195,0.049,172.000,0.806,0.023,0.000,0.930,22.796,-0.112,43.000,0.157,0.024,0.000,0.951,68.286,-0.080,41.000,0.466,0.031,0.000,0.938,44.274,-0.015,97.000,0.547,0.016,0.000,0.984,46.074,-0.058,61.000
,5768.000,"Hoffman, Charley",0.748,0.071,0.000,0.914,24.138,-0.023,140.000,0.650,0.067,0.000,0.955,28.521,0.048,179.000,0.860,0.051,0.000,0.949,17.925,-0.020,39.000,0.421,0.076,0.000,0.985,50.717,0.056,66.000,0.452,0.032,0.000,0.914,42.048,-0.021,93.000,0.586,0.057,0.000,0.957,36.237,-0.006,70.000
,14609.000,"Kim, Si Woo",0.775,0.104,0.000,0.934,22.196,0.022,316.000,0.691,0.090,0.000,0.962,27.832,0.048,498.000,0.825,0.056,0.000,0.915,16.827,-0.021,142.000,0.377,0.037,0.000,0.955,64.472,-0.007,134.000,0.472,0.075,0.000,0.964,41.062,0.052,279.000,0.489,0.069,0.000,0.915,37.911,-0.046,130.000
,17536.000,"Spaun, J.J.",0.814,0.094,0.000,0.939,20.003,0.051,362.000,0.725,0.073,0.000,0.948,28.645,0.047,481.000,0.903,0.096,0.000,0.936,15.612,0.054,94.000,0.416,0.095,0.000,0.973,64.667,0.070,148.000,0.513,0.052,0.000,0.964,42.621,0.049,251.000,0.610,0.029,0.000,0.964,34.268,0.034,139.000
,19895.000,"Schauffele, Xander",0.816,0.065,0.000,0.955,20.809,0.009,201.000,0.742,0.076,0.000,0.957,27.090,0.047,328.000,0.893,0.138,0.000,0.923,16.472,0.046,65.000,0.355,0.056,0.000,0.935,63.954,-0.012,107.000,0.540,0.060,0.000,0.958,39.160,0.048,167.000,0.613,0.061,0.000,0.947,35.868,0.037,114.000
,24200.000,"Smylie, Elvis",,,,,,,,0.795,0.056,1.000,0.944,30.944,0.047,54.000,,,,,,,,,,,,,,,0.502,0.053,1.000,0.947,40.746,0.061,38.000,0.778,0.133,0.000,0.933,37.816,0.123,15.000
,13872.000,"Bradley, Keegan",0.825,0.072,0.000,0.974,19.601,0.027,307.000,0.680,0.070,0.000,0.968,27.858,0.044,469.000,0.824,0.095,0.000,0.943,17.017,0.003,105.000,0.314,0.023,0.000,0.946,67.974,-0.034,130.000,0.480,0.054,0.000,0.963,44.655,0.017,241.000,0.601,0.066,0.000,0.920,35.563,0.013,137.000
,17606.000,"Berger, Daniel",0.774,0.063,0.000,0.944,20.908,0.008,268.000,0.722,0.078,0.000,0.959,28.543,0.043,460.000,0.918,0.141,0.000,0.965,14.382,0.074,85.000,0.394,0.077,0.000,0.966,60.760,0.012,117.000,0.496,0.061,0.000,0.969,43.024,0.025,228.000,0.558,0.057,0.000,0.977,37.048,-0.005,88.000
,12422.000,"Johnson, Dustin",,,,,,,,0.675,0.035,1.000,0.947,28.937,0.042,57.000,0.948,0.067,0.000,1.000,14.526,0.014,15.000,0.276,0.000,1.000,1.000,72.658,-0.040,24.000,0.577,0.103,1.000,1.000,44.258,0.090,29.000,0.647,0.000,1.000,0.909,51.789,0.016,11.000
,16395.000,"Kohles, Ben",0.839,0.064,0.000,0.959,21.055,0.021,267.000,0.737,0.046,0.000,0.962,29.703,0.042,372.000,0.905,0.083,0.000,0.969,16.447,0.021,96.000,0.314,0.079,0.000,0.978,58.144,0.053,89.000,0.504,0.047,0.000,0.990,41.151,0.062,192.000,0.486,0.079,0.000,0.947,43.047,-0.009,76.000
,7399.000,"Glover, Lucas",0.835,0.090,0.000,0.962,18.968,0.061,289.000,0.693,0.078,0.000,0.948,28.598,0.041,461.000,0.908,0.092,0.000,0.969,15.178,0.042,98.000,0.317,0.061,0.000,0.948,70.368,0.008,115.000,0.408,0.072,0.000,0.942,44.505,-0.021,207.000,0.589,0.084,0.000,0.988,35.293,0.082,83.000
,11657.000,"Norlander, Henrik",0.827,0.092,0.000,0.964,21.037,0.024,249.000,0.703,0.072,0.000,0.968,29.831,0.041,405.000,0.913,0.115,0.000,0.951,17.747,0.016,61.000,0.396,0.069,0.000,0.992,48.346,0.071,130.000,0.443,0.078,0.000,0.972,45.728,0.004,179.000,0.497,0.062,0.000,0.896,39.755,-0.041,96.000
,12577.000,"Woodland, Gary",0.770,0.061,0.000,0.924,23.397,-0.006,264.000,0.687,0.072,0.000,0.964,29.566,0.040,389.000,0.880,0.087,0.000,0.942,17.400,0.004,103.000,0.363,0.078,0.000,0.953,55.789,0.039,129.000,0.538,0.055,0.000,0.945,42.577,0.045,182.000,0.536,0.058,0.000,0.935,36.718,0.000,139.000
,18517.000,"Soderberg, Sebastian",,,,,,,,0.693,0.093,1.000,0.963,29.185,0.040,54.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18761.000,"Mullinax, Trey",0.743,0.073,0.000,0.917,23.984,-0.041,206.000,0.745,0.076,0.000,0.964,29.674,0.040,275.000,0.931,0.133,0.000,0.987,13.858,0.093,75.000,0.335,0.052,0.000,0.979,59.291,0.014,97.000,0.386,0.035,0.000,0.908,49.967,-0.071,141.000,0.560,0.052,0.000,0.888,39.607,-0.009,134.000
,22833.000,"Echavarria, Nico",0.774,0.058,0.000,0.911,22.498,-0.021,259.000,0.716,0.066,0.000,0.955,28.673,0.040,425.000,0.787,0.061,0.000,0.899,17.891,-0.076,99.000,0.375,0.057,0.000,0.951,57.350,0.029,122.000,0.430,0.036,0.000,0.941,45.529,-0.026,221.000,0.635,0.125,0.000,0.933,33.010,0.064,120.000
,23950.000,"Aberg, Ludvig",0.807,0.058,0.000,0.928,20.418,0.006,292.000,0.699,0.074,0.000,0.950,28.247,0.039,338.000,0.831,0.120,0.000,0.935,16.938,-0.010,92.000,0.289,0.057,0.000,0.934,70.911,-0.025,122.000,0.475,0.082,0.000,0.949,39.237,0.028,195.000,0.527,0.061,0.000,0.947,38.467,-0.025,114.000
,17780.000,"Pendrith, Taylor",0.824,0.054,0.000,0.946,22.564,0.001,351.000,0.729,0.059,0.000,0.949,29.981,0.038,392.000,0.848,0.109,0.000,0.950,18.391,-0.018,101.000,0.346,0.079,0.000,0.957,63.793,0.018,140.000,0.476,0.050,0.000,0.973,47.061,0.006,221.000,0.578,0.057,0.000,0.949,38.621,0.020,157.000
,22760.000,"Hisatsune, Ryo",0.836,0.051,0.000,0.942,22.507,-0.018,275.000,0.717,0.068,0.000,0.965,29.919,0.038,398.000,0.784,0.066,0.000,0.890,19.855,-0.084,91.000,0.348,0.053,0.000,0.953,58.388,0.004,150.000,0.436,0.066,0.000,0.965,45.669,-0.018,198.000,0.640,0.072,0.000,0.920,35.910,0.030,138.000
,26096.000,"Bhatia, Akshay",0.832,0.089,0.000,0.949,20.125,0.042,316.000,0.696,0.061,0.000,0.954,28.386,0.038,475.000,0.826,0.072,0.000,0.949,16.681,-0.012,138.000,0.358,0.076,0.000,0.945,63.463,0.005,145.000,0.513,0.088,0.000,0.958,41.237,0.064,260.000,0.568,0.064,0.000,0.948,38.135,0.004,173.000
