,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,19846,"Bauchou, Zach",0,Sony Open in Hawaii,,,,48001,1,1,2026-01-15 13:19,2026-01-16 8:49,,,0
,17606,"Berger, Daniel",0,Sony Open in Hawaii,,,,40026,1,1,2026-01-15 12:02,2026-01-16 7:32,,,0
,17639,"Blair, Zac",0,Sony Open in Hawaii,,,,40058,1,10,2026-01-15 11:51,2026-01-16 7:21,,,0
,24956,"Blanchet, Chandler",0,Sony Open in Hawaii,,,,54788,1,10,2026-01-15 12:46,2026-01-16 8:16,,,0
,13872,"Bradley, Keegan",0,Sony Open in Hawaii,,,,33141,1,1,2026-01-15 12:13,2026-01-16 7:43,,,0
,29197,"Brennan, Michael",0,Sony Open in Hawaii,,,,61522,1,1,2026-01-15 12:24,2026-01-16 7:54,,,0
,29433,"Bridgeman, Jacob",0,Sony Open in Hawaii,,,1,60004,1,1,2026-01-15 7:10,2026-01-16 11:40,,,0
,20766,"Brown, Daniel",0,Sony Open in Hawaii,,,,57259,1,10,2026-01-15 13:08,2026-01-16 8:38,,,0
,30041790,"Cabello, Anson",1,Sony Open in Hawaii,,,1,70036,1,10,2026-01-15 8:49,2026-01-16 13:19,,,0
,18628,"Campbell, Brian",0,Sony Open in Hawaii,,,1,46443,1,1,2026-01-15 7:54,2026-01-16 12:24,,,0
,12909,"Campos, Rafael",0,Sony Open in Hawaii,,,,32070,1,10,2026-01-15 12:02,2026-01-16 7:32,,,0
,27819,"Castillo, Ricky",0,Sony Open in Hawaii,,,1,59440,1,1,2026-01-15 8:38,2026-01-16 13:08,,,0
,14502,"Cauley, Bud",0,Sony Open in Hawaii,,,,34021,1,1,2026-01-15 11:51,2026-01-16 7:21,,,0
,30620,"Chatfield, Davis",0,Sony Open in Hawaii,,,,59006,1,10,2026-01-15 12:57,2026-01-16 8:27,,,0
,32330,"Clanton, Luke",0,Sony Open in Hawaii,,,,66743,1,1,2026-01-15 12:46,2026-01-16 8:16,,,0
,21756,"Cole, Eric",0,Sony Open in Hawaii,,,,47591,1,10,2026-01-15 11:51,2026-01-16 7:21,,,0
,17576,"Conners, Corey",0,Sony Open in Hawaii,,,1,39997,1,1,2026-01-15 7:54,2026-01-16 12:24,,,0
,28309,"Coody, Pierceson",0,Sony Open in Hawaii,,,1,59836,1,1,2026-01-15 8:27,2026-01-16 12:57,,,0
,17786,"Davis, Cam",0,Sony Open in Hawaii,,,1,45157,1,1,2026-01-15 7:43,2026-01-16 12:13,,,0
,16757,"Dou, Zecheng",0,Sony Open in Hawaii,,,1,37338,1,10,2026-01-15 8:49,2026-01-16 13:19,,,0
,22002,"Dumont De Chassart, Adrien",0,Sony Open in Hawaii,,,,50497,1,10,2026-01-15 12:57,2026-01-16 8:27,,,0
,28270,"Dunlap, Nick",0,Sony Open in Hawaii,,,1,59866,1,1,2026-01-15 8:16,2026-01-16 12:46,,,0
,22833,"Echavarria, Nico",0,Sony Open in Hawaii,,,,51349,1,10,2026-01-15 12:13,2026-01-16 7:43,,,0
,26653,"Eckroat, Austin",0,Sony Open in Hawaii,,,1,57362,1,10,2026-01-15 7:10,2026-01-16 11:40,,,0
,21883,"Ewart, A.J.",0,Sony Open in Hawaii,,,,50286,1,1,2026-01-15 12:57,2026-01-16 8:27,,,0
,11676,"Finau, Tony",0,Sony Open in Hawaii,,,,29725,1,1,2026-01-15 12:24,2026-01-16 7:54,,,0
