
Tournament: Sony Open,Last updated: 
Course: Waialae Country Club,Found 120 players from cache
Data Date: 2026-03-03T03:53:13.175Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"⚠️ Major model miss: #57 → 1 | ↑ Short Game | 📈 SG Around Green: trend continuing (0.608) | 📉 SG Total: trend reversing (1.082) | 📉 SG Approach: trend continuing (0.292) | ⚠️ Success despite model prediction","27774","Gotterup, Chris",57,"1",-16,3.21775,-0.302,304.05,301.736,0.6072500000000001,0.5032,1.9449999999999998,0.522,-0.03899999999999998,0.081,0.8927499999999999,0.009,1.09125,0.431,1.27275,-0.752,0.764,0.6374,25.3805,31.97,53.6425,45.145,0,66,5.5,0.7855,4,1.75
"↓ Putting | 📉 SG Putting: trend reversing (0.309) | ✅ Success aligned with model","29767","Gerard, Ryan",15,"2",-14,2.71775,0.381,289.975,288.486,0.714,0.6442,2.40975,0.848,1.5490000000000002,0.591,0.46325,-0.214,0.3975,0.487,0.308,-0.256,0.7777499999999999,0.7229000000000001,24.5595,27.949,45.897,38.452,0,66.5,5,0.6910000000000001,3,2.5
"↑ Finished better than predicted | ↑ Driving | 📈 SG OTT: trend continuing (1.126) | 📈 SG Putting: trend continuing (0.524) | 📉 SG Approach: trend reversing (0.723) | ⚠️ Success despite model prediction","16283","Rodgers, Patrick",49,"3",-13,2.46775,0.173,296.27500000000003,289.254,0.607,0.5041,1.40875,-0.067,0.5535,0.003,0.05649999999999996,0.219,0.7987500000000001,-0.289,1.0590000000000002,-0.011,0.764,0.6625,27.810250000000003,28.907,70.65575,42.115,0,66.75,4.5,0.6904999999999999,3.75,1.75
"↑ Short Game | 📈 SG Around Green: trend continuing (0.715) | 📉 SG OTT: trend reversing (0.383) | ✅ Success aligned with model","29433","Bridgeman, Jacob",18,"T4",-12,2.21775,0.909,292.325,289.137,0.518,0.615,1.09925,0.422,0.71,0.66,0.368,-0.222,0.021249999999999977,-0.016,1.1185,0.754,0.75,0.7402,23.20275,29.864,74.01875,40.494,0,67,5.25,0.6427499999999999,4.25,2.25
"🎯 Model prediction on target: #4 → T4 | ↑ Short Game | 📈 SG Around Green: trend continuing (4.785) | 📈 SG OTT: trend continuing (0.239) | ✅ Success aligned with model","23323","MacIntyre, Robert",4,"T4",-12,2.2177499999999997,0.783,306.04999999999995,290.386,0.5535,0.5934,1.904,-0.672,0.8594999999999999,-0.765,0.20175,0.04,0.84275,0.054,0.3137500000000001,1.311,0.7915000000000001,0.6384000000000001,31.01275,31.997,46.78125,41.613,0,67,5,0.7085,5,4
"↑ Finished better than predicted | ↓ Driving | 📉 SG OTT: trend reversing (5.310) | 📈 SG Putting: trend continuing (0.810) | 📈 SG Total: trend continuing (0.780) | ⚠️ Success despite model prediction","25157","Hodges, Lee",48,"T6",-11,1.96775,0.11,293.025,283.792,0.5535,0.6079,0.029249999999999998,0.412,-0.06624999999999999,0.482,0.010000000000000016,-0.113,0.08549999999999999,0.044,1.9385,-0.316,0.7502500000000001,0.7139,33.7145,29.943,61.04299999999999,46.185,0,67.25,4,0.881,4.25,2
"⚠️ Major model miss: #115 → T6 | ↓ Putting | 📉 SG Putting: trend reversing (2.268) | 📉 SG Approach: trend continuing (0.590) | ⚠️ Success despite model prediction","19872","Riley, Davis",115,"T6",-11,1.96775,-0.991,290.225,292.47,0.5535,0.48729999999999996,-0.79325,-1.237,-0.06400000000000003,0.181,0.10625,-0.303,-0.8355,-1.114,2.7609999999999997,-0.056,0.6387499999999999,0.6718000000000001,30.293749999999996,30.711,83.33024999999999,56.165,0,67.25,6,0.7945000000000001,5,3.75
"↓ Driving | 📉 SG OTT: trend reversing (0.774) | 📈 SG Approach: trend continuing (0.305) | ⚠️ Success despite model prediction","17606","Berger, Daniel",30,"T6",-11,1.96775,-0.059,296.59999999999997,284.022,0.5535,0.6034,1.05875,0.251,0.8792500000000001,0.523,-0.18475,-0.26,0.36424999999999996,-0.012,0.909,-0.286,0.7915000000000001,0.7243999999999999,25.8195,27.344,57.69024999999999,47.555,0,67.25,5.25,0.5177499999999999,3.25,1.75
"⚠️ Success despite model prediction","27194","Hall, Harry",26,"T6",-11,1.96775,0.294,297.525,284.567,0.6964999999999999,0.5956,1.2805,-0.324,0.32625,-0.23,0.23374999999999999,0.514,0.7205,-0.607,0.6872499999999999,0.363,0.7777499999999999,0.6727,29.4805,31.041,46.944250000000004,61.611,0,67.25,4,0.766,3,2.5
"↑ Short Game | 📈 SG Around Green: trend continuing (3.326) | 📉 SG Total: trend reversing (5.313) | 📈 SG T2G: trend continuing (0.544) | ⚠️ Success despite model prediction","17780","Pendrith, Taylor",29,"T6",-11,1.9677499999999999,-0.519,305.55,293.469,0.5535,0.5668,1.1724999999999999,-0.783,0.13999999999999996,-0.515,0.7755,-0.4,0.257,0.132,0.79525,0.414,0.68075,0.6694,30.331000000000003,33.282,56.10325,50.952,0,67.25,4.75,0.618,4,2.5
