course_num,n,slope,intercept,r,t_stat,p_value
928,1826,-1.232148,54.257070,-0.161832,-7.003915,0.000000
21,958,-2.139617,53.251991,-0.161363,-5.055487,0.000000
665,1651,-1.035980,54.106961,-0.119364,-4.882029,0.000001
510,472,-4.650344,51.986631,-0.185215,-4.086068,0.000044
5,472,-4.650344,51.986631,-0.185215,-4.086068,0.000044
714,472,-4.650344,51.986631,-0.185215,-4.086068,0.000044
11,1569,-0.913489,54.234083,-0.098875,-3.933293,0.000084
12,1569,-0.913489,54.234083,-0.098875,-3.933293,0.000084
6,2874,-0.391412,54.669233,-0.071959,-3.866354,0.000111
770,611,-1.821421,56.630224,-0.070687,-1.748777,0.080329
