"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","-0.073","0.000","288.519","0.000","58.78%","-0.009","-0.156","0.000","0.000","0.000","-0.032","0.000","-0.020","0.000","-0.006","0.017","67.79%","0.000","63.96%","0.000","3.041","0.000","3.624","0.002","69.826","0.000","4.003","-0.009","-0.031","0.000","30.630","0.000","49.950","0.000","82.65%","0.000","16.277","77.95%","0.000","21.158","55.85%","0.000","36.038","32.10%","0.000","57.370","65.90%","0.000","29.928","44.70%","0.000","43.025","0.15","0.10","-0.055","0.001"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.055)","Delta Predictive Score (median=0.001)"
"↑ Above average | 💪 SG OTT, SG T2G | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.25 (0.031) [S↓ M↑ L↑ VL↓]",1,"18634","McNealy, Maverick",7,20,"1.44","0.995","-0.088","-0.243","291.514","-0.005","65.70%","0.018","0.545","-0.041","-0.112","-0.210","0.177","-0.341","0.480","0.361","-0.582","-28.265","66.99%","-0.009","66.22%","0.003","2.913","-0.038","4.472","0.040","69.915","0.000","4.315","-0.008","0.517","0.000","33.550","0.025","41.887","-0.037","84.80%","-0.180","17.012","82.90%","0.486","20.470","60.60%","0.504","38.876","38.40%","0.468","60.532","70.40%","0.414","30.346","48.60%","0.162","47.054","1.44","0.61","-0.076","0.002"
"↑ Above average | 💪 SG T2G, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.03 (-0.007) [S↑ M↑ L↓ VL↓]",2,"21891","Kitayama, Kurt",11,15,"0.82","0.972","1.761","0.234","298.577","0.000","62.40%","-0.004","1.261","0.080","0.801","0.083","-0.213","0.161","0.673","0.104","0.551","1.781","72.13%","0.000","69.44%","0.025","3.937","0.014","2.984","-0.040","67.778","-0.003","5.031","0.025","0.601","0.000","26.089","-0.004","38.500","-0.044","82.60%","0.828","16.413","79.50%","0.576","21.002","55.00%","0.180","38.772","31.20%","-0.072","62.304","67.80%","0.252","30.336","47.10%","0.936","38.528","0.82","0.56","-0.142","-0.000"
"💪 SG Putting, SG T2G | ✅ Strong course fit | ↓ Around green | For Course Setup - ΔPred↑ ΔTrend→ | BucketSig ↑ z=0.39 (0.051) [S↓ M↑ L↓ VL↓]",3,"22833","Echavarria, Nico",6,10,"0.72","0.974","2.000","0.219","282.453","0.000","61.84%","-0.015","1.017","1.116","0.672","1.497","0.127","-2.444","0.218","0.038","0.881","0.116","72.94%","0.015","78.85%","0.037","3.183","-0.039","2.146","-0.108","67.501","0.000","4.741","0.000","0.612","0.000","29.219","0.004","48.264","-0.005","78.70%","-1.368","17.891","77.40%","-0.378","22.498","63.50%","1.152","33.010","37.50%","0.522","57.350","71.60%","0.720","28.673","43.00%","-0.468","45.529","0.72","0.46","0.255","0.009"
"💪 SG Putting | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.47 (0.062) [S↓ M↑ L↑ VL↓]",4,"23323","MacIntyre, Robert",5,13,"0.73","0.976","0.783","0.123","290.386","0.000","59.34%","-0.003","-0.672","-0.151","-0.765","0.094","0.040","4.785","0.054","0.239","1.311","0.103","63.84%","0.000","72.47%","0.007","3.691","0.035","3.214","-0.027","68.690","0.000","4.577","-0.012","0.782","0.000","31.997","0.000","41.613","-0.020","86.40%","-0.900","20.140","79.80%","-0.378","22.437","65.70%","1.044","35.143","38.50%","1.008","55.566","70.10%","0.360","29.347","48.90%","0.666","39.377","0.73","0.38","0.111","0.003"
"💪 SG Putting | 👍 Good course fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend↑ | BucketSig ↑ z=1.98 (0.273) [S↑ M↑ L↑ VL↓]",5,"11049","Simpson, Webb",1,2,"0.75","0.944","-0.171","-0.991","288.595","0.000","56.22%","-0.021","-0.775","-3.765","0.136","-1.263","-0.450","-1.724","-0.462","-13.623","0.611","1.499","65.97%","-0.020","60.58%","-0.026","3.386","0.008","4.525","0.065","69.831","0.004","4.088","0.000","0.106","0.000","26.465","0.000","62.741","0.024","83.50%","-0.144","16.662","78.00%","0.162","21.815","56.20%","-0.378","38.985","32.00%","-0.036","69.843","70.00%","-0.036","30.274","47.80%","0.972","37.050","0.75","0.31","0.608","0.007"
"↑ Above average | 💪 SG T2G, Scoring: Approach <200 FW SG | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.14 (0.017) [S↑ M↑ L↑ VL↓]",6,"22085","Morikawa, Collin",19,28,"0.66","0.997","1.336","0.057","287.786","0.000","71.94%","0.009","1.286","0.006","0.920","0.000","-0.195","-0.027","0.561","0.022","-0.046","-0.281","73.03%","0.000","61.60%","0.000","3.593","0.029","3.054","0.014","68.286","0.000","5.281","0.025","1.260","0.000","27.860","-0.009","39.010","-0.026","88.80%","0.702","15.653","82.80%","0.918","18.431","64.90%","0.900","33.201","31.50%","0.324","57.456","72.90%","1.044","27.851","47.90%","0.792","42.905","0.66","0.51","-0.112","0.002"
"↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.44 (0.059) [S↑ M↑ L↑ VL↓]",7,"14578","Henley, Russell",15,26,"0.68","1.005","0.488","-0.190","276.318","-0.003","71.87%","0.000","0.149","-0.277","0.189","-0.287","-0.061","-0.455","0.021","-0.172","0.293","0.105","66.04%","-0.018","62.86%","-0.008","3.413","0.020","3.009","0.100","69.138","0.004","4.492","-0.014","1.186","0.000","30.666","0.023","40.411","-0.033","84.30%","1.782","12.777","83.30%","0.684","19.677","58.70%","1.386","35.080","36.30%","0.738","58.785","74.30%","0.360","29.450","52.40%","1.296","40.214","0.68","0.44","0.045","0.003"
"💪 SG T2G, SG OTT | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=1.22 (0.167) [S↑ M↑ L↑ VL↓]",8,"17365","Mitchell, Keith",5,18,"0.67","0.982","1.356","0.134","300.146","-0.003","54.98%","-0.025","1.106","0.038","0.456","0.141","0.052","0.017","0.598","-0.021","0.092","-0.607","73.98%","0.000","64.43%","0.016","3.668","0.026","3.030","-0.038","68.173","0.000","4.755","0.021","0.229","0.000","28.405","-0.004","41.128","-0.011","83.80%","-0.270","17.879","80.90%","0.558","21.938","58.30%","0.036","37.644","35.90%","0.054","55.999","67.70%","-0.126","32.009","50.20%","0.756","42.611","0.67","0.40","0.158","0.005"
