"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 59 | ⚠️ Success despite model prediction","12577","Woodland, Gary",1,60,"","0.431","","294.685","","47.09%","","0.130","","0.387","","-0.679","","0.422","","0.266","","59.28%","","59.36%","","4.366","","4.197","","70.671","","4.336","","30.004","","49.895","","83.00%","","-0.504","","18.153","","73.30%","","-0.900","","22.916","","52.30%","","-0.684","","40.761","","37.00%","","-0.396","","61.664","","65.70%","","-0.216","","31.279","","45.80%","","0.072","","44.586"
"✅ Beat model by 37 | ⚠️ Success despite model prediction","23602","Hojgaard, Nicolai",2,39,"","0.559","","295.322","","51.35%","","0.034","","0.346","","-0.223","","-0.089","","0.379","","60.53%","","64.88%","","4.095","","4.271","","70.754","","3.469","","30.320","","65.080","","92.30%","","0.846","","16.626","","79.60%","","-0.108","","21.380","","41.60%","","-1.548","","44.696","","39.80%","","1.926","","55.707","","75.20%","","1.116","","29.496","","55.30%","","1.080","","40.600"
"✅ Success aligned with model","16841","Lee, Min Woo",3,4,"","0.842","","299.702","","55.82%","","0.666","","-0.007","","-0.065","","0.738","","0.356","","64.79%","","65.58%","","3.909","","3.608","","70.793","","5.094","","28.479","","66.258","","88.10%","","0.504","","16.201","","82.90%","","0.288","","20.316","","44.20%","","-1.476","","47.656","","38.00%","","0.252","","60.628","","63.50%","","0.306","","30.080","","55.10%","","2.214","","42.845"
"✅ Beat model by 110 | ⚠️ Success despite model prediction","32457","Keefer, Johnny",3,113,"","-2.775","","295.314","","54.62%","","-1.756","","-1.145","","-1.105","","0.493","","-1.124","","60.76%","","50.93%","","3.130","","4.765","","74.333","","2.977","","35.095","","46.809","","95.10%","","1.152","","15.018","","81.40%","","0.108","","19.223","","60.70%","","-0.234","","40.027","","46.80%","","2.646","","56.407","","74.10%","","0.072","","31.378","","49.50%","","-0.918","","44.909"
"✅ Beat model by 27 | ⚠️ Success despite model prediction","25569","Stevens, Sam",5,32,"","-0.689","","299.048","","63.52%","","0.179","","0.049","","-0.437","","0.567","","-1.017","","68.82%","","51.94%","","3.531","","3.537","","72.190","","3.108","","30.001","","61.318","","88.30%","","0.612","","16.506","","84.50%","","-0.072","","21.435","","56.10%","","0.270","","35.012","","35.90%","","-1.080","","66.077","","70.80%","","0.846","","29.591","","42.60%","","0.414","","46.495"
"≈ Near model (-5) | ✅ Success aligned with model","29925","Yellamaraju, Sudarshan",6,1,"","2.296","","293.590","","66.75%","","1.198","","1.007","","-0.377","","0.568","","1.176","","70.59%","","62.09%","","4.471","","2.527","","69.370","","4.796","","27.459","","42.889","","83.30%","","-0.450","","19.613","","79.50%","","0.936","","18.002","","58.40%","","1.134","","33.262","","43.70%","","1.116","","52.208","","66.00%","","-0.378","","31.021","","49.10%","","0.846","","36.536"
"✅ Success aligned with model","19396","Knapp, Jake",6,7,"","0.922","","293.380","","57.05%","","-0.939","","-0.659","","-0.206","","-0.074","","1.931","","56.08%","","70.38%","","4.017","","4.000","","69.844","","4.162","","31.186","","56.654","","94.00%","","1.296","","14.492","","73.40%","","-0.414","","23.383","","64.00%","","1.404","","30.337","","37.30%","","0.090","","60.407","","61.10%","","-0.684","","33.216","","50.10%","","1.296","","39.961"
"✅ Beat model by 56 | ⚠️ Success despite model prediction","27774","Gotterup, Chris",6,62,"","-0.144","","301.336","","40.44%","","-0.300","","0.016","","-0.295","","-0.021","","0.015","","59.92%","","62.27%","","4.306","","3.571","","71.765","","3.586","","31.403","","60.237","","90.00%","","1.170","","14.126","","78.90%","","0.090","","20.357","","65.60%","","2.394","","29.117","","21.60%","","-0.432","","65.608","","70.20%","","0.486","","29.278","","48.70%","","-0.432","","47.631"
"✅ Beat model by 72 | ⚠️ Success despite model prediction","9771","Day, Jason",6,78,"","-1.305","","292.154","","55.60%","","-0.758","","-1.088","","0.435","","-0.105","","-0.561","","58.91%","","67.39%","","3.148","","4.272","","73.075","","2.534","","32.846","","51.617","","90.60%","","0.198","","15.071","","80.00%","","-0.432","","20.664","","68.10%","","0.738","","32.557","","43.60%","","0.828","","57.847","","70.60%","","-0.378","","31.105","","35.10%","","-1.800","","52.695"
"✅ Beat model by 64 | ⚠️ Success despite model prediction","23014","Theegala, Sahith",10,74,"","-0.782","","287.983","","54.05%","","-0.549","","-0.398","","-0.245","","0.094","","-0.274","","59.22%","","64.55%","","2.831","","4.970","","72.185","","3.269","","32.967","","49.796","","75.20%","","-1.548","","21.562","","82.60%","","0.018","","22.123","","52.70%","","-0.342","","36.084","","35.00%","","0.846","","51.427","","69.20%","","0.270","","28.967","","56.90%","","1.296","","42.653"
"✅ Beat model by 87 | ⚠️ Success despite model prediction","11082","Burgoon, Bronson",10,97,"","-0.139","","302.050","","50.79%","","-0.562","","-0.298","","-0.317","","0.053","","0.392","","60.39%","","62.65%","","3.697","","3.864","","70.452","","3.827","","27.861","","55.775","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
