course_num,dg_id,player_name,event_key,event_completed,year,finish_position,prior_starts
11,26651,"Young, Cameron",2022-11,2022-03-13,2022,71,0
11,26651,"Young, Cameron",2023-11,2023-03-12,2023,51,1
11,26651,"Young, Cameron",2024-11,2024-03-17,2024,54,2
11,26651,"Young, Cameron",2025-11,2025-03-16,2025,61,3
11,26651,"Young, Cameron",2026-11,2026-03-15,2026,1,4
11,17646,"Fitzpatrick, Matthew",2021-11,2021-03-14,2021,9,0
11,17646,"Fitzpatrick, Matt",2022-11,2022-03-13,2022,71,1
11,17646,"Fitzpatrick, Matt",2023-11,2023-03-12,2023,76,2
11,17646,"Fitzpatrick, Matt",2024-11,2024-03-17,2024,5,3
11,17646,"Fitzpatrick, Matt",2025-11,2025-03-16,2025,73,4
11,17646,"Fitzpatrick, Matt",2026-11,2026-03-15,2026,2,5
11,19895,"Schauffele, Xander",2021-11,2021-03-14,2021,72,0
11,19895,"Schauffele, Xander",2022-11,2022-03-13,2022,71,1
11,19895,"Schauffele, Xander",2023-11,2023-03-12,2023,19,2
11,19895,"Schauffele, Xander",2024-11,2024-03-17,2024,2,3
11,19895,"Schauffele, Xander",2025-11,2025-03-16,2025,72,4
11,19895,"Schauffele, Xander",2026-11,2026-03-15,2026,3,5
11,23323,"MacIntyre, Robert",2021-11,2021-03-14,2021,72,0
11,23323,"MacIntyre, Robert",2024-11,2024-03-17,2024,74,1
11,23323,"MacIntyre, Robert",2025-11,2025-03-16,2025,9,2
11,23323,"MacIntyre, Robert",2026-11,2026-03-15,2026,4,3
11,29925,"Yellamaraju, Sudarshan",2026-11,2026-03-15,2026,5,0
11,23950,"Aberg, Ludvig",2024-11,2024-03-17,2024,8,0
11,23950,"Aberg, Ludvig",2025-11,2025-03-16,2025,73,1
11,23950,"Aberg, Ludvig",2026-11,2026-03-15,2026,5,2
11,29433,"Bridgeman, Jacob",2025-11,2025-03-16,2025,50,0
11,29433,"Bridgeman, Jacob",2026-11,2026-03-15,2026,5,1
11,12294,"Fleetwood, Tommy",2021-11,2021-03-14,2021,72,0
11,12294,"Fleetwood, Tommy",2022-11,2022-03-13,2022,22,1
11,12294,"Fleetwood, Tommy",2023-11,2023-03-12,2023,27,2
11,12294,"Fleetwood, Tommy",2024-11,2024-03-17,2024,35,3
11,12294,"Fleetwood, Tommy",2025-11,2025-03-16,2025,14,4
11,12294,"Fleetwood, Tommy",2026-11,2026-03-15,2026,8,5
11,17511,"Straka, Sepp",2021-11,2021-03-14,2021,72,0
11,17511,"Straka, Sepp",2022-11,2022-03-13,2022,9,1
11,17511,"Straka, Sepp",2023-11,2023-03-12,2023,65,2
11,17511,"Straka, Sepp",2024-11,2024-03-17,2024,16,3
11,17511,"Straka, Sepp",2025-11,2025-03-16,2025,14,4
11,17511,"Straka, Sepp",2026-11,2026-03-15,2026,8,5
11,14139,"Thomas, Justin",2021-11,2021-03-14,2021,1,0
11,14139,"Thomas, Justin",2022-11,2022-03-13,2022,33,1
11,14139,"Thomas, Justin",2023-11,2023-03-12,2023,60,2
11,14139,"Thomas, Justin",2024-11,2024-03-17,2024,74,3
11,14139,"Thomas, Justin",2025-11,2025-03-16,2025,33,4
11,14139,"Thomas, Justin",2026-11,2026-03-15,2026,8,5
11,8825,"Harman, Brian",2021-11,2021-03-14,2021,3,0
11,8825,"Harman, Brian",2022-11,2022-03-13,2022,63,1
11,8825,"Harman, Brian",2023-11,2023-03-12,2023,44,2
11,8825,"Harman, Brian",2024-11,2024-03-17,2024,2,3
11,8825,"Harman, Brian",2025-11,2025-03-16,2025,73,4
11,8825,"Harman, Brian",2026-11,2026-03-15,2026,11,5
11,16283,"Rodgers, Patrick",2021-11,2021-03-14,2021,65,0
11,16283,"Rodgers, Patrick",2022-11,2022-03-13,2022,71,1
11,16283,"Rodgers, Patrick",2023-11,2023-03-12,2023,76,2
11,16283,"Rodgers, Patrick",2024-11,2024-03-17,2024,74,3
11,16283,"Rodgers, Patrick",2025-11,2025-03-16,2025,73,4
11,16283,"Rodgers, Patrick",2026-11,2026-03-15,2026,11,5
11,17576,"Conners, Corey",2021-11,2021-03-14,2021,7,0
11,17576,"Conners, Corey",2022-11,2022-03-13,2022,26,1
11,17576,"Conners, Corey",2023-11,2023-03-12,2023,76,2
11,17576,"Conners, Corey",2024-11,2024-03-17,2024,13,3
11,17576,"Conners, Corey",2025-11,2025-03-16,2025,6,4
11,17576,"Conners, Corey",2026-11,2026-03-15,2026,13,5
11,6093,"Rose, Justin",2022-11,2022-03-13,2022,71,0
11,6093,"Rose, Justin",2023-11,2023-03-12,2023,6,1
11,6093,"Rose, Justin",2024-11,2024-03-17,2024,74,2
11,6093,"Rose, Justin",2025-11,2025-03-16,2025,73,3
11,6093,"Rose, Justin",2026-11,2026-03-15,2026,13,4
11,18841,"Hovland, Viktor",2021-11,2021-03-14,2021,72,0
11,18841,"Hovland, Viktor",2022-11,2022-03-13,2022,9,1
11,18841,"Hovland, Viktor",2023-11,2023-03-12,2023,3,2
11,18841,"Hovland, Viktor",2024-11,2024-03-17,2024,62,3
11,18841,"Hovland, Viktor",2025-11,2025-03-16,2025,73,4
11,18841,"Hovland, Viktor",2026-11,2026-03-15,2026,13,5
11,16243,"Koepka, Brooks",2022-11,2022-03-13,2022,71,0
11,16243,"Koepka, Brooks",2026-11,2026-03-15,2026,13,1
11,26096,"Bhatia, Akshay",2024-11,2024-03-17,2024,74,0
11,26096,"Bhatia, Akshay",2025-11,2025-03-16,2025,3,1
11,26096,"Bhatia, Akshay",2026-11,2026-03-15,2026,13,2
11,14578,"Henley, Russell",2021-11,2021-03-14,2021,72,0
11,14578,"Henley, Russell",2022-11,2022-03-13,2022,13,1
11,14578,"Henley, Russell",2023-11,2023-03-12,2023,19,2
11,14578,"Henley, Russell",2024-11,2024-03-17,2024,74,3
11,14578,"Henley, Russell",2025-11,2025-03-16,2025,30,4
11,14578,"Henley, Russell",2026-11,2026-03-15,2026,13,5
11,22760,"Hisatsune, Ryo",2024-11,2024-03-17,2024,74,0
11,22760,"Hisatsune, Ryo",2025-11,2025-03-16,2025,73,1
11,22760,"Hisatsune, Ryo",2026-11,2026-03-15,2026,13,2
11,19483,"Burns, Sam",2021-11,2021-03-14,2021,72,0
11,19483,"Burns, Sam",2022-11,2022-03-13,2022,26,1
11,19483,"Burns, Sam",2023-11,2023-03-12,2023,35,2
11,19483,"Burns, Sam",2024-11,2024-03-17,2024,45,3
11,19483,"Burns, Sam",2025-11,2025-03-16,2025,73,4
11,19483,"Burns, Sam",2026-11,2026-03-15,2026,13,5
11,22985,"Smotherman, Austin",2023-11,2023-03-12,2023,35,0
11,22985,"Smotherman, Austin",2026-11,2026-03-15,2026,13,1
11,26649,"Thorbjornsen, Michael",2026-11,2026-03-15,2026,22,0
11,18417,"Scheffler, Scottie",2021-11,2021-03-14,2021,72,0
11,18417,"Scheffler, Scottie",2022-11,2022-03-13,2022,55,1
11,18417,"Scheffler, Scottie",2023-11,2023-03-12,2023,1,2
11,18417,"Scheffler, Scottie",2024-11,2024-03-17,2024,1,3
11,18417,"Scheffler, Scottie",2025-11,2025-03-16,2025,20,4
11,18417,"Scheffler, Scottie",2026-11,2026-03-15,2026,22,5
11,18474,"Smalley, Alex",2023-11,2023-03-12,2023,65,0
11,18474,"Smalley, Alex",2024-11,2024-03-17,2024,74,1
11,18474,"Smalley, Alex",2025-11,2025-03-16,2025,14,2
11,18474,"Smalley, Alex",2026-11,2026-03-15,2026,24,3
11,29770,"Mouw, William",2026-11,2026-03-15,2026,24,0
11,17536,"Spaun, J.J.",2022-11,2022-03-13,2022,71,0
11,17536,"Spaun, J.J.",2023-11,2023-03-12,2023,76,1
11,17536,"Spaun, J.J.",2024-11,2024-03-17,2024,64,2
11,17536,"Spaun, J.J.",2025-11,2025-03-16,2025,2,3
11,17536,"Spaun, J.J.",2026-11,2026-03-15,2026,24,4
11,12423,"Kirk, Chris",2021-11,2021-03-14,2021,48,0
11,12423,"Kirk, Chris",2022-11,2022-03-13,2022,71,1
11,12423,"Kirk, Chris",2023-11,2023-03-12,2023,76,2
11,12423,"Kirk, Chris",2024-11,2024-03-17,2024,26,3
11,12423,"Kirk, Chris",2025-11,2025-03-16,2025,42,4
11,12423,"Kirk, Chris",2026-11,2026-03-15,2026,27,5
11,23602,"Hojgaard, Nicolai",2024-11,2024-03-17,2024,74,0
11,23602,"Hojgaard, Nicolai",2025-11,2025-03-16,2025,73,1
11,23602,"Hojgaard, Nicolai",2026-11,2026-03-15,2026,27,2
11,13562,"Matsuyama, Hideki",2021-11,2021-03-14,2021,72,0
11,13562,"Matsuyama, Hideki",2023-11,2023-03-12,2023,5,1
11,13562,"Matsuyama, Hideki",2024-11,2024-03-17,2024,6,2
11,13562,"Matsuyama, Hideki",2025-11,2025-03-16,2025,73,3
11,13562,"Matsuyama, Hideki",2026-11,2026-03-15,2026,27,4
11,19840,"Ramey, Chad",2023-11,2023-03-12,2023,27,0
11,19840,"Ramey, Chad",2024-11,2024-03-17,2024,74,1
11,19840,"Ramey, Chad",2025-11,2025-03-16,2025,73,2
11,19840,"Ramey, Chad",2026-11,2026-03-15,2026,27,3
11,29767,"Gerard, Ryan",2025-11,2025-03-16,2025,42,0
11,29767,"Gerard, Ryan",2026-11,2026-03-15,2026,27,1
11,14502,"Cauley, Bud",2025-11,2025-03-16,2025,6,0
11,14502,"Cauley, Bud",2026-11,2026-03-15,2026,32,1
11,21756,"Cole, Eric",2023-11,2023-03-12,2023,27,0
11,21756,"Cole, Eric",2024-11,2024-03-17,2024,74,1
11,21756,"Cole, Eric",2025-11,2025-03-16,2025,73,2
11,21756,"Cole, Eric",2026-11,2026-03-15,2026,32,3
11,16841,"Lee, Min Woo",2023-11,2023-03-12,2023,6,0
11,16841,"Lee, Min Woo",2024-11,2024-03-17,2024,54,1
11,16841,"Lee, Min Woo",2025-11,2025-03-16,2025,20,2
11,16841,"Lee, Min Woo",2026-11,2026-03-15,2026,32,3
11,18634,"McNealy, Maverick",2021-11,2021-03-14,2021,72,0
11,18634,"McNealy, Maverick",2022-11,2022-03-13,2022,46,1
11,18634,"McNealy, Maverick",2023-11,2023-03-12,2023,60,2
11,18634,"McNealy, Maverick",2024-11,2024-03-17,2024,9,3
11,18634,"McNealy, Maverick",2025-11,2025-03-16,2025,73,4
11,18634,"McNealy, Maverick",2026-11,2026-03-15,2026,32,5
11,10419,"Noren, Alex",2021-11,2021-03-14,2021,72,0
11,10419,"Noren, Alex",2022-11,2022-03-13,2022,26,1
11,10419,"Noren, Alex",2023-11,2023-03-12,2023,76,2
11,10419,"Noren, Alex",2024-11,2024-03-17,2024,19,3
11,10419,"Noren, Alex",2026-11,2026-03-15,2026,32,4
11,14636,"Spieth, Jordan",2021-11,2021-03-14,2021,48,0
11,14636,"Spieth, Jordan",2022-11,2022-03-13,2022,71,1
11,14636,"Spieth, Jordan",2023-11,2023-03-12,2023,19,2
11,14636,"Spieth, Jordan",2024-11,2024-03-17,2024,74,3
11,14636,"Spieth, Jordan",2025-11,2025-03-16,2025,59,4
11,14636,"Spieth, Jordan",2026-11,2026-03-15,2026,32,5
11,23014,"Theegala, Sahith",2022-11,2022-03-13,2022,71,0
11,23014,"Theegala, Sahith",2023-11,2023-03-12,2023,74,1
11,23014,"Theegala, Sahith",2024-11,2024-03-17,2024,9,2
11,23014,"Theegala, Sahith",2025-11,2025-03-16,2025,52,3
11,23014,"Theegala, Sahith",2026-11,2026-03-15,2026,32,4
11,14704,"Putnam, Andrew",2021-11,2021-03-14,2021,72,0
11,14704,"Putnam, Andrew",2022-11,2022-03-13,2022,71,1
11,14704,"Putnam, Andrew",2023-11,2023-03-12,2023,76,2
11,14704,"Putnam, Andrew",2024-11,2024-03-17,2024,53,3
11,14704,"Putnam, Andrew",2025-11,2025-03-16,2025,73,4
11,14704,"Putnam, Andrew",2026-11,2026-03-15,2026,32,5
11,15466,"Cantlay, Patrick",2021-11,2021-03-14,2021,72,0
11,15466,"Cantlay, Patrick",2022-11,2022-03-13,2022,71,1
11,15466,"Cantlay, Patrick",2023-11,2023-03-12,2023,19,2
11,15466,"Cantlay, Patrick",2024-11,2024-03-17,2024,68,3
11,15466,"Cantlay, Patrick",2025-11,2025-03-16,2025,12,4
11,15466,"Cantlay, Patrick",2026-11,2026-03-15,2026,32,5
11,17538,"Homa, Max",2021-11,2021-03-14,2021,72,0
11,17538,"Homa, Max",2022-11,2022-03-13,2022,13,1
11,17538,"Homa, Max",2023-11,2023-03-12,2023,6,2
11,17538,"Homa, Max",2024-11,2024-03-17,2024,64,3
11,17538,"Homa, Max",2025-11,2025-03-16,2025,73,4
11,17538,"Homa, Max",2026-11,2026-03-15,2026,32,5
11,12965,"Fowler, Rickie",2021-11,2021-03-14,2021,72,0
11,12965,"Fowler, Rickie",2023-11,2023-03-12,2023,13,1
11,12965,"Fowler, Rickie",2024-11,2024-03-17,2024,68,2
11,12965,"Fowler, Rickie",2025-11,2025-03-16,2025,71,3
11,12965,"Fowler, Rickie",2026-11,2026-03-15,2026,42,4
11,13126,"Taylor, Nick",2021-11,2021-03-14,2021,48,0
11,13126,"Taylor, Nick",2023-11,2023-03-12,2023,76,1
11,13126,"Taylor, Nick",2024-11,2024-03-17,2024,26,2
11,13126,"Taylor, Nick",2025-11,2025-03-16,2025,73,3
11,13126,"Taylor, Nick",2026-11,2026-03-15,2026,42,4
11,23604,"Clark, Wyndham",2021-11,2021-03-14,2021,72,0
11,23604,"Clark, Wyndham",2022-11,2022-03-13,2022,71,1
11,23604,"Clark, Wyndham",2023-11,2023-03-12,2023,27,2
11,23604,"Clark, Wyndham",2024-11,2024-03-17,2024,2,3
11,23604,"Clark, Wyndham",2026-11,2026-03-15,2026,42,4
11,28469,"Highsmith, Joe",2025-11,2025-03-16,2025,20,0
11,28469,"Highsmith, Joe",2026-11,2026-03-15,2026,42,1
11,20722,"Schmid, Matti",2024-11,2024-03-17,2024,26,0
11,20722,"Schmid, Matti",2025-11,2025-03-16,2025,73,1
11,20722,"Schmid, Matti",2026-11,2026-03-15,2026,46,2
11,10091,"McIlroy, Rory",2021-11,2021-03-14,2021,72,0
11,10091,"McIlroy, Rory",2022-11,2022-03-13,2022,33,1
11,10091,"McIlroy, Rory",2023-11,2023-03-12,2023,76,2
11,10091,"McIlroy, Rory",2024-11,2024-03-17,2024,19,3
