course_num,source_course_num,dg_id,player_name,event_key,event_completed,year,finish_position,prior_starts
928,11,26651,"Young, Cameron",2022-11,2022-03-13,2022,71,0
928,12,26651,"Young, Cameron",2022-12,2022-04-17,2022,3,1
928,11,26651,"Young, Cameron",2023-11,2023-03-12,2023,51,2
928,12,26651,"Young, Cameron",2023-12,2023-04-16,2023,51,3
928,11,26651,"Young, Cameron",2024-11,2024-03-17,2024,54,4
928,665,26651,"Young, Cameron",2024-475,2024-03-24,2024,2,5
928,12,26651,"Young, Cameron",2024-12,2024-04-21,2024,62,6
928,11,26651,"Young, Cameron",2025-11,2025-03-16,2025,61,7
928,665,26651,"Young, Cameron",2025-475,2025-03-23,2025,79,8
928,12,26651,"Young, Cameron",2025-12,2025-04-20,2025,54,9
928,11,26651,"Young, Cameron",2026-11,2026-03-15,2026,1,10
928,11,17646,"Fitzpatrick, Matthew",2021-11,2021-03-14,2021,9,0
928,12,17646,"Fitzpatrick, Matt",2021-12,2021-04-18,2021,4,1
928,11,17646,"Fitzpatrick, Matt",2022-11,2022-03-13,2022,71,2
928,665,17646,"Fitzpatrick, Matt",2022-475,2022-03-20,2022,5,3
928,12,17646,"Fitzpatrick, Matt",2022-12,2022-04-17,2022,71,4
928,11,17646,"Fitzpatrick, Matt",2023-11,2023-03-12,2023,76,5
928,665,17646,"Fitzpatrick, Matt",2023-475,2023-03-19,2023,72,6
928,12,17646,"Fitzpatrick, Matt",2023-12,2023-04-16,2023,1,7
928,11,17646,"Fitzpatrick, Matt",2024-11,2024-03-17,2024,5,8
928,12,17646,"Fitzpatrick, Matt",2024-12,2024-04-21,2024,28,9
928,11,17646,"Fitzpatrick, Matt",2025-11,2025-03-16,2025,73,10
928,12,17646,"Fitzpatrick, Matt",2025-12,2025-04-20,2025,38,11
928,11,17646,"Fitzpatrick, Matt",2026-11,2026-03-15,2026,2,12
928,665,17646,"Fitzpatrick, Matt",2026-475,2026-03-22,2026,1,13
928,11,19895,"Schauffele, Xander",2021-11,2021-03-14,2021,72,0
928,11,19895,"Schauffele, Xander",2022-11,2022-03-13,2022,71,1
928,665,19895,"Schauffele, Xander",2022-475,2022-03-20,2022,12,2
928,11,19895,"Schauffele, Xander",2023-11,2023-03-12,2023,19,3
928,12,19895,"Schauffele, Xander",2023-12,2023-04-16,2023,4,4
928,11,19895,"Schauffele, Xander",2024-11,2024-03-17,2024,2,5
928,665,19895,"Schauffele, Xander",2024-475,2024-03-24,2024,5,6
928,12,19895,"Schauffele, Xander",2024-12,2024-04-21,2024,18,7
928,11,19895,"Schauffele, Xander",2025-11,2025-03-16,2025,72,8
928,665,19895,"Schauffele, Xander",2025-475,2025-03-23,2025,12,9
928,12,19895,"Schauffele, Xander",2025-12,2025-04-20,2025,18,10
928,11,19895,"Schauffele, Xander",2026-11,2026-03-15,2026,3,11
928,665,19895,"Schauffele, Xander",2026-475,2026-03-22,2026,4,12
928,11,23323,"MacIntyre, Robert",2021-11,2021-03-14,2021,72,0
928,12,23323,"MacIntyre, Robert",2021-12,2021-04-18,2021,59,1
928,11,23323,"MacIntyre, Robert",2024-11,2024-03-17,2024,74,2
928,665,23323,"MacIntyre, Robert",2024-475,2024-03-24,2024,33,3
928,21,23323,"MacIntyre, Robert",2024-21,2024-05-26,2024,71,4
