course_num,n,slope,intercept,r,t_stat,p_value
11,2262,-1.200080,57.391757,-0.178477,-8.623149,0.000000
12,2005,-1.224319,56.146245,-0.181721,-8.270589,0.000000
714,1386,-2.155876,57.291976,-0.241215,-9.246760,0.000000
928,2881,-0.789953,56.469015,-0.147910,-8.024585,0.000000
665,2881,-0.789953,56.469015,-0.147910,-8.024585,0.000000
897,2314,-1.252115,58.060428,-0.160519,-7.819675,0.000000
510,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
5,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
6,1163,-2.032338,53.505520,-0.179886,-6.230994,0.000000
500,531,-6.445832,57.305549,-0.250162,-5.942675,0.000000
9,531,-6.445832,57.305549,-0.250162,-5.942675,0.000000
21,1709,-1.242807,54.174869,-0.138747,-5.788417,0.000000
770,2040,-0.951421,57.650123,-0.097294,-4.413192,0.000010
14,546,-2.824597,55.452243,-0.101604,-2.382117,0.017213
