"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","-0.343","-0.024","288.341","0.000","54.98%","-0.006","-0.160","-0.043","-0.080","-0.014","-0.080","0.030","-0.021","0.000","-0.046","-0.045","60.10%","-0.015","62.88%","0.000","3.141","-0.003","3.912","0.004","71.503","0.000","3.480","-0.016","0.030","0.000","31.971","0.000","56.170","0.000","84.10%","0.000","17.096","79.00%","0.000","21.539","56.30%","-0.180","37.026","34.50%","0.000","61.664","67.00%","-0.036","31.180","46.60%","0.000","43.802","0.07","0.05","0.081","-0.010"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=0.081)","Delta Predictive Score (median=-0.010)"
"💪 SG Putting, SG T2G | ✅ Strong course fit | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.31 (0.120) [S↑ M↑ L↑ VL↑]",1,"29925","Yellamaraju, Sudarshan",1,1,"0.87","0.888","2.296","0.323","293.590","-0.003","66.75%","0.008","1.198","0.442","1.007","0.316","-0.377","-0.020","0.568","0.125","1.176","0.250","70.59%","-0.004","62.09%","0.006","4.471","0.046","2.527","-0.061","69.370","0.000","4.796","0.013","1.063","0.000","27.459","-0.004","42.889","-0.038","83.30%","-0.450","19.613","79.50%","0.936","18.002","58.40%","1.134","33.262","43.70%","1.116","52.208","66.00%","-0.378","31.021","49.10%","0.846","36.536","0.87","0.43","0.168","0.087"
"💪 SG T2G, SG Around Green | ✅ Strong course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.08 (0.042) [S↓ M↓ L↓ VL↑]",2,"18586","Smith, Jordan",1,1,"0.67","0.933","1.424","0.236","289.609","-0.003","59.43%","0.000","1.491","0.174","0.311","0.040","0.340","-0.560","0.840","0.107","0.058","-0.074","70.14%","0.000","68.10%","0.013","3.184","-0.021","2.861","0.000","69.548","0.000","4.207","0.000","0.493","0.000","31.117","-0.005","59.947","-0.011","82.90%","-0.018","17.943","79.00%","-0.810","24.645","52.60%","0.828","36.292","32.70%","0.252","66.995","71.10%","0.108","31.097","63.60%","1.152","43.216","0.67","0.41","0.120","-0.004"
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.81 (0.286) [S↓ M↑ L↓ VL↑]",3,"15980","Lipsky, David",6,13,"0.71","0.946","1.397","0.196","277.920","0.000","54.46%","-0.025","0.893","0.322","0.535","0.475","0.737","0.100","-0.379","0.008","0.591","-0.082","60.47%","-0.008","77.80%","0.029","3.204","0.003","2.704","-0.036","69.529","0.000","3.960","-0.014","0.221","0.000","29.509","0.000","58.683","0.023","94.60%","0.828","18.113","76.10%","0.126","21.469","61.20%","-0.810","47.331","30.50%","-0.198","71.640","73.10%","1.116","30.065","41.30%","-0.864","44.033","0.71","0.33","0.098","0.055"
"💪 SG OTT, SG T2G | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.92 (0.321) [S↓ M↓ L↑ VL↑]",4,"16841","Lee, Min Woo",5,10,"0.65","0.980","0.842","-0.057","299.702","0.000","55.82%","-0.013","0.666","-0.066","-0.007","-0.066","-0.065","-0.297","0.738","0.047","0.356","-0.053","64.79%","-0.003","65.58%","-0.005","3.909","0.025","3.608","-0.003","70.793","0.004","5.094","0.000","0.657","0.000","28.479","-0.009","66.258","0.034","88.10%","0.504","16.201","82.90%","0.288","20.316","44.20%","-1.476","47.656","38.00%","0.252","60.628","63.50%","0.306","30.080","55.10%","2.214","42.845","0.65","0.38","0.870","0.125"
"💪 SG Around Green, SG T2G | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite strong baseline fit | ↓ Approach | For Course Setup - ΔPred↓ ΔTrend→ | BucketSig ↓ z=-1.09 (-0.348) [S↑ M↓ L↓ VL↑]",5,"18417","Scheffler, Scottie",56,74,"0.61","1.131","1.640","0.000","295.814","0.000","57.53%","0.000","1.234","0.000","0.055","-0.410","0.857","0.114","0.322","-0.063","0.492","0.010","62.61%","-0.019","68.58%","0.007","3.673","-0.021","2.646","-0.033","69.955","0.000","4.542","-0.015","0.228","0.000","31.212","0.007","80.190","0.046","98.50%","2.070","13.388","77.00%","-1.044","23.220","44.70%","-1.548","47.916","38.70%","-0.072","67.166","75.50%","1.152","28.259","42.90%","-0.954","48.928","0.61","0.43","-0.787","-0.110"
"💪 SG Around Green | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.99 (0.344) [S↑ M↑ L↑ VL↓]",6,"7399","Glover, Lucas",13,17,"0.82","0.889","-0.829","0.031","276.437","0.000","64.71%","-0.012","-0.021","-0.142","-0.197","4.033","0.403","22.231","-0.227","-0.040","-0.971","0.078","55.06%","-0.019","66.28%","0.003","2.743","-0.037","4.275","0.004","72.387","0.000","2.994","-0.026","0.107","0.000","32.507","0.016","68.094","-0.024","93.50%","4.518","9.689","72.80%","-0.324","22.460","48.00%","-0.216","36.983","36.10%","0.576","70.353","63.00%","-0.594","30.372","37.80%","0.360","46.048","0.49","0.20","0.945","0.097"
"💪 SG Putting | 👍 Good course fit | ↑ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.47 (-0.141) [S↑ M↓ L↓ VL↓]",7,"19396","Knapp, Jake",7,12,"0.49","1.036","0.922","-0.102","293.380","-0.005","57.05%","-0.004","-0.939","-0.704","-0.659","35.235","-0.206","-0.835","-0.074","-0.259","1.931","0.122","56.08%","-0.029","70.38%","0.003","4.017","-0.020","4.000","0.029","69.844","0.004","4.162","-0.026","0.768","0.000","31.186","0.000","56.654","0.030","94.00%","1.296","14.492","73.40%","-0.414","23.383","64.00%","1.404","30.337","37.30%","0.090","60.407","61.10%","-0.684","33.216","50.10%","1.296","39.961","0.49","0.33","-0.295","-0.051"
"💪 SG T2G, Approach <100 GIR | 👍 Good course fit | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.54 (0.193) [S↑ M↑ L→ VL↑]",8,"21943","Lebioda, Hank",2,3,"0.51","0.939","0.774","-0.472","282.825","-0.005","56.74%","0.000","1.123","1.493","0.934","1.101","-0.101","-0.091","0.291","0.110","-0.400","0.023","68.18%","0.005","55.39%","-0.005","3.437","0.062","3.099","0.011","70.235","0.000","3.705","0.019","0.240","0.000","30.482","-0.018","48.847","-0.027","98.50%","2.286","13.902","75.40%","-0.684","24.598","57.00%","0.774","37.378","34.10%","-1.080","58.401","75.50%","0.576","32.235","49.90%","0.756","44.067","0.51","0.25","0.598","0.001"
