"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Success aligned with model | ✅ Rough Proximity beat model (-1.82) | ⚠️ Driving Distance missed model (-0.97) | ✅ Fairway Proximity beat model (-0.94) | ✅ SG T2G beat model (0.337) | Δ Approach ↑ curr under 150 rgh","26651","Young, Cameron",1,3,"3.663","3.480","293.800","294.769","60.73%","61.07%","2.460","2.123","1.770","1.587","-0.078","-0.139","0.767","0.675","1.203","1.357","70.85%","70.46%","85.00%","85.79%","4.500","4.502","3.000","3.121","68.750","68.878","29.353","30.292","62.314","64.138","90.06%","86.50%","-0.012","0.738","16.486","14.119","92.51%","83.10%","0.157","-0.054","17.577","21.942","77.09%","68.10%","0.206","2.880","26.863","25.193","56.70%","43.20%","0.103","1.044","85.259","61.544","76.17%","66.80%","0.065","0.414","28.491","28.777","40.50%","43.90%","0.009","-0.144","49.290","47.091"
"≈ Near model (+3) | ✅ Success aligned with model | ⚠️ Driving Distance missed model (-1.34) | ✅ Rough Proximity beat model (-0.66) | ⚠️ Fairway Proximity missed model (0.49) | ⚠️ SG T2G missed model (-0.187) | Δ Approach ↑ curr 50 100 fw","17646","Fitzpatrick, Matt",2,5,"3.413","3.543","290.600","291.935","76.80%","77.07%","3.043","3.230","1.144","1.309","1.049","0.899","0.849","1.022","0.371","0.313","65.30%","67.82%","69.05%","67.59%","3.500","3.730","4.000","3.755","69.000","68.815","30.344","29.849","65.971","66.627","100.00%","97.60%","0.229","2.376","8.496","11.425","76.31%","80.40%","0.021","-0.162","21.160","22.345","42.80%","65.60%","-0.040","0.306","85.277","43.976","43.62%","39.70%","0.295","0.774","24.379","52.872","66.82%","68.80%","0.012","0.666","33.494","29.183","39.30%","57.30%","0.023","1.278","43.770","42.420"
"≈ Near model (+7) | ✅ Success aligned with model | ✅ Rough Proximity beat model (-14.78) | ⚠️ Driving Distance missed model (-0.87) | ✅ SG Approach beat model (0.464) | ✅ SG T2G beat model (0.412) | Δ Approach ↑ curr under 150 rgh","19895","Schauffele, Xander",3,10,"3.163","2.844","292.250","293.118","64.30%","63.56%","2.497","2.086","1.870","1.406","0.108","0.197","0.519","0.482","0.666","0.758","73.60%","72.98%","65.85%","63.68%","4.750","4.439","4.250","4.149","69.250","69.514","27.511","27.885","42.821","57.601","63.70%","77.30%","-0.129","0.198","20.130","16.034","79.19%","74.70%","0.043","0.180","19.147","19.719","87.30%","65.10%","0.261","0.918","34.314","33.906","20.96%","39.00%","0.020","0.810","38.599","54.917","92.60%","74.20%","0.126","0.684","25.011","29.715","73.38%","53.40%","0.190","0.666","33.619","45.522"
"✅ Beat model by 48 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-12.10) | ⚠️ Driving Distance missed model (-0.72) | ⚠️ SG Total missed model (-0.402) | ⚠️ SG T2G missed model (-0.289) | Δ Approach ↓ curr 50 100 fw","23323","MacIntyre, Robert",4,52,"2.913","3.315","291.350","292.073","69.65%","71.35%","1.766","2.055","0.365","0.552","0.487","0.622","0.914","0.881","1.147","1.260","68.08%","68.62%","67.18%","70.39%","3.500","3.928","3.000","3.185","69.500","69.043","34.595","34.548","36.545","48.650","61.90%","61.90%","-0.369","-3.528","37.930","24.694","84.30%","78.30%","0.084","0.288","18.994","21.978","71.00%","55.80%","0.049","0.540","20.756","30.655","56.25%","34.80%","-0.022","-1.440","52.900","54.733","74.88%","66.00%","-0.046","-0.522","33.596","34.200","47.21%","41.30%","-0.115","-1.674","53.068","50.983"
"≈ Near model (-4) | ✅ Success aligned with model | ✅ Rough Proximity beat model (-17.51) | ⚠️ Driving Distance missed model (-1.46) | ⚠️ Fairway Proximity missed model (1.11) | ✅ SG Approach beat model (0.274) | Δ Approach ↑ prev 50 100 fw","29433","Bridgeman, Jacob",5,1,"2.663","2.510","287.175","288.630","64.30%","65.41%","0.226","0.095","-0.860","-1.134","0.320","0.364","0.765","0.865","2.438","2.415","61.10%","59.91%","68.18%","62.36%","4.500","4.700","4.750","5.140","69.750","69.848","35.125","34.012","47.413","64.922","64.44%","90.20%","-0.328","1.386","18.187","13.610","85.15%","85.80%","0.020","0.774","20.697","18.630","30.90%","57.30%","0.067","1.782","30.761","34.505","43.46%","47.30%","0.022","0.738","76.270","53.393","70.75%","74.50%","0.035","1.116","34.210","28.648","22.79%","31.90%","-0.161","-1.710","69.536","55.608"
"≈ Near model (-3) | ✅ Success aligned with model | ✅ Rough Proximity beat model (-2.15) | ✅ Fairway Proximity beat model (-1.48) | ✅ SG Total beat model (1.026) | ✅ SG T2G beat model (0.740) | Δ Approach ↑ prev over 150 rgh","23950","Aberg, Ludvig",5,2,"2.663","1.637","302.500","302.667","60.70%","58.17%","2.308","1.568","0.914","0.400","0.369","0.422","1.025","0.747","0.355","0.068","68.05%","65.36%","75.88%","72.83%","5.250","4.615","3.000","3.107","69.750","70.721","27.541","29.024","63.524","65.673","100.00%","94.20%","-0.096","0.540","20.198","16.595","95.92%","81.40%","0.203","1.206","13.345","19.001","32.54%","65.40%","0.052","0.882","29.999","33.479","48.60%","47.70%","0.065","1.926","70.288","58.168","53.63%","62.10%","-0.133","-0.486","34.820","31.351","71.20%","60.20%","0.182","1.296","29.553","37.328"
"≈ Near model (+6) | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (2.85) | ⚠️ SG Total missed model (-0.564) | ⚠️ SG T2G missed model (-0.405) | ⚠️ SG Approach missed model (-0.292) | Δ Approach ↑ prev 100 150 fw","29925","Yellamaraju, Sudarshan",5,11,"2.663","3.228","290.975","291.220","66.07%","65.81%","1.288","1.693","1.127","1.419","-0.474","-0.429","0.635","0.703","1.375","1.535","65.27%","67.44%","61.65%","62.44%","4.750","4.835","2.000","1.815","69.750","69.130","27.040","27.221","40.333","37.481","53.50%","83.20%","0.094","-0.486","17.676","19.860","75.81%","79.60%","-0.013","0.936","19.981","18.194","55.94%","58.70%","0.178","1.152","22.482","33.594","39.60%","43.30%","0.137","1.134","40.437","52.221","81.07%","65.30%","0.103","-0.432","24.811","31.225","74.34%","50.40%","0.161","0.846","35.450","35.651"
"✅ Success aligned with model | ✅ Rough Proximity beat model (-9.22) | ⚠️ Driving Distance missed model (-0.92) | ⚠️ Fairway Proximity missed model (0.50) | ✅ SG Total beat model (0.454) | Δ Approach ↑ curr over 200 fw","17511","Straka, Sepp",8,9,"2.413","1.959","285.675","286.593","58.95%","58.79%","1.772","1.635","0.808","0.742","0.627","0.583","0.337","0.310","0.641","0.324","61.13%","62.75%","81.73%","79.54%","5.250","5.071","3.250","3.333","70.000","70.399","27.105","26.609","97.465","106.687","82.60%","89.00%","0.107","1.926","12.796","13.656","81.24%","81.60%","0.082","0.378","18.675","21.330","52.60%","58.60%","0.032","1.080","50.934","35.926","45.24%","37.60%","-0.022","0.090","98.269","70.507","62.99%","71.50%","-0.009","0.810","28.629","27.116","60.32%","56.30%","0.171","1.944","25.210","38.999"
"≈ Near model (+8) | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (2.31) | ⚠️ Driving Distance missed model (-1.13) | ✅ Fairway Proximity beat model (-0.37) | ✅ SG Putting beat model (0.153) | Δ Approach ↑ prev 50 100 fw","12294","Fleetwood, Tommy",8,16,"2.413","2.406","284.175","285.305","75.00%","76.52%","3.098","3.243","1.275","1.343","0.874","0.951","0.949","0.949","-0.684","-0.838","73.60%","74.65%","67.55%","68.16%","4.250","4.105","4.250","4.057","70.000","69.952","26.991","27.358","143.561","141.253","90.67%","96.00%","-0.063","1.674","20.499","13.463","84.57%","84.40%","0.032","0.360","17.844","19.739","49.97%","63.00%","-0.072","0.846","28.237","31.116","30.30%","19.90%","-0.079","-1.044","141.636","71.129","79.33%","63.70%","0.048","0.234","30.235","33.071","72.34%","53.20%","0.341","0.378","19.156","39.032"
"✅ Beat model by 32 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (2.18) | ⚠️ Driving Distance missed model (-0.82) | ✅ SG Total beat model (0.545) | ✅ SG OTT beat model (0.322) | Δ Approach ↑ curr 100 150 fw","14139","Thomas, Justin",8,40,"2.413","1.868","293.500","294.323","53.57%","50.28%","1.346","1.105","1.393","1.555","0.317","0.236","-0.363","-0.686","1.067","0.763","72.23%","71.13%","76.13%","73.81%","3.750","3.697","3.000","3.121","70.000","70.490","25.532","25.728","67.939","65.756","85.40%","85.40%","-0.095","-1.710","18.785","18.785","96.90%","96.90%","0.116","2.088","16.049","16.049","68.43%","65.70%","0.095","0.792","35.754","43.897","21.00%","21.00%","-0.055","-0.990","88.429","88.429","66.00%","66.00%","-0.066","-1.188","32.475","32.475","","0.00%","","0.000","","0.000"
