"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 16 | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (13.60) | ⚠️ Driving Distance missed model (-5.72) | ✅ Fairway Proximity beat model (-1.54) | ✅ SG Total beat model (1.501) | Δ Approach ↑ prev under 150 rgh","26651","Young, Cameron",1,17,"3.663","2.162","293.800","299.517","60.73%","67.94%","2.460","1.678","1.770","0.393","-0.078","0.067","0.767","1.218","1.203","0.172","70.85%","73.66%","85.00%","69.23%","4.500","3.840","3.000","2.986","68.750","68.524","5.000","5.005","29.353","30.889","62.314","48.718","86.80%","84.90%","0.043","1.170","13.817","13.054","82.90%","80.80%","-0.004","-0.756","21.799","23.009","68.00%","65.00%","0.159","2.592","24.914","24.617","43.70%","41.70%","0.057","0.954","61.659","58.909","67.20%","64.80%","0.025","0.252","28.625","28.838","42.70%","44.50%","-0.008","-0.198","47.638","46.703"
"≈ Near model (+3) | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (10.10) | ✅ Driving Distance beat model (5.99) | ✅ SG Total beat model (1.513) | ✅ SG T2G beat model (1.281) | Δ Approach ↑ curr 50 100 fw","17646","Fitzpatrick, Matt",2,5,"3.413","1.900","290.600","284.610","76.80%","64.77%","3.043","1.762","1.144","0.735","1.049","0.418","0.849","0.609","0.371","0.090","65.30%","68.65%","69.05%","68.13%","3.500","2.799","4.000","2.817","69.000","69.106","6.000","3.670","30.344","29.077","65.971","55.871","97.60%","95.90%","0.134","1.764","11.225","12.450","82.82%","81.50%","0.064","-0.306","18.430","22.664","61.55%","70.40%","-0.010","0.522","40.345","35.281","52.84%","39.00%","0.134","-0.036","39.021","57.960","85.19%","69.20%","0.092","0.756","27.320","28.312","66.90%","60.30%","0.103","1.422","44.892","42.195"
"✅ Beat model by 12 | ✅ Success aligned with model | ✅ Rough Proximity beat model (-15.72) | ✅ SG Total beat model (1.416) | ✅ SG T2G beat model (1.323) | ✅ SG Approach beat model (1.043) | Δ Approach ↑ curr 150 200 fw","19895","Schauffele, Xander",3,15,"3.163","1.747","292.250","291.728","64.30%","56.63%","2.497","1.174","1.870","0.827","0.108","-0.012","0.519","0.359","0.666","0.582","73.60%","59.10%","65.85%","74.84%","4.750","3.196","4.250","2.275","69.250","69.292","4.750","3.900","27.511","27.388","42.821","58.538","4.50%","80.70%","-0.041","0.828","8.286","15.010","69.67%","72.80%","0.023","-0.072","20.549","19.961","53.82%","61.40%","-0.043","0.288","42.874","33.838","32.25%","41.20%","-0.103","0.864","64.468","56.907","70.67%","69.60%","0.144","0.288","22.051","30.891","45.03%","50.00%","0.095","0.198","33.214","47.548"
"✅ Beat model by 87 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-19.93) | ⚠️ Driving Distance missed model (-5.96) | ✅ SG Total beat model (2.446) | ✅ SG T2G beat model (2.228) | Δ Approach ↓ prev 50 100 fw","23323","MacIntyre, Robert",4,91,"2.913","0.467","291.350","297.307","69.65%","60.50%","1.766","-0.462","0.365","-1.127","0.487","-0.020","0.914","0.685","1.147","0.723","68.08%","60.67%","67.18%","71.71%","3.500","2.602","3.000","3.402","69.500","70.154","4.750","3.779","34.595","34.634","36.545","56.476","61.70%","61.90%","-0.194","-3.258","24.527","23.543","78.10%","76.00%","0.015","-0.180","21.845","23.122","55.70%","53.40%","0.029","0.486","30.372","32.218","35.20%","33.70%","-0.080","-1.494","54.639","54.827","66.50%","63.90%","-0.026","-0.450","34.068","34.343","40.10%","40.20%","-0.092","-1.602","51.546","50.595"
"≈ Near model (+3) | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (20.17) | ✅ Driving Distance beat model (4.50) | ✅ Fairway Proximity beat model (-1.30) | ✅ SG Total beat model (1.049) | Δ Approach ↑ prev over 150 rgh","23950","Aberg, Ludvig",5,8,"2.663","1.614","302.500","298.001","60.70%","64.71%","2.308","1.667","0.914","0.782","0.369","0.363","1.025","0.521","0.355","-0.055","68.05%","69.20%","75.88%","67.01%","5.250","4.427","3.000","3.438","69.750","69.033","3.500","4.857","27.541","28.844","63.524","43.357","94.20%","90.90%","0.032","1.332","16.447","15.334","81.20%","74.80%","0.066","0.090","18.865","21.572","65.30%","75.40%","0.049","0.864","33.223","34.538","48.50%","47.40%","0.106","2.178","57.845","54.128","62.60%","64.10%","-0.024","-0.036","31.206","30.532","59.00%","58.00%","0.073","0.900","37.879","38.883"
"≈ Near model (+9) | ✅ Success aligned with model | ✅ Rough Proximity beat model (-15.62) | ⚠️ Fairway Proximity missed model (3.74) | ✅ Driving Distance beat model (2.67) | ✅ SG Putting beat model (1.529) | Δ Approach ↓ curr over 200 fw","29433","Bridgeman, Jacob",5,14,"2.663","1.209","287.175","284.505","64.30%","55.40%","0.226","0.329","-0.860","0.350","0.320","-0.537","0.765","0.517","2.438","0.909","61.10%","63.05%","68.18%","69.56%","4.500","3.177","4.750","2.936","69.750","69.795","5.500","3.669","35.125","31.387","47.413","63.033","83.60%","95.80%","0.103","2.970","13.768","12.615","87.33%","86.00%","0.119","0.900","18.561","17.992","54.30%","60.60%","-0.161","1.854","64.525","34.973","10.25%","47.70%","-0.073","0.774","61.116","51.010","83.88%","75.20%","0.073","1.206","27.512","27.611","23.65%","33.00%","-0.133","-1.566","59.830","53.927"
"✅ Beat model by 27 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-11.85) | ⚠️ Driving Distance missed model (-6.30) | ✅ SG Total beat model (1.947) | ✅ SG Putting beat model (1.025) | Δ Approach ↑ prev under 150 rgh","29925","Yellamaraju, Sudarshan",5,32,"2.663","0.716","290.975","297.273","66.07%","68.25%","1.288","0.355","1.127","0.289","-0.474","-0.284","0.635","0.350","1.375","0.350","65.27%","75.99%","61.65%","61.52%","4.750","3.858","2.000","3.756","69.750","69.744","4.750","4.343","27.040","27.830","40.333","52.179","83.30%","88.60%","-0.025","-0.882","19.613","20.257","79.50%","81.00%","0.052","1.368","18.002","17.534","58.40%","59.50%","0.063","0.558","33.262","36.820","43.70%","43.50%","0.062","1.062","52.208","52.858","66.00%","61.70%","-0.021","-0.954","31.021","32.689","49.10%","44.10%","0.047","0.306","36.536","35.704"
"✅ Beat model by 35 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (83.24) | ✅ Fairway Proximity beat model (-5.94) | ⚠️ Driving Distance missed model (-5.34) | ✅ SG T2G beat model (2.870) | Δ Approach ↑ curr 50 100 fw","12294","Fleetwood, Tommy",8,43,"2.413","-0.188","284.175","289.520","75.00%","63.37%","3.098","0.228","1.275","-0.306","0.874","0.571","0.949","-0.037","-0.684","-0.373","73.60%","59.25%","67.55%","72.83%","4.250","1.723","4.250","3.300","70.000","70.876","4.500","3.797","26.991","32.930","143.561","60.321","95.80%","100.00%","0.095","3.780","13.246","8.186","84.10%","84.30%","0.020","0.234","19.611","20.848","62.60%","65.30%","0.047","1.224","30.960","31.624","20.20%","17.90%","-0.059","-0.972","71.542","57.570","64.20%","58.80%","0.015","0.036","32.916","33.960","52.30%","47.40%","0.022","-1.368","39.673","45.055"
"✅ Beat model by 54 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (46.46) | ✅ Fairway Proximity beat model (-4.61) | ⚠️ Driving Distance missed model (-3.81) | ✅ SG Total beat model (2.368) | Δ Approach ↑ curr 50 100 fw","17511","Straka, Sepp",8,62,"2.413","0.045","285.675","289.487","58.95%","64.49%","1.772","0.400","0.808","0.858","0.627","-0.398","0.337","-0.059","0.641","-0.203","61.13%","67.69%","81.73%","60.49%","5.250","2.795","3.250","4.331","70.000","70.667","4.250","4.253","27.105","31.714","97.465","51.001","89.20%","90.60%","0.109","1.926","13.409","13.871","81.30%","81.70%","0.020","0.072","21.237","22.070","58.20%","60.10%","0.059","1.206","35.626","32.174","38.10%","35.60%","0.004","0.216","70.872","63.236","72.00%","73.70%","0.048","1.062","26.971","26.725","55.10%","55.60%","0.109","1.746","39.627","41.397"
"✅ Beat model by 56 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (19.88) | ✅ Fairway Proximity beat model (-7.33) | ✅ SG Total beat model (2.683) | ✅ SG Approach beat model (2.049) | Δ Approach ↑ prev 100 150 fw","14139","Thomas, Justin",8,64,"2.413","-0.270","293.500","291.591","53.57%","47.52%","1.346","-0.234","1.393","-0.656","0.317","0.479","-0.363","-0.057","1.067","0.020","72.23%","53.50%","76.13%","69.42%","3.750","3.197","3.000","3.192","70.000","71.339","4.500","3.340","25.532","32.860","67.939","48.056","100.00%","0.00%","0.096","0.000","16.750","0.000","62.98%","0.00%","-0.084","0.000","25.725","0.000","43.33%","61.60%","-0.060","-0.576","33.240","56.112","72.75%","0.00%","0.170","0.000","57.214","0.000","55.99%","0.00%","-0.056","0.000","32.718","0.000","49.90%","0.00%","0.022","0.000","40.387","0.000"
