course_num,n,slope,intercept,r,t_stat,p_value
12,2146,-1.220558,57.394139,-0.176679,-8.311603,0.000000
665,2262,-1.200080,57.391757,-0.178477,-8.623149,0.000000
714,1706,-1.368618,50.170391,-0.165705,-6.936116,0.000000
928,3431,-0.540058,55.893798,-0.113049,-6.662573,0.000000
510,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
5,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
21,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
11,3859,-0.419180,55.482931,-0.095876,-5.981902,0.000000
6,1304,-1.734093,55.324888,-0.149190,-5.444187,0.000000
770,1636,-0.533609,56.241269,-0.051320,-2.077216,0.037781
9,409,-0.474451,50.409716,-0.014960,-0.301833,0.762780
