"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","-0.023","-0.045","290.957","0.000","58.34%","-0.005","0.074","-0.022","0.023","-0.023","-0.002","0.022","0.036","-0.009","-0.003","-0.010","65.58%","-0.005","65.61%","0.000","3.024","-0.017","3.594","0.000","70.558","0.000","3.897","-0.014","0.032","0.000","31.267","0.006","55.724","0.015","85.30%","0.126","16.533","81.00%","0.000","21.597","57.50%","0.090","37.546","34.00%","0.036","59.933","68.10%","0.198","30.605","47.80%","0.090","43.597","0.00","0.01","-0.781","-0.016"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.781)","Delta Predictive Score (median=-0.016)"
"↑ Above average | 💪 SG Around Green, SG T2G | ✅ Strong course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.64 (0.189) [S→ M↓ L↑ VL↑] | ☁️ Late/Early (boost=0.23)",1,"10091","McIlroy, Rory",29,44,"1.23","1.019","2.078","0.036","303.117","0.000","59.35%","0.000","1.705","0.018","0.324","-0.156","0.453","0.946","0.927","0.088","0.232","0.113","70.61%","-0.004","77.12%","0.016","3.252","-0.017","2.594","-0.021","68.360","0.000","5.000","-0.004","1.810","0.000","28.208","0.000","48.140","0.014","88.90%","2.088","13.549","82.80%","-0.432","22.400","66.70%","2.196","29.975","76.50%","2.970","40.569","67.80%","0.054","29.145","61.50%","2.304","39.332","1.23","0.67","-0.517","0.046"
"↑ Above average | 💪 SG Putting, SG Around Green | ✅ Strong course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.70 (0.219) [S↑ M↓ L↑ VL↑] | ☁️ Early/Late (boost=0.49)",2,"26096","Bhatia, Akshay",10,16,"1.04","0.972","2.237","0.233","291.021","0.000","53.78%","-0.011","0.907","0.161","0.564","-0.018","0.669","0.483","-0.325","0.196","1.537","0.241","64.27%","-0.019","75.62%","0.014","3.883","0.038","2.819","-0.020","68.459","0.000","5.295","0.024","0.762","0.000","27.666","-0.016","58.329","0.028","94.30%","-0.360","18.305","94.70%","1.332","18.782","62.20%","1.224","40.969","29.20%","0.828","51.151","69.60%","0.468","29.663","40.80%","-0.774","40.130","1.04","0.52","0.819","0.085"
"💪 SG T2G, SG Around Green | ✅ Strong course fit | ↑ Approach | For Course Setup - ΔPred↑ ΔTrend→ | BucketSig ↑ z=1.64 (0.761) [S↓ M↑ L↑ VL↑] | ☁️ Early/Late (boost=0.49)",3,"23950","Aberg, Ludvig",11,20,"0.91","0.932","1.614","0.311","298.001","0.000","64.71%","0.013","1.667","0.369","0.782","230.320","0.363","0.060","0.521","0.169","-0.042","-0.242","69.20%","0.009","67.01%","-0.007","4.427","0.034","3.438","-0.008","69.033","0.000","4.857","-0.009","0.936","0.000","28.844","0.000","43.357","-0.016","90.90%","1.332","15.334","74.80%","0.090","21.572","75.40%","0.864","34.538","47.40%","2.178","54.128","64.10%","-0.036","30.532","58.00%","0.900","38.883","0.91","0.48","1.321","0.217"
"💪 SG Putting | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred∅ ΔTrend∅ | ☁️ Early/Late (boost=0.41)",4,"18586","Smith, Jordan",0,0,"0.72","0.932","1.156","0.187","291.871","-0.003","57.18%","-0.009","0.458","-0.013","0.383","0.158","-0.100","-0.061","0.175","-0.127","0.875","7.960","71.16%","0.003","61.56%","0.007","3.722","0.000","2.199","-0.047","68.866","0.000","4.941","0.025","0.382","0.000","30.093","-0.015","70.835","0.047","90.90%","1.296","17.055","78.60%","-0.702","24.534","52.90%","1.170","36.993","33.10%","0.252","67.901","70.30%","0.342","31.489","58.10%","0.450","45.878","0.72","0.33","",""
"💪 SG T2G | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.68 (0.211) [S↑ M↑ L↑ VL↓] | ☁️ Early/Late (boost=0.48)",5,"17606","Berger, Daniel",10,18,"0.65","0.931","1.454","0.279","287.053","0.000","63.79%","0.000","1.522","0.180","1.285","0.127","0.039","-0.276","0.199","-0.097","0.047","-0.285","71.54%","-0.004","60.78%","0.000","2.343","-0.034","3.713","0.000","69.380","0.000","4.503","0.014","1.139","0.000","29.486","0.007","74.253","0.060","91.90%","0.918","14.196","86.00%","0.432","20.983","71.60%","2.394","30.508","49.90%","0.612","65.414","73.10%","0.972","26.857","54.80%","1.512","38.694","0.65","0.32","0.758","0.062"
"💪 SG Around Green, SG T2G | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred∅ ΔTrend∅ | ☁️ Early/Late (boost=0.41)",6,"16757","Dou, Zecheng",1,1,"0.60","0.911","0.045","-0.381","293.523","0.000","52.38%","0.015","1.143","0.141","1.098","0.076","0.518","0.364","-0.473","0.141","0.323","1.877","66.60%","-0.004","66.85%","0.005","3.999","0.014","2.894","-0.030","70.369","0.000","3.790","-0.031","0.632","0.000","26.973","-0.015","57.121","0.003","73.70%","1.710","13.686","82.30%","1.494","18.121","45.70%","-0.954","42.662","38.30%","0.558","59.933","79.40%","1.422","28.678","65.20%","2.034","41.383","0.60","0.42","",""
"💪 SG Around Green, SG T2G | ✅ Strong course fit | ↑ Approach | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=2.00 (0.971) [S↑ M↓ L↑ VL↑] | ☁️ Late/Early (boost=0.22)",7,"16841","Lee, Min Woo",5,10,"0.63","0.968","1.551","0.032","296.934","0.000","60.44%","-0.006","1.200","0.106","0.224","1.108","0.443","-0.016","0.533","0.005","0.218","-0.133","64.90%","0.000","72.76%","0.011","2.566","-0.067","3.443","0.000","69.130","0.000","4.983","0.005","0.273","0.000","29.342","-0.018","57.234","0.013","94.40%","1.116","15.393","82.80%","0.090","20.338","42.30%","-1.620","46.474","34.60%","0.162","61.280","64.90%","0.504","30.470","51.50%","1.512","45.690","0.63","0.35","2.441","0.266"
"💪 SG Putting | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.85 (0.884) [S↓ M↑ L↑ VL↑] | ☁️ Late/Early (boost=0.13)",8,"6430","Scott, Adam",11,17,"0.61","0.968","1.174","-0.011","298.598","0.000","49.03%","-0.043","0.432","-0.148","0.499","-0.035","-0.102","-0.157","0.036","-0.271","0.749","0.517","64.12%","-0.016","73.35%","0.018","3.955","0.008","3.426","0.000","69.573","0.000","4.694","0.000","0.173","0.000","28.263","0.010","49.425","-0.026","85.30%","0.558","15.209","80.60%","-0.450","21.248","56.10%","-0.234","37.146","26.20%","0.252","63.317","67.90%","1.224","27.026","53.90%","0.918","37.891","0.61","0.34","2.562","0.259"
