"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","0.128","-0.045","289.532","0.000","60.15%","-0.005","0.117","-0.022","0.110","-0.023","0.023","0.022","0.117","-0.009","0.006","-0.010","66.71%","-0.005","65.23%","0.000","3.188","-0.017","3.724","0.000","69.890","0.000","3.852","-0.014","0.046","0.000","30.461","0.006","52.122","0.015","85.30%","0.126","16.533","81.00%","0.000","21.597","57.50%","0.090","37.546","34.00%","0.036","59.933","68.10%","0.198","30.605","47.80%","0.090","43.597","-0.03","-0.01","-0.781","-0.019"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.781)","Delta Predictive Score (median=-0.019)"
"↑ Above average | 💪 SG Around Green, SG T2G | ✅ Strong course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.64 (0.196) [S→ M↓ L↑ VL↑] | ☁️ Late/Early (boost=0.23)",1,"10091","McIlroy, Rory",29,44,"1.02","1.019","1.677","0.036","300.465","0.000","60.74%","0.000","1.477","0.018","0.236","-0.156","0.407","0.946","0.834","0.088","-0.334","0.113","69.61%","-0.004","75.97%","0.016","3.060","-0.017","2.773","-0.021","68.608","0.000","4.730","-0.004","1.660","0.000","29.061","0.000","47.656","0.014","88.90%","2.088","13.549","82.80%","-0.432","22.400","66.70%","2.196","29.975","76.50%","2.970","40.569","67.80%","0.054","29.145","61.50%","2.304","39.332","1.02","0.53","-0.517","0.057"
"💪 SG Putting | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred∅ ΔTrend∅ | ☁️ Early/Late (boost=0.41)",2,"18586","Smith, Jordan",0,0,"0.90","0.932","1.156","0.187","291.871","-0.003","57.18%","-0.009","0.458","-0.013","0.383","0.158","-0.100","-0.061","0.175","-0.127","1.322","7.960","71.16%","0.003","61.56%","0.007","3.722","0.000","2.199","-0.047","68.866","0.000","4.941","0.025","0.444","0.000","30.093","-0.015","70.835","0.047","90.90%","1.296","17.055","78.60%","-0.702","24.534","52.90%","1.170","36.993","33.10%","0.252","67.901","70.30%","0.342","31.489","58.10%","0.450","45.878","0.90","0.31","",""
"💪 SG T2G, Approach >200 FW Prox | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred∅ ΔTrend∅ | ☁️ Early/Late (boost=0.48)",3,"28159","Meissner, Mac",3,4,"0.76","0.956","1.925","-0.030","286.933","0.000","60.02%","-0.022","1.392","0.202","1.036","0.406","0.174","0.658","0.183","-0.156","0.434","3.726","73.63%","-0.005","75.64%","-0.014","4.111","0.045","2.594","0.021","68.099","0.000","4.556","-0.015","0.546","0.000","27.814","0.000","44.892","0.014","84.90%","-0.198","16.127","90.60%","1.422","20.607","64.40%","0.180","39.578","22.00%","-0.216","53.255","74.70%","0.864","26.842","54.70%","0.468","39.831","0.76","0.50","",""
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ↑ Putting | For Course Setup - ΔPred∅ ΔTrend∅ | ☁️ Early/Late (boost=0.41)",4,"16757","Dou, Zecheng",1,1,"0.75","0.911","-0.181","-0.381","289.532","0.000","55.77%","0.015","0.961","0.141","0.500","0.076","0.611","0.364","-0.150","0.141","0.868","1.877","66.07%","-0.004","68.95%","0.005","3.813","0.014","3.697","-0.030","70.326","0.000","3.781","-0.031","0.795","0.000","27.800","-0.015","51.748","0.003","73.70%","1.710","13.686","82.30%","1.494","18.121","45.70%","-0.954","42.662","38.30%","0.558","59.933","79.40%","1.422","28.678","65.20%","2.034","41.383","0.75","0.45","",""
"💪 SG Putting, SG T2G | ✅ Strong course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.70 (0.232) [S↑ M↓ L↑ VL↑] | ☁️ Early/Late (boost=0.49)",5,"26096","Bhatia, Akshay",10,16,"0.75","0.972","0.994","0.233","292.415","0.000","56.36%","-0.011","0.863","0.161","0.815","-0.018","0.049","0.483","0.000","0.196","1.212","0.241","68.53%","-0.019","68.95%","0.014","3.906","0.038","3.240","-0.020","69.068","0.000","4.395","0.024","0.638","0.000","26.411","-0.016","53.423","0.028","94.30%","-0.360","18.305","94.70%","1.332","18.782","62.20%","1.224","40.969","29.20%","0.828","51.151","69.60%","0.468","29.663","40.80%","-0.774","40.130","0.75","0.38","0.819","0.108"
"💪 SG T2G, SG OTT | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.68 (0.223) [S↑ M↑ L↑ VL↓] | ☁️ Early/Late (boost=0.48)",6,"17606","Berger, Daniel",10,18,"0.72","0.931","0.882","0.279","286.662","0.000","69.56%","0.000","1.470","0.180","0.700","0.127","0.152","-0.276","0.618","-0.097","-0.035","-0.285","70.46%","-0.004","64.45%","0.000","2.909","-0.034","3.509","0.000","69.233","0.000","4.140","0.014","1.130","0.000","29.406","0.007","57.895","0.060","91.90%","0.918","14.196","86.00%","0.432","20.983","71.60%","2.394","30.508","49.90%","0.612","65.414","73.10%","0.972","26.857","54.80%","1.512","38.694","0.72","0.40","0.758","0.075"
"💪 SG Around Green | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.44 (0.679) [S↑ M↑ L↓ VL↑] | ☁️ Early/Late (boost=0.51)",7,"7399","Glover, Lucas",13,17,"0.68","0.893","0.054","-0.253","282.817","0.000","63.26%","-0.003","0.667","1.487","0.016","-0.202","0.584","6.363","0.066","-0.024","0.069","-0.116","62.17%","0.000","68.63%","0.004","3.689","-0.006","3.815","-0.009","70.061","0.000","3.956","0.007","0.209","0.000","28.888","0.005","74.940","0.024","92.30%","3.960","10.478","70.00%","-0.936","23.539","61.90%","0.090","37.633","38.80%","-0.090","75.905","66.10%","0.036","29.187","41.90%","1.674","41.617","0.68","0.29","2.574","0.279"
"💪 SG Putting | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend↑ | BucketSig ↑ z=1.36 (0.629) [S↓ M↓ L↑ VL↓] | ☁️ Early/Late (boost=0.51)",8,"18841","Hovland, Viktor",22,29,"0.62","0.982","1.189","0.116","284.800","0.000","64.06%","-0.011","0.524","-0.137","0.687","-0.023","-0.228","1.076","0.065","0.075","0.884","1.252","64.94%","-0.010","66.07%","-0.009","3.602","0.020","2.773","-0.034","69.074","0.000","4.555","0.000","0.580","0.000","29.475","0.000","51.667","0.018","84.60%","1.602","14.144","81.30%","0.918","18.113","65.10%","1.008","28.674","30.80%","-0.414","71.630","74.50%","1.314","25.200","41.50%","-0.504","43.692","0.62","0.33","3.931","0.141"
