"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Success aligned with model","17646","Fitzpatrick, Matt",1,1,"","2.164","","291.088","","71.53%","","2.056","","0.793","","0.602","","0.661","","0.194","","67.40%","","67.13%","","3.368","","3.682","","69.624","","30.313","","65.816","","97.60%","","2.376","","11.425","","80.40%","","-0.162","","22.345","","65.60%","","0.306","","43.976","","39.70%","","0.774","","52.872","","68.80%","","0.666","","29.183","","57.30%","","1.278","","42.420"
"✅ Beat model by 32 | ⚠️ Success despite model prediction","15980","Lipsky, David",2,34,"","0.336","","282.569","","64.18%","","-0.240","","-0.049","","0.279","","-0.470","","0.628","","61.21%","","68.00%","","2.866","","3.767","","70.358","","29.570","","59.094","","97.70%","","1.692","","14.350","","76.00%","","0.270","","20.798","","62.00%","","-1.710","","56.039","","29.70%","","0.486","","66.725","","75.10%","","1.422","","28.365","","30.10%","","-1.998","","48.536"
"✅ Beat model by 65 | ⚠️ Success despite model prediction","18586","Smith, Jordan",3,68,"","-0.495","","291.307","","58.79%","","-0.282","","-0.402","","-0.425","","0.545","","-0.320","","62.58%","","61.75%","","3.251","","2.956","","71.608","","31.859","","78.057","","83.60%","","0.486","","17.371","","76.10%","","-1.260","","25.147","","53.00%","","1.458","","34.657","","32.40%","","0.252","","69.640","","69.70%","","0.126","","31.910","","56.80%","","0.324","","46.373"
"✅ Success aligned with model","19895","Schauffele, Xander",4,3,"","1.870","","294.558","","60.23%","","1.464","","0.976","","0.205","","0.283","","0.360","","69.31%","","65.96%","","3.673","","3.676","","69.938","","29.242","","58.462","","77.30%","","0.198","","16.034","","74.70%","","0.180","","19.719","","65.10%","","0.918","","33.906","","39.00%","","0.810","","54.917","","74.20%","","0.684","","29.715","","53.40%","","0.666","","45.522"
"✅ Beat model by 33 | ⚠️ Success despite model prediction","22465","Penge, Marco",4,37,"","-1.346","","302.522","","48.98%","","-0.955","","-0.976","","-0.758","","0.779","","-0.347","","60.82%","","56.79%","","3.517","","4.475","","72.261","","33.067","","50.719","","77.00%","","0.180","","18.259","","74.00%","","-1.800","","27.196","","71.60%","","-0.720","","40.256","","38.20%","","-0.774","","62.658","","59.20%","","-0.738","","31.804","","31.00%","","-2.322","","46.542"
"✅ Beat model by 49 | ⚠️ Success despite model prediction","17488","Im, Sungjae",4,53,"","-0.506","","288.707","","62.66%","","-1.082","","-0.957","","-0.048","","-0.077","","0.027","","63.28%","","55.29%","","3.618","","3.783","","71.858","","34.400","","66.738","","89.20%","","1.440","","11.498","","0.00%","","0.000","","0.000","","73.50%","","0.810","","36.046","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"≈ Near model (+7) | ✅ Success aligned with model","15466","Cantlay, Patrick",7,14,"","0.590","","289.690","","68.11%","","0.700","","-0.416","","0.263","","0.852","","-0.065","","64.06%","","68.26%","","2.787","","3.367","","71.111","","34.757","","62.616","","86.00%","","-0.018","","14.545","","85.20%","","-0.180","","22.210","","60.10%","","0.612","","31.355","","29.80%","","-0.378","","62.257","","71.40%","","-0.162","","31.791","","52.50%","","0.828","","39.981"
"✅ Beat model by 104 | ⚠️ Success despite model prediction","12808","Grillo, Emiliano",7,111,"","-3.268","","276.693","","60.04%","","-2.550","","-1.109","","0.104","","-1.545","","-0.748","","59.47%","","53.63%","","3.435","","5.615","","74.429","","32.732","","46.193","","70.80%","","-1.620","","18.767","","85.20%","","0.306","","21.473","","48.70%","","-0.162","","36.450","","34.60%","","-0.090","","51.396","","68.30%","","-0.054","","29.516","","52.10%","","-0.090","","44.612"
"✅ Beat model by 109 | ⚠️ Success despite model prediction","16394","Jaeger, Stephan",7,116,"","-1.021","","295.617","","52.02%","","-1.178","","-0.432","","-0.279","","-0.467","","0.185","","55.44%","","62.36%","","3.408","","4.702","","72.655","","33.001","","63.949","","83.10%","","-0.972","","20.818","","76.40%","","-1.008","","26.234","","55.30%","","-0.072","","34.253","","22.50%","","-0.972","","63.985","","70.20%","","0.504","","29.813","","47.40%","","-0.756","","47.146"
"✅ Beat model by 111 | ⚠️ Success despite model prediction","21688","Kim, S.H.",7,118,"","-0.834","","287.232","","59.57%","","-1.580","","-1.491","","-0.367","","0.277","","0.249","","56.64%","","69.14%","","2.037","","3.915","","72.388","","35.769","","52.309","","61.90%","","-5.436","","27.082","","71.70%","","-0.918","","23.301","","55.80%","","0.072","","32.867","","29.20%","","-0.882","","67.390","","63.00%","","-1.224","","34.082","","37.00%","","-1.350","","49.401"
"✅ Success aligned with model","14636","Spieth, Jordan",11,12,"","1.027","","293.758","","50.79%","","1.000","","0.999","","0.390","","-0.389","","-0.018","","62.55%","","66.56%","","3.881","","3.569","","70.776","","31.142","","57.551","","88.40%","","0.954","","15.331","","79.50%","","1.458","","19.147","","61.00%","","1.206","","32.529","","41.40%","","0.324","","59.864","","66.60%","","-0.450","","34.940","","39.30%","","-0.900","","50.099"
"✅ Beat model by 69 | ⚠️ Success despite model prediction","19960","Pavon, Matthieu",11,80,"","-0.423","","289.764","","58.75%","","-1.095","","-0.599","","-0.452","","-0.044","","0.564","","60.15%","","60.83%","","3.400","","3.501","","71.810","","35.227","","54.088","","90.60%","","-1.800","","23.636","","75.10%","","-0.666","","22.861","","58.70%","","0.144","","41.099","","22.50%","","-0.540","","55.217","","62.10%","","-0.792","","35.493","","48.10%","","-0.468","","52.083"
"✅ Beat model by 82 | ⚠️ Success despite model prediction","21883","Ewart, A.J.",11,93,"","-0.991","","286.030","","61.09%","","-1.292","","-0.425","","-0.700","","-0.167","","0.216","","61.34%","","69.63%","","2.524","","4.533","","72.378","","30.875","","50.636","","86.40%","","0.630","","13.950","","83.00%","","0.630","","21.370","","45.60%","","-0.792","","38.002","","32.60%","","-0.594","","66.530","","74.60%","","0.414","","28.022","","45.80%","","-0.666","","47.253"
"⚠️ Missed model by 10 | ✅ Success aligned with model","29433","Bridgeman, Jacob",14,4,"","1.883","","289.372","","64.40%","","0.038","","-0.695","","0.098","","0.635","","1.880","","61.54%","","64.96%","","3.855","","4.319","","69.912","","33.936","","57.032","","90.20%","","1.386","","13.610","","85.80%","","0.774","","18.630","","57.30%","","1.782","","34.505","","47.30%","","0.738","","53.393","","74.50%","","1.116","","28.648","","31.90%","","-1.710","","55.608"
"✅ Beat model by 16 | ⚠️ Success despite model prediction","17576","Conners, Corey",14,30,"","0.668","","289.513","","68.89%","","0.877","","0.789","","-0.374","","0.463","","-0.135","","66.64%","","55.46%","","3.045","","4.193","","71.128","","28.846","","64.085","","84.20%","","-1.440","","20.930","","88.50%","","1.296","","18.789","","38.10%","","-2.034","","42.357","","32.90%","","-0.162","","63.898","","73.00%","","0.540","","28.692","","49.10%","","0.828","","39.071"
"✅ Beat model by 67 | ⚠️ Success despite model prediction","21943","Lebioda, Hank",14,81,"","-0.630","","292.205","","55.57%","","-0.691","","-0.500","","-0.420","","0.230","","-0.063","","66.10%","","56.14%","","2.403","","3.538","","71.182","","34.972","","55.690","","98.00%","","1.998","","14.560","","72.40%","","-1.080","","25.734","","60.20%","","0.144","","39.086","","32.20%","","-1.368","","59.201","","73.20%","","0.234","","33.716","","36.10%","","-0.396","","46.538"
"✅ Beat model by 90 | ⚠️ Success despite model prediction","12577","Woodland, Gary",14,104,"","-0.852","","300.470","","56.53%","","-0.574","","-0.655","","-0.799","","0.881","","-0.369","","61.27%","","53.86%","","3.422","","4.682","","72.227","","30.993","","49.574","","82.00%","","-1.674","","19.851","","66.80%","","-1.656","","24.353","","47.80%","","-1.404","","44.534","","40.30%","","-0.288","","62.752","","64.60%","","-0.342","","31.546","","44.90%","","-0.090","","45.454"
"⚠️ Missed model by 16 | ✅ Success aligned with model","16243","Koepka, Brooks",18,2,"","1.689","","295.411","","53.91%","","1.970","","1.405","","0.278","","0.287","","-0.322","","69.99%","","67.05%","","4.373","","2.612","","70.027","","29.882","","53.059","","93.50%","","1.242","","13.944","","92.00%","","0.270","","22.144","","51.00%","","0.396","","41.988","","60.10%","","3.690","","37.386","","65.60%","","0.360","","27.952","","52.70%","","0.396","","41.014"
