course_num,n,slope,intercept,r,t_stat,p_value
928,2747,-0.886650,56.743051,-0.158893,-8.431945,0.000000
11,2128,-1.374643,57.757342,-0.193415,-9.089732,0.000000
12,2005,-1.224319,56.146245,-0.181721,-8.270589,0.000000
665,2747,-0.886650,56.743051,-0.158893,-8.431945,0.000000
714,1706,-1.368618,50.170391,-0.165705,-6.936116,0.000000
510,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
5,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
6,1163,-2.032338,53.505520,-0.179886,-6.230994,0.000000
21,1163,-2.032338,53.505520,-0.179886,-6.230994,0.000000
770,742,-0.941412,56.056475,-0.040632,-1.106237,0.268624
