"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","-0.436","0.010","289.263","0.000","58.57%","0.000","-0.518","0.071","-0.227","0.051","-0.005","0.019","-0.096","0.015","-0.119","0.000","63.89%","-0.008","63.04%","0.000","3.076","-0.004","3.979","0.019","71.584","0.000","3.492","-0.016","-0.005","0.000","32.006","0.007","57.467","0.008","84.70%","0.000","17.132","79.20%","0.000","21.020","54.50%","0.000","37.999","32.80%","0.000","62.257","66.50%","-0.054","31.442","42.70%","0.000","43.178","-0.01","-0.01","-0.148","-0.021"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=-0.148)","Delta Predictive Score (median=-0.021)"
"↑ Above average | 💪 SG Around Green, SG T2G | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite strong baseline fit | ↓ Putting | For Course Setup - ΔPred↓ ΔTrend→ | BucketSig ↓ z=-0.86 (-0.476) [S↑ M↓ L↓ VL↓] | Wave / ⛈️: Late/Early (R1 boost=0.05, R2 boost=0.05, Net boost=0.10)",1,"17646","Fitzpatrick, Matt",15,32,"0.84","0.982","2.164","0.154","291.088","0.000","71.53%","0.009","2.056","0.118","0.793","0.088","0.602","0.233","0.661","0.099","0.194","-0.304","67.40%","-0.004","67.13%","0.005","3.368","0.016","3.682","0.012","69.624","0.000","5.211","0.024","1.083","0.000","30.313","0.000","65.816","0.035","97.60%","2.376","11.425","80.40%","-0.162","22.345","65.60%","0.306","43.976","39.70%","0.774","52.872","68.80%","0.666","29.183","57.30%","1.278","42.420","0.84","0.59","-1.967","-0.204"
"💪 SG T2G, SG OTT | 👍 Good course fit | ↑ Total game | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.86 (0.921) [S↑ M↑ L↑ VL↑] | Wave / ⛈️: Early/Late",2,"16243","Koepka, Brooks",8,11,"0.84","0.968","1.689","0.579","295.411","0.000","53.91%","0.007","1.970","0.170","1.405","0.191","0.278","0.323","0.287","0.067","-0.322","-0.071","69.99%","0.007","67.05%","0.023","4.373","0.038","2.612","-0.047","70.027","0.000","4.766","0.043","1.445","0.000","29.882","-0.005","53.059","-0.005","93.50%","1.242","13.944","92.00%","0.270","22.144","51.00%","0.396","41.988","60.10%","3.690","37.386","65.60%","0.360","27.952","52.70%","0.396","41.014","0.84","0.47","3.634","0.258"
"💪 SG T2G, SG Putting | ✅ Strong course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.49 (0.218) [S↓ M↑ L↑ VL↑] | Wave / ⛈️: Early/Late",3,"19895","Schauffele, Xander",30,46,"0.80","0.978","1.870","0.022","294.558","0.000","60.23%","0.011","1.464","0.021","0.976","0.067","0.205","-0.830","0.283","0.009","0.360","0.087","69.31%","0.000","65.96%","-0.010","3.673","0.008","3.676","0.020","69.938","0.000","4.271","-0.010","0.838","0.000","29.242","-0.008","58.462","0.040","77.30%","0.198","16.034","74.70%","0.180","19.719","65.10%","0.918","33.906","39.00%","0.810","54.917","74.20%","0.684","29.715","53.40%","0.666","45.522","0.80","0.46","0.234","0.066"
"↑ Above average | 💪 SG Putting, SG OTT | 👍 Good course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.57 (-0.328) [S↓ M↓ L↓ VL↓] | Wave / ⛈️: Late/Early (R1 boost=0.05, R2 boost=0.05, Net boost=0.10)",4,"29433","Bridgeman, Jacob",7,9,"0.76","1.001","1.883","0.008","289.372","0.000","64.40%","0.010","0.038","-0.132","-0.695","-0.536","0.098","-0.545","0.635","0.353","1.880","0.053","61.54%","-0.022","64.96%","-0.008","3.855","0.008","4.319","0.082","69.912","0.000","5.087","0.000","1.053","0.000","33.936","0.004","57.032","0.054","90.20%","1.386","13.610","85.80%","0.774","18.630","57.30%","1.782","34.505","47.30%","0.738","53.393","74.50%","1.116","28.648","31.90%","-1.710","55.608","0.76","0.51","-0.825","-0.089"
"💪 SG Putting, Approach >200 FW GIR | 👍 Good course fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.54 (0.245) [S↓ M↑ L↑ VL↑] | Wave / ⛈️: Late/Early (R1 boost=0.05, R2 boost=0.05, Net boost=0.10)",5,"23602","Hojgaard, Nicolai",5,9,"0.71","1.018","1.226","-0.026","295.295","0.000","49.71%","-0.027","0.271","-0.116","0.713","0.102","0.070","-0.161","-0.512","-0.647","0.973","0.133","61.10%","-0.010","70.93%","0.000","4.408","0.014","3.927","0.055","70.696","0.000","3.441","-0.031","1.139","0.000","26.614","-0.021","62.561","0.013","89.80%","1.350","15.937","82.50%","0.306","20.754","41.40%","-1.710","45.842","38.00%","2.340","52.150","72.80%","0.774","29.840","62.50%","1.746","37.785","0.71","0.38","1.112","0.029"
"💪 SG Around Green, SG T2G | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.07 (-0.070) [S↓ M↓ L↑ VL↓] | Wave / ⛈️: Early/Late",6,"18841","Hovland, Viktor",22,29,"0.55","0.994","1.063","0.158","284.444","0.000","57.98%","-0.012","0.965","0.184","0.391","-0.026","0.997","0.477","-0.424","0.040","0.077","0.027","57.74%","-0.013","74.69%","0.014","3.862","0.029","3.924","0.020","70.726","0.000","3.491","-0.013","0.330","0.000","30.436","0.009","75.422","0.047","81.00%","1.566","14.376","79.70%","0.468","20.455","61.00%","0.162","34.383","28.80%","-0.468","74.713","76.30%","1.278","25.684","38.80%","-0.630","43.857","0.55","0.39","0.174","-0.025"
"💪 SG Putting, SG T2G | ✅ Strong course fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.55 (0.249) [S↑ M→ L↑ VL↓] | Wave / ⛈️: Early/Late",7,"19840","Ramey, Chad",4,7,"0.53","0.968","0.448","-0.037","289.399","0.000","61.29%","0.021","0.416","-0.333","0.321","-0.467","-0.094","-0.077","0.189","-1.078","0.459","-0.165","65.57%","-0.005","65.17%","0.024","3.828","-0.015","3.912","0.006","71.270","0.000","3.410","-0.023","0.344","0.000","28.317","-0.015","57.768","-0.005","84.30%","1.242","15.243","84.60%","0.396","20.805","65.00%","-1.314","44.058","33.00%","-0.486","62.200","62.10%","-0.342","31.969","56.70%","1.098","46.912","0.53","0.28","1.086","0.041"
"💪 SG OTT, SG T2G | 👍 Good course fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.30 (-0.190) [S↓ M↑ L↓ VL↓] | Wave / ⛈️: Early/Late",8,"22985","Smotherman, Austin",2,5,"0.50","0.990","1.073","0.000","289.223","0.000","72.02%","0.017","1.404","0.012","0.760","-0.061","-0.430","0.399","1.074","0.316","-0.315","0.044","73.49%","0.000","57.81%","-0.026","2.760","-0.035","2.693","-0.020","70.788","0.000","3.561","-0.033","1.189","0.000","29.904","0.004","64.385","0.049","100.00%","1.530","15.711","88.00%","1.314","18.842","61.90%","1.764","29.672","37.40%","1.422","54.352","73.40%","0.900","27.896","48.60%","1.440","37.806","0.50","0.37","-0.754","-0.019"
