====================================================================================================
ADAPTIVE WEIGHT OPTIMIZER - FINAL RESULTS
====================================================================================================
DRY RUN: ON (template files not modified)
RUN FINGERPRINT: see JSON output (runFingerprint)
OPT_SEED: phoenix2026_a

STEP 1: HISTORICAL METRIC CORRELATIONS
Functions: buildHistoricalMetricSamples, computeHistoricalMetricCorrelations (adaptiveOptimizer_v2.js)
HISTORICAL METRIC CORRELATIONS (avg across years):
  Scoring Average: Corr=0.4808, Samples=1952
  Eagles or Better: Corr=0.1052, Samples=1952
  Birdies: Corr=0.3460, Samples=1952
  Birdies or Better: Corr=0.3691, Samples=1952
  SG Total: Corr=0.4725, Samples=1952
  Driving Distance: Corr=0.1946, Samples=1952
  Driving Accuracy: Corr=0.0540, Samples=1952
  SG T2G: Corr=0.3774, Samples=1952
  SG Approach: Corr=0.2686, Samples=1952
  SG Around Green: Corr=0.1905, Samples=1952
  SG OTT: Corr=0.1840, Samples=1952
  SG Putting: Corr=0.2526, Samples=1952
  GIR: Corr=0.2414, Samples=1952
  Scrambling: Corr=0.2085, Samples=1952
  Great Shots: Corr=0.2438, Samples=1952
  Poor Shots: Corr=0.2487, Samples=1952
  Fairway Proximity: Corr=0.1221, Samples=1952
  Rough Proximity: Corr=0.1090, Samples=1952

HISTORICAL METRIC CORRELATIONS (per year):
  2021:
    Scoring Average: Corr=0.4292, Samples=264
    Eagles or Better: Corr=0.1337, Samples=264
    Birdies: Corr=0.2828, Samples=264
    Birdies or Better: Corr=0.3179, Samples=264
    SG Total: Corr=0.4160, Samples=264
    Driving Distance: Corr=0.1439, Samples=264
    Driving Accuracy: Corr=0.0723, Samples=264
    SG T2G: Corr=0.3034, Samples=264
    SG Approach: Corr=0.2634, Samples=264
    SG Around Green: Corr=0.1111, Samples=264
    SG OTT: Corr=0.1388, Samples=264
    SG Putting: Corr=0.2553, Samples=264
    GIR: Corr=0.2500, Samples=264
    Scrambling: Corr=0.1283, Samples=264
    Great Shots: Corr=0.2315, Samples=264
    Poor Shots: Corr=0.2439, Samples=264
    Fairway Proximity: Corr=0.0239, Samples=264
    Rough Proximity: Corr=0.1254, Samples=264
  2022:
    Scoring Average: Corr=0.5073, Samples=268
    Eagles or Better: Corr=-0.0082, Samples=268
    Birdies: Corr=0.4443, Samples=268
    Birdies or Better: Corr=0.4516, Samples=268
    SG Total: Corr=0.5006, Samples=268
    Driving Distance: Corr=0.2598, Samples=268
    Driving Accuracy: Corr=0.2275, Samples=268
    SG T2G: Corr=0.4300, Samples=268
    SG Approach: Corr=0.1850, Samples=268
    SG Around Green: Corr=0.2621, Samples=268
    SG OTT: Corr=0.3732, Samples=268
    SG Putting: Corr=0.2056, Samples=268
    GIR: Corr=0.1864, Samples=268
    Scrambling: Corr=0.1935, Samples=268
    Great Shots: Corr=0.2317, Samples=268
    Poor Shots: Corr=0.2378, Samples=268
    Fairway Proximity: Corr=0.0761, Samples=268
    Rough Proximity: Corr=0.1224, Samples=268
  2023:
    Scoring Average: Corr=0.4972, Samples=528
    Eagles or Better: Corr=0.1470, Samples=528
    Birdies: Corr=0.3486, Samples=528
    Birdies or Better: Corr=0.3786, Samples=528
    SG Total: Corr=0.4818, Samples=528
    Driving Distance: Corr=0.2370, Samples=528
    Driving Accuracy: Corr=-0.0628, Samples=528
    SG T2G: Corr=0.3578, Samples=528
    SG Approach: Corr=0.2747, Samples=528
    SG Around Green: Corr=0.2214, Samples=528
    SG OTT: Corr=0.1291, Samples=528
    SG Putting: Corr=0.2720, Samples=528
    GIR: Corr=0.2172, Samples=528
    Scrambling: Corr=0.1547, Samples=528
    Great Shots: Corr=0.1991, Samples=528
    Poor Shots: Corr=0.2246, Samples=528
    Fairway Proximity: Corr=0.1475, Samples=528
    Rough Proximity: Corr=0.0232, Samples=528
  2024:
    Scoring Average: Corr=0.4524, Samples=292
    Eagles or Better: Corr=0.1284, Samples=292
    Birdies: Corr=0.3360, Samples=292
    Birdies or Better: Corr=0.3583, Samples=292
    SG Total: Corr=0.4524, Samples=292
    Driving Distance: Corr=0.2156, Samples=292
    Driving Accuracy: Corr=0.0560, Samples=292
    SG T2G: Corr=0.3458, Samples=292
    SG Approach: Corr=0.3105, Samples=292
    SG Around Green: Corr=0.0436, Samples=292
    SG OTT: Corr=0.1433, Samples=292
    SG Putting: Corr=0.2950, Samples=292
    GIR: Corr=0.2735, Samples=292
    Scrambling: Corr=0.1773, Samples=292
    Great Shots: Corr=0.2911, Samples=292
    Poor Shots: Corr=0.2615, Samples=292
    Fairway Proximity: Corr=0.1694, Samples=292
    Rough Proximity: Corr=0.1481, Samples=292
  2025:
    Scoring Average: Corr=0.5139, Samples=308
    Eagles or Better: Corr=0.1026, Samples=308
    Birdies: Corr=0.3592, Samples=308
    Birdies or Better: Corr=0.3799, Samples=308
    SG Total: Corr=0.5163, Samples=308
    Driving Distance: Corr=0.0847, Samples=308
    Driving Accuracy: Corr=0.1156, Samples=308
    SG T2G: Corr=0.4269, Samples=308
    SG Approach: Corr=0.2992, Samples=308
    SG Around Green: Corr=0.1982, Samples=308
    SG OTT: Corr=0.1992, Samples=308
    SG Putting: Corr=0.2764, Samples=308
    GIR: Corr=0.2978, Samples=308
    Scrambling: Corr=0.2830, Samples=308
    Great Shots: Corr=0.3109, Samples=308
    Poor Shots: Corr=0.2970, Samples=308
    Fairway Proximity: Corr=0.1070, Samples=308
    Rough Proximity: Corr=0.1422, Samples=308
  2026:
    Scoring Average: Corr=0.4672, Samples=292
    Eagles or Better: Corr=0.0876, Samples=292
    Birdies: Corr=0.3042, Samples=292
    Birdies or Better: Corr=0.3218, Samples=292
    SG Total: Corr=0.4551, Samples=292
    Driving Distance: Corr=0.1989, Samples=292
    Driving Accuracy: Corr=0.0220, Samples=292
    SG T2G: Corr=0.4108, Samples=292
    SG Approach: Corr=0.2652, Samples=292
    SG Around Green: Corr=0.2797, Samples=292
    SG OTT: Corr=0.1752, Samples=292
    SG Putting: Corr=0.1905, Samples=292
    GIR: Corr=0.2362, Samples=292
    Scrambling: Corr=0.3448, Samples=292
    Great Shots: Corr=0.2290, Samples=292
    Poor Shots: Corr=0.2427, Samples=292
    Fairway Proximity: Corr=0.1760, Samples=292
    Rough Proximity: Corr=0.1629, Samples=292

STEP 1b: CURRENT-SEASON GENERATED METRICS (2026, event + similar + putting)
Functions: runRanking (adaptiveOptimizer_v2.js) -> buildPlayerData (utilities/dataPrep.js) -> generatePlayerRankings (modelCore.js)
