,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,22465,"Penge, Marco",,,,,,,,0.80,0.08,1.00,1.00,26.56,0.09,52.00,0.96,0.00,0.00,1.00,16.26,-0.01,15.00,0.34,0.10,1.00,1.00,53.54,-0.02,21.00,0.42,0.10,1.00,0.97,40.11,0.06,31.00,0.54,0.11,0.00,1.00,32.50,0.05,19
,18841,"Hovland, Viktor",0.84,0.09,0.00,0.95,18.59,0.04,210.00,0.73,0.09,0.00,0.97,24.77,0.09,317.00,0.90,0.15,0.00,0.99,15.32,0.06,69.00,0.37,0.06,0.00,0.98,64.53,0.04,116.00,0.54,0.08,0.00,0.97,36.44,0.06,173.00,0.61,0.05,0.00,0.95,37.12,0.03,77
,14796,"Hatton, Tyrrell",0.83,0.07,0.00,0.96,19.07,0.03,55.00,0.76,0.11,0.00,0.98,24.96,0.08,100.00,0.83,0.09,0.00,1.00,11.87,0.02,22.00,,,,,,,,0.49,0.04,0.00,0.95,43.69,0.02,56.00,0.41,0.00,0.00,0.94,38.95,-0.05,17
,32319,"Koivun, Jackson",0.82,0.06,0.00,0.89,20.39,0.00,111.00,0.73,0.08,0.00,0.96,25.34,0.08,107.00,0.72,0.05,0.00,0.91,17.19,-0.12,22.00,0.38,0.00,1.00,0.96,84.27,-0.05,22.00,0.44,0.03,0.00,1.00,43.66,0.00,71.00,0.41,0.09,0.00,1.00,44.83,-0.04,35
,19428,"Zalatoris, Will",0.85,0.07,0.00,0.96,21.00,0.00,123.00,0.76,0.10,0.00,0.95,27.22,0.08,166.00,0.87,0.06,0.00,0.91,17.53,-0.05,34.00,0.34,0.05,0.00,0.99,62.30,0.03,67.00,0.44,0.07,0.00,0.96,42.75,0.03,84.00,0.63,0.07,0.00,0.93,36.76,0.02,57
,22736,"Rosenmueller, Thomas",0.79,0.07,0.00,0.93,23.00,-0.03,188.00,0.74,0.08,0.00,0.98,27.30,0.08,265.00,0.89,0.08,0.00,0.93,19.04,-0.02,85.00,0.34,0.03,0.00,0.97,58.72,0.01,68.00,0.48,0.05,0.00,0.96,44.33,0.02,148.00,0.53,0.03,0.00,0.95,40.50,-0.03,99
,13900,"Lowry, Shane",0.82,0.06,0.00,0.94,19.35,0.01,250.00,0.74,0.08,0.00,0.97,26.46,0.07,356.00,0.85,0.12,0.00,0.95,15.88,0.00,83.00,0.38,0.08,0.00,0.97,55.79,0.06,123.00,0.56,0.08,0.00,0.97,41.48,0.07,187.00,0.59,0.06,0.00,0.96,36.84,0.03,84
,14609,"Kim, Si Woo",0.78,0.09,0.00,0.93,21.60,0.02,305.00,0.71,0.10,0.00,0.96,26.38,0.06,494.00,0.82,0.04,0.00,0.92,16.94,-0.03,118.00,0.37,0.05,0.00,0.96,65.17,0.02,135.00,0.49,0.07,0.00,0.97,39.27,0.07,261.00,0.50,0.10,0.00,0.94,36.80,0.01,116
,17576,"Conners, Corey",0.86,0.07,0.00,0.95,18.10,0.05,328.00,0.77,0.06,0.00,0.98,25.78,0.06,448.00,0.84,0.07,0.00,0.93,17.39,-0.02,86.00,0.30,0.04,0.00,0.98,65.90,0.01,109.00,0.52,0.05,0.00,0.96,44.23,0.03,251.00,0.54,0.04,0.00,0.98,37.84,-0.01,93
,18417,"Scheffler, Scottie",0.86,0.09,0.00,0.97,18.24,0.06,317.00,0.76,0.06,0.00,0.96,26.27,0.06,433.00,0.86,0.10,0.00,0.97,14.97,0.08,98.00,0.39,0.06,0.00,1.00,56.20,0.11,117.00,0.51,0.09,0.00,0.97,38.36,0.08,253.00,0.57,0.08,0.00,0.94,38.29,0.05,132
,24481,"Redman, Doc",0.84,0.09,1.00,0.94,23.00,0.02,47.00,0.76,0.06,1.00,0.95,30.23,0.06,63.00,0.89,0.23,1.00,1.00,12.49,0.21,13.00,,,,,,,,,,,,,,,0.63,0.05,0.00,0.95,42.21,-0.03,19
,24304,"Vilips, Karl",0.78,0.06,0.00,0.93,23.05,-0.03,206.00,0.73,0.09,0.00,0.94,29.44,0.06,302.00,0.83,0.07,0.00,0.95,16.36,0.01,75.00,0.30,0.03,0.00,0.98,68.18,-0.02,119.00,0.45,0.05,0.00,0.97,47.00,-0.04,146.00,0.51,0.05,0.00,0.93,40.46,-0.02,134
,13562,"Matsuyama, Hideki",0.81,0.07,0.00,0.95,19.96,0.02,296.00,0.74,0.08,0.00,0.97,26.16,0.06,416.00,0.84,0.12,0.00,0.93,15.06,0.04,89.00,0.29,0.05,0.00,0.97,57.72,0.02,156.00,0.50,0.10,0.00,0.98,37.72,0.07,229.00,0.46,0.06,0.00,0.95,39.62,-0.04,120
,17511,"Straka, Sepp",0.86,0.07,0.00,0.95,17.27,0.06,247.00,0.75,0.06,0.00,0.96,27.33,0.06,372.00,0.81,0.15,0.00,0.93,17.06,0.02,61.00,0.35,0.07,0.00,0.97,55.49,0.01,121.00,0.58,0.04,0.00,0.97,39.36,0.05,195.00,0.48,0.08,0.00,0.97,43.38,-0.01,74
,14838,"Reed, Patrick",,,,,,,,0.69,0.10,0.00,0.96,22.01,0.06,71.00,0.83,0.19,0.00,0.94,15.34,0.03,16.00,0.25,0.05,1.00,0.96,65.03,-0.01,22.00,0.52,0.02,0.00,0.98,53.24,0.03,43.00,0.51,0.00,0.00,1.00,49.28,-0.09,16
,22085,"Morikawa, Collin",0.83,0.10,0.00,0.95,18.18,0.05,293.00,0.73,0.07,0.00,0.97,27.15,0.06,354.00,0.88,0.06,0.00,0.94,16.28,0.02,86.00,0.28,0.03,0.00,0.97,62.59,0.00,91.00,0.49,0.07,0.00,0.96,41.93,0.04,216.00,0.62,0.01,0.00,0.97,33.35,0.06,71
,23504,"Hoey, Rico",0.80,0.06,0.00,0.93,23.19,-0.01,301.00,0.71,0.08,0.00,0.97,28.17,0.06,413.00,0.83,0.05,0.00,0.93,18.48,-0.02,98.00,0.41,0.08,0.00,0.96,54.48,0.06,112.00,0.50,0.06,0.00,0.99,40.53,0.05,212.00,0.60,0.10,0.00,0.95,37.26,0.04,140
,15466,"Cantlay, Patrick",0.88,0.07,0.00,0.95,18.42,0.04,254.00,0.77,0.08,0.00,0.98,27.85,0.05,315.00,0.92,0.13,0.00,0.94,15.05,0.05,87.00,0.37,0.06,0.00,0.99,65.42,0.08,122.00,0.42,0.05,0.00,0.94,42.41,-0.01,182.00,0.61,0.05,0.00,0.96,37.42,0.01,129
