,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,31585,"Avant, Thomas",0,WM Phoenix Open,,,1,65871,1,10,2026-02-05 8:59,2026-02-06 13:39,,,0
,19846,"Bauchou, Zach",0,WM Phoenix Open,,,,48001,1,1,2026-02-05 13:28,2026-02-06 8:48,,,0
,17606,"Berger, Daniel",0,WM Phoenix Open,,,1,40026,1,1,2026-02-05 7:42,2026-02-06 12:22,,,0
,18103,"Bezuidenhout, Christiaan",0,WM Phoenix Open,,,1,45522,1,1,2026-02-05 7:20,2026-02-06 12:00,,,0
,26096,"Bhatia, Akshay",0,WM Phoenix Open,,,,56630,1,10,2026-02-05 12:44,2026-02-06 8:04,,,0
,24956,"Blanchet, Chandler",0,WM Phoenix Open,,,,54788,1,1,2026-02-05 13:28,2026-02-06 8:48,,,0
,29197,"Brennan, Michael",0,WM Phoenix Open,,,1,61522,1,10,2026-02-05 8:26,2026-02-06 13:06,,,0
,29433,"Bridgeman, Jacob",0,WM Phoenix Open,,,1,60004,1,1,2026-02-05 8:37,2026-02-06 13:17,,,0
,20766,"Brown, Dan",0,WM Phoenix Open,,,1,57259,1,1,2026-02-05 8:59,2026-02-06 13:39,,,0
,19483,"Burns, Sam",0,WM Phoenix Open,,,1,47504,1,10,2026-02-05 7:53,2026-02-06 12:33,,,0
,18628,"Campbell, Brian",0,WM Phoenix Open,,,,46443,1,10,2026-02-05 12:55,2026-02-06 8:15,,,0
,12909,"Campos, Rafael",0,WM Phoenix Open,,,,32070,1,1,2026-02-05 12:00,2026-02-06 7:20,,,0
,14502,"Cauley, Bud",0,WM Phoenix Open,,,1,34021,1,1,2026-02-05 7:42,2026-02-06 12:22,,,0
,30620,"Chatfield, Davis",0,WM Phoenix Open,,,1,59006,1,10,2026-02-05 8:59,2026-02-06 13:39,,,0
,23604,"Clark, Wyndham",0,WM Phoenix Open,,,1,51766,1,10,2026-02-05 8:04,2026-02-06 12:44,,,0
,21756,"Cole, Eric",0,WM Phoenix Open,,,1,47591,1,1,2026-02-05 8:48,2026-02-06 13:28,,,0
