
Tournament: WM Phoenix Open (2026),Last updated: 2026-02-11T16:43:11.377Z
Course: TPC Scottsdale (Stadium Course),Found 123 players from historical_csv
Data Date: 2026-02-23T18:01:31.782Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"⚠️ Major model miss: #103 → 1 | ↑ Approach | 📈 SG Approach: trend continuing (3.211) | 📈 SG T2G: trend continuing (0.844) | 📉 SG Putting: trend continuing (0.400) | ⚠️ Success despite model prediction","27774","Gotterup, Chris",103,"1",-16,3.1734999999999998,-0.022,317.75,300.415,0.5535,0.4532,3.32825,-0.707,1.203,-0.23,1.1144999999999998,-0.677,1.0107499999999998,0.201,-0.15475000000000005,-0.01,0.72225,0.6288,32.234,29.16,40.89225,53.231,0,67,5.25,0.784,4.75,1.75
"🎯 Model prediction on target: #3 → 2 | ↓ Driving | 📉 SG OTT: trend continuing (0.473) | 📈 SG Approach: trend continuing (0.388) | ✅ Success aligned with model","13562","Matsuyama, Hideki",3,"2",-16,3.1735,1.714,304.775,292.543,0.44625,0.5074000000000001,1.6565,1.606,1.6572500000000001,0.65,1.20125,0.981,-1.202,-0.024,1.5170000000000001,-0.285,0.66675,0.6431,27.695999999999998,27.629,42.448499999999996,47.358,0,67,5,0.7737499999999999,4.25,1.75
"⚠️ Major model miss: #122 → T3 | ↑ Putting | 📈 SG Putting: trend continuing (4.447) | 📉 SG Approach: trend reversing (0.403) | ⚠️ Success despite model prediction","26649","Thorbjornsen, Michael",122,"T3",-15,2.9235,-0.981,317.85,280.757,0.6784999999999999,0.4386,2.5652500000000003,-1.031,0.5309999999999999,-0.112,0.79575,-0.77,1.2385000000000002,-0.15,0.35825,-0.762,0.79175,0.625,28.622750000000003,25.632,64.20275000000001,39.876,0,67.25,5.25,0.8185,4.25,1.5
"⚠️ Major model miss: #68 → T3 | ↓ Short Game | 📉 SG Around Green: trend continuing (1.687) | 📈 SG T2G: trend continuing (0.629) | 📈 SG Putting: trend continuing (0.604) | ⚠️ Success despite model prediction","26096","Bhatia, Akshay",68,"T3",-15,2.9235,-0.726,309.05,253.601,0.607,0.5297999999999999,1.52575,-0.239,1.1600000000000001,0.434,-0.21025,-0.256,0.576,-0.417,1.3977499999999998,-0.042,0.736,0.5692,29.776500000000002,25.209,50.96925,40.231,0,67.25,4.75,0.7475,4.5,2.5
"↓ Putting | 📉 SG Putting: trend continuing (0.521) | ✅ Success aligned with model","14609","Kim, Si Woo",11,"T3",-15,2.9235,1.363,304.925,269.611,0.768,0.6470999999999999,3.34125,1.105,1.1895,0.616,1.0535,-0.057,1.09825,0.546,-0.41775,0.041,0.7082499999999999,0.619,26.938,26.085,54.9785,47.455,0,67.25,5,0.69025,3.25,3
"🎯 Model prediction on target: #1 → T3 | ↑ Short Game | 📈 SG Around Green: trend continuing (0.180) | ✅ Success aligned with model","18417","Scheffler, Scottie",1,"T3",-15,2.9234999999999998,1.837,319.1,274.755,0.6247499999999999,0.6456999999999999,2.12075,1.261,0.76425,0.738,0.524,-0.236,0.8325,0.759,0.8027500000000001,0.697,0.80575,0.6677,32.47825,25.902,50.58975000000001,46.773,0,67.25,5.75,0.7827500000000001,4.75,2
"⚠️ Major model miss: #73 → T3 | ↓ Putting | 📉 SG Putting: trend reversing (1.967) | 📈 SG Approach: trend continuing (0.640) | 📈 SG T2G: trend continuing (0.566) | ⚠️ Success despite model prediction","23602","Hojgaard, Nicolai",73,"T3",-15,2.9235,0.515,316.05,291.642,0.6605,0.4482,2.2765000000000004,0.019,0.932,0.723,0.198,-0.459,1.1465,-0.244,0.647,-0.117,0.7085,0.6533,28.477,24.167,48.9755,37.318,0,67.25,4.75,0.79775,4.5,2.5
"⚠️ Major model miss: #113 → 8 | ↑ Short Game | 📈 SG Around Green: trend continuing (8.599) | 📉 SG Approach: trend reversing (0.579) | 📈 SG OTT: trend continuing (0.161) | ⚠️ Success despite model prediction","19396","Knapp, Jake",113,"8",-14,2.6735,0.794,320.15,286.566,0.57125,0.5147999999999999,2.7385,-0.254,1.024,0.443,0.6995,-0.35,1.0150000000000001,-0.348,-0.065,0.961,0.7637499999999999,0.6156,34.097,31.127,32.847,45.856,0,67.5,5.25,0.5595,5.25,2.75
"⚠️ Major model miss: #66 → 9 | ⚠️ Success despite model prediction","17646","Fitzpatrick, Matt",66,"9",-13,2.4235,-0.293,311.95,249.032,0.6964999999999999,0.5418999999999999,2.8075,0.505,1.064,0.329,0.7595000000000001,0.05,0.984,0.126,-0.384,-0.396,0.736,0.6124,30.326249999999998,26.344,47.241,40.361,0,67.75,5.75,0.5535,4,2.25
"↓ Putting | 📉 SG Putting: trend continuing (0.348) | 📈 SG OTT: trend continuing (0.264) | 📈 SG Around Green: trend continuing (0.185) | ⚠️ Success despite model prediction","28309","Coody, Pierceson",34,"T10",-12,2.1735,2.372,320.425,240.554,0.6605,0.43090000000000006,2.295,1.516,0.958,0.514,0.17325000000000002,0.324,1.16375,0.678,-0.1215,0.659,0.8195000000000001,0.5998,32.7425,21.99,39.6075,28.062,0,68,5.25,0.698,5,2.25
